Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Score,week,year,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name,stadium_id,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,away_team_name
12,Brandon Mcmanus,1.0,1.0,100.0,51,0.0,0.0,0.0,0.0,1.0,5,5,1,10.0,10.0,7.8%,27.7,12,2021,17,K,ACT,0,201,12,Temple,GB,green_bay_packers,green_bay_packers,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640,1957,
12,Nick Folk,2.0,2.0,100.0,25,0.0,2.0,0.0,0.0,0.0,2,2,1,8.0,8.0,1.0%,27.2,9,2021,6,K,ACT,73,222,17,Arizona,TEN,tennessee_titans,tennessee_titans,Nissan Stadium,Nashville,TN,36.1665,-86.7713,Outdoor,Grass,476,1999,
14,Nick Folk,2.0,2.0,100.0,43,0.0,0.0,1.0,1.0,0.0,1,1,1,8.0,8.0,1.0%,27.0,11,2021,6,K,ACT,73,222,17,Arizona,TEN,tennessee_titans,tennessee_titans,Nissan Stadium,Nashville,TN,36.1665,-86.7713,Outdoor,Grass,476,1999,new_england_patriots
5,Will Reichard,3.0,3.0,100.0,57,0.0,0.0,0.0,2.0,1.0,2,2,1,15.0,15.0,12.6%,32.6,7,2021,16,K,ACT,0,187,2,Alabama,MIN,minnesota_vikings,minnesota_vikings,U.S. Bank Stadium,Minneapolis,MN,44.974,-93.2581,Indoor,Turf,840,2016,
14,Younghoe Koo,2.0,2.0,100.0,29,0.0,2.0,0.0,0.0,0.0,1,1,1,7.0,7.0,21.9%,26.5,14,2021,6,K,ACT,0,195,8,Georgia Southern,ATL,atlanta_falcons,atlanta_falcons,Mercedes-Benz Stadium,Atlanta,GA,33.755,-84.4008,Indoor,Turf,1050,2017,san_francisco_49ers
32,Anders Carlson,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,1.0,1.0,1.0%,0.7,13,2021,17,K,ACT,77,215,2,Auburn,GB,green_bay_packers,green_bay_packers,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640,1957,
11,Cairo Santos,2.0,3.0,66.7,53,0.0,1.0,0.0,0.0,1.0,1,1,1,9.0,9.0,15.5%,21.34,11,2021,8,K,ACT,0,175,12,Tulane,CHI,chicago_bears,chicago_bears,Soldier Field,Chicago,IL,41.8623,-87.6167,Outdoor,Grass,595,1924,
32,Matthew Wright,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,2.1%,0.0,2,2021,37,K,ACT,0,174,4,UCF,CAR,carolina_panthers,carolina_panthers,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748,1996,
17,Greg Zuerlein,1.0,2.0,50.0,28,0.0,1.0,0.0,0.0,0.0,3,3,1,6.0,6.0,1.3%,15.2,3,2021,,,,,,,,,,,,,,,,,,,,
21,Younghoe Koo,1.0,4.0,25.0,27,0.0,1.0,0.0,0.0,0.0,2,2,1,5.0,5.0,21.9%,9.9,10,2021,6,K,ACT,0,195,8,Georgia Southern,ATL,atlanta_falcons,atlanta_falcons,Mercedes-Benz Stadium,Atlanta,GA,33.755,-84.4008,Indoor,Turf,1050,2017,new_england_patriots
18,Joey Slye,1.0,1.0,100.0,41,0.0,0.0,0.0,1.0,0.0,1,1,1,5.0,5.0,2.2%,24.2,7,2021,6,K,ACT,0,213,7,Virginia Tech,TEN,tennessee_titans,tennessee_titans,Nissan Stadium,Nashville,TN,36.1665,-86.7713,Outdoor,Grass,476,1999,
5,Jake Bates,2.0,2.0,100.0,43,0.0,0.0,1.0,1.0,0.0,4,4,1,11.0,11.0,92.5%,29.1,14,2021,39,K,ACT,0,202,2,Arkansas,DET,detroit_lions,detroit_lions,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600,2002,
7,Brandon Aubrey,2.0,2.0,100.0,65,0.0,0.0,0.0,0.0,2.0,1,1,1,11.0,11.0,96.5%,29.1,3,2021,17,K,ACT,0,218,3,Notre Dame,DAL,dallas_cowboys,dallas_cowboys,AT&T Stadium,Arlington,TX,32.7473,-97.0945,Indoor,Turf,639,2009,
23,Jake Elliott,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,4,1,4.0,4.0,60.8%,2.8,7,2021,4,K,ACT,0,167,9,Memphis,PHI,philadelphia_eagles,philadelphia_eagles,Lincoln Financial Field,Philadelphia,PA,39.9008,-75.1675,Outdoor,Grass,30,2003,las_vegas_raiders
24,Jake Moody,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,5,1,4.0,4.0,12.5%,3.2,17,2021,4,K,ACT,0,210,3,Michigan,SF,san_francisco_49ers,san_francisco_49ers,Levi's Stadium,Santa Clara,CA,37.403,-121.9692,Outdoor,Grass,13,2014,
6,Cameron Dicker,3.0,3.0,100.0,46,0.0,1.0,1.0,1.0,0.0,2,2,1,12.0,12.0,91.8%,30.6,6,2021,11,K,ACT,0,216,4,Texas,LAC,los_angeles_chargers,los_angeles_chargers,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100,2020,baltimore_ravens
32,Harrison Mevis,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.4%,0.0,14,2021,"",K,ACT,0,243,1,Missouri,NYJ,new_york_jets,new_york_jets,MetLife Stadium,East Rutherford,NJ,40.8136,-74.0744,Outdoor,Turf,3,2010,miami_dolphins
23,Blake Grupe,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,5,1,5.0,5.0,3.2%,3.5,11,2021,19,K,ACT,0,156,3,Notre Dame,NO,new_orleans_saints,new_orleans_saints,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3,1975,buffalo_bills
30,Matthew Wright,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,2.1%,0.0,5,2021,37,K,ACT,0,174,4,UCF,CAR,carolina_panthers,carolina_panthers,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748,1996,philadelphia_eagles
4,Matthew Wright,4.0,5.0,80.0,42,0.0,1.0,2.0,1.0,0.0,1,1,1,14.0,14.0,2.1%,28.9,13,2021,37,K,ACT,0,174,4,UCF,CAR,carolina_panthers,carolina_panthers,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748,1996,atlanta_falcons
28,Greg Joseph,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.7%,0.0,14,2021,40,K,ACT,0,206,5,Florida Atlantic,SF,san_francisco_49ers,san_francisco_49ers,Levi's Stadium,Santa Clara,CA,37.403,-121.9692,Outdoor,Grass,13,2014,
18,Chase Mclaughlin,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,4,1,4.0,4.0,70.7%,2.8,14,2021,4,K,ACT,0,190,7,Illinois,TB,tampa_bay_buccaneers,tampa_bay_buccaneers,Raymond James Stadium,Tampa,FL,27.9759,-82.5033,Outdoor,Grass,26,1998,new_orleans_saints
3,Jake Elliott,4.0,5.0,80.0,50,0.0,1.0,0.0,2.0,1.0,3,3,1,19.0,19.0,60.8%,32.4,16,2021,4,K,ACT,0,167,9,Memphis,PHI,philadelphia_eagles,philadelphia_eagles,Lincoln Financial Field,Philadelphia,PA,39.9008,-75.1675,Outdoor,Grass,30,2003,
17,Daniel Carlson,2.0,3.0,66.7,49,0.0,0.0,1.0,1.0,0.0,1,1,1,8.0,8.0,15.3%,20.54,16,2021,8,K,ACT,0,215,8,Auburn,LV,las_vegas_raiders,las_vegas_raiders,Allegiant Stadium,Las Vegas,NV,36.0908,-115.183,Indoor,Turf,2001,2020,
13,Jason Myers,1.0,2.0,50.0,56,0.0,0.0,0.0,0.0,1.0,3,3,1,8.0,8.0,9.1%,16.5,3,2021,5,K,ACT,0,190,11,Marist,SEA,seattle_seahawks,seattle_seahawks,Lumen Field,Seattle,WA,47.5952,-122.3316,Outdoor,Turf,20,2002,minnesota_vikings
11,Chad Ryland,2.0,2.0,100.0,57,0.0,0.0,1.0,0.0,1.0,2,2,1,10.0,10.0,3.7%,28.4,8,2021,38,K,ACT,0,195,3,Maryland,ARI,arizona_cardinals,arizona_cardinals,State Farm Stadium,Glendale,AZ,33.5275,-112.2625,Indoor,Turf,1070,2006,
5,Parker Romo,3.0,4.0,75.0,55,0.0,0.0,1.0,1.0,1.0,2,2,1,14.0,14.0,1.2%,27.1,13,2021,11,K,ACT,72,180,1,Virginia Tech,CHI,chicago_bears,chicago_bears,Soldier Field,Chicago,IL,41.8623,-87.6167,Outdoor,Grass,595,1924,green_bay_packers
20,Nick Folk,1.0,1.0,100.0,44,0.0,0.0,0.0,1.0,0.0,2,2,1,6.0,6.0,1.0%,24.9,6,2021,6,K,ACT,73,222,17,Arizona,TEN,tennessee_titans,tennessee_titans,Nissan Stadium,Nashville,TN,36.1665,-86.7713,Outdoor,Grass,476,1999,
31,Matthew Wright,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,2.1%,0.0,11,2021,37,K,ACT,0,174,4,UCF,CAR,carolina_panthers,carolina_panthers,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748,1996,miami_dolphins
30,Jason Sanders,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,45.6%,0.0,6,2021,7,K,ACT,0,195,8,New Mexico,MIA,miami_dolphins,miami_dolphins,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7,1987,atlanta_falcons
4,Harrison Butker,3.0,3.0,100.0,53,0.0,1.0,0.0,1.0,1.0,1,2,1,13.0,13.0,69.5%,31.3,3,2021,7,K,ACT,0,205,9,Georgia Tech,KC,kansas_city_chiefs,kansas_city_chiefs,GEHA Field at Arrowhead Stadium,Kansas City,MO,39.049,-94.4839,Outdoor,Grass,1020,1972,los_angeles_chargers
30,Brandon Aubrey,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,96.5%,0.9,17,2021,17,K,ACT,0,218,3,Notre Dame,DAL,dallas_cowboys,dallas_cowboys,AT&T Stadium,Arlington,TX,32.7473,-97.0945,Indoor,Turf,639,2009,
3,Ka'Imi Fairbairn,3.0,4.0,75.0,56,0.0,1.0,1.0,0.0,1.0,2,2,1,13.0,13.0,65.1%,26.5,10,2021,15,K,ACT,0,183,10,UCLA,HOU,houston_texans,houston_texans,NRG Stadium,Houston,TX,29.6847,-95.4107,Indoor,Turf,50,2002,
26,Anders Carlson,1.0,2.0,50.0,21,0.0,1.0,0.0,0.0,0.0,0,1,1,3.0,3.0,1.0%,13.1,16,2021,17,K,ACT,77,215,2,Auburn,GB,green_bay_packers,green_bay_packers,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640,1957,
25,Blake Grupe,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,1,2.0,2.0,3.2%,1.8,14,2021,19,K,ACT,0,156,3,Notre Dame,NO,new_orleans_saints,new_orleans_saints,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3,1975,
15,Will Reichard,0.0,1.0,0.0,39,0.0,0.0,0.0,0.0,0.0,6,6,1,6.0,6.0,12.6%,4.4,14,2021,16,K,ACT,0,187,2,Alabama,MIN,minnesota_vikings,minnesota_vikings,U.S. Bank Stadium,Minneapolis,MN,44.974,-93.2581,Indoor,Turf,840,2016,
4,Jake Bates,1.0,1.0,100.0,54,0.0,0.0,0.0,0.0,1.0,7,7,1,12.0,12.0,92.5%,29.1,11,2021,39,K,ACT,0,202,2,Arkansas,DET,detroit_lions,detroit_lions,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600,2002,chicago_bears
9,Jason Sanders,3.0,4.0,75.0,54,0.0,0.0,1.0,1.0,1.0,0,0,1,12.0,12.0,45.6%,25.7,5,2021,7,K,ACT,0,195,8,New Mexico,MIA,miami_dolphins,miami_dolphins,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7,1987,tampa_bay_buccaneers
66,Dustin Hopkins,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,2.3%,0.2,7,2021,7,K,ACT,0,210,12,Florida State,CLE,cleveland_browns,cleveland_browns,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577,1999,
20,Cam Little,1.0,1.0,100.0,23,0.0,1.0,0.0,0.0,0.0,1,1,1,4.0,4.0,4.6%,23.6,14,2021,39,K,ACT,0,172,2,Arkansas,JAX,jacksonville_jaguars,jacksonville_jaguars,TIAA Bank Field,Jacksonville,FL,30.3239,-81.6373,Outdoor,Grass,16,1995,houston_texans
3,Chris Boswell,3.0,4.0,75.0,50,0.0,0.0,2.0,0.0,1.0,5,5,1,16.0,16.0,72.7%,28.5,13,2021,9,K,ACT,0,185,11,Rice,PIT,pittsburgh_steelers,pittsburgh_steelers,Acrisure Stadium,Pittsburgh,PA,40.4468,-80.0158,Outdoor,Grass,730,2001,minnesota_vikings
19,Jason Myers,1.0,1.0,100.0,20,0.0,1.0,0.0,0.0,0.0,3,3,1,6.0,6.0,9.1%,25.0,6,2021,5,K,ACT,0,190,11,Marist,SEA,seattle_seahawks,seattle_seahawks,Lumen Field,Seattle,WA,47.5952,-122.3316,Outdoor,Turf,20,2002,pittsburgh_steelers
13,Joey Slye,3.0,3.0,100.0,37,0.0,0.0,3.0,0.0,0.0,1,1,1,10.0,10.0,2.2%,29.1,1,2021,6,K,ACT,0,213,7,Virginia Tech,TEN,tennessee_titans,tennessee_titans,Nissan Stadium,Nashville,TN,36.1665,-86.7713,Outdoor,Grass,476,1999,arizona_cardinals
1,Anders Carlson,3.0,3.0,100.0,50,0.0,0.0,0.0,2.0,1.0,3,3,1,16.0,16.0,1.0%,33.3,8,2021,17,K,ACT,77,215,2,Auburn,GB,green_bay_packers,green_bay_packers,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640,1957,
29,Greg Joseph,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.7%,0.0,11,2021,40,K,ACT,0,206,5,Florida Atlantic,SF,san_francisco_49ers,san_francisco_49ers,Levi's Stadium,Santa Clara,CA,37.403,-121.9692,Outdoor,Grass,13,2014,
4,Justin Tucker,3.0,3.0,100.0,45,0.0,0.0,2.0,1.0,0.0,3,3,1,13.0,13.0,12.5%,31.2,6,2021,,,,,,,,,,,,,,,,,,,,
27,Jake Moody,1.0,1.0,100.0,31,0.0,0.0,1.0,0.0,0.0,2,2,1,5.0,5.0,12.5%,24.2,2,2021,4,K,ACT,0,210,3,Michigan,SF,san_francisco_49ers,san_francisco_49ers,Levi's Stadium,Santa Clara,CA,37.403,-121.9692,Outdoor,Grass,13,2014,
27,Daniel Carlson,1.0,2.0,50.0,32,0.0,0.0,1.0,0.0,0.0,1,1,1,4.0,4.0,15.3%,13.7,1,2021,8,K,ACT,0,215,8,Auburn,LV,las_vegas_raiders,las_vegas_raiders,Allegiant Stadium,Las Vegas,NV,36.0908,-115.183,Indoor,Turf,2001,2020,
7,Cade York,2.0,2.0,100.0,37,0.0,1.0,1.0,0.0,0.0,3,3,1,9.0,9.0,2.9%,27.8,14,2021,3,K,ACT,74,206,3,LSU,TEN,tennessee_titans,tennessee_titans,Nissan Stadium,Nashville,TN,36.1665,-86.7713,Outdoor,Grass,476,1999,pittsburgh_steelers
8,Justin Tucker,2.0,2.0,100.0,56,0.0,1.0,0.0,0.0,1.0,5,5,1,13.0,13.0,12.5%,30.6,5,2021,,,,,,,,,,,,,,,,,,,,
6,Tyler Bass,2.0,2.0,100.0,43,0.0,1.0,0.0,1.0,0.0,5,6,1,12.0,12.0,60.9%,29.9,3,2021,2,K,ACT,0,183,6,Georgia Southern,BUF,buffalo_bills,buffalo_bills,Highmark Stadium,Orchard Park,NY,42.7738,-78.7868,Outdoor,Grass,600,1973,
30,Jason Sanders,1.0,1.0,100.0,33,0.0,0.0,1.0,0.0,0.0,0,0,1,3.0,3.0,45.6%,22.8,13,2021,7,K,ACT,0,195,8,New Mexico,MIA,miami_dolphins,miami_dolphins,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7,1987,
32,Harrison Mevis,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.4%,0.0,6,2021,"",K,ACT,0,243,1,Missouri,NYJ,new_york_jets,new_york_jets,MetLife Stadium,East Rutherford,NJ,40.8136,-74.0744,Outdoor,Turf,3,2010,
15,Blake Grupe,2.0,2.0,100.0,38,0.0,0.0,2.0,0.0,0.0,0,0,1,6.0,6.0,3.2%,25.6,3,2021,19,K,ACT,0,156,3,Notre Dame,NO,new_orleans_saints,new_orleans_saints,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3,1975,
5,Brandon Mcmanus,2.0,2.0,100.0,55,0.0,0.0,0.0,1.0,1.0,4,4,1,13.0,13.0,7.8%,30.5,16,2021,17,K,ACT,0,201,12,Temple,GB,green_bay_packers,green_bay_packers,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640,1957,
16,Greg Zuerlein,2.0,4.0,50.0,34,0.0,1.0,1.0,0.0,0.0,2,2,1,8.0,8.0,1.3%,17.5,6,2021,,,,,,,,,,,,,,,,,,,,
29,Joey Slye,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,2.2%,0.7,17,2021,6,K,ACT,0,213,7,Virginia Tech,TEN,tennessee_titans,tennessee_titans,Nissan Stadium,Nashville,TN,36.1665,-86.7713,Outdoor,Grass,476,1999,
64,Dustin Hopkins,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,2.3%,0.4,11,2021,7,K,ACT,0,210,12,Florida State,CLE,cleveland_browns,cleveland_browns,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577,1999,
20,Tyler Bass,1.0,1.0,100.0,27,0.0,1.0,0.0,0.0,0.0,4,4,1,7.0,7.0,60.9%,25.7,8,2021,2,K,ACT,0,183,6,Georgia Southern,BUF,buffalo_bills,buffalo_bills,Highmark Stadium,Orchard Park,NY,42.7738,-78.7868,Outdoor,Grass,600,1973,jacksonville_jaguars
4,Greg Joseph,4.0,4.0,100.0,48,0.0,1.0,1.0,2.0,0.0,0,0,1,14.0,14.0,0.7%,32.7,8,2021,40,K,ACT,0,206,5,Florida Atlantic,SF,san_francisco_49ers,san_francisco_49ers,Levi's Stadium,Santa Clara,CA,37.403,-121.9692,Outdoor,Grass,13,2014,
21,Harrison Butker,1.0,1.0,100.0,32,0.0,0.0,1.0,0.0,0.0,2,3,1,5.0,5.0,69.5%,24.2,17,2021,7,K,ACT,0,205,9,Georgia Tech,KC,kansas_city_chiefs,kansas_city_chiefs,GEHA Field at Arrowhead Stadium,Kansas City,MO,39.049,-94.4839,Outdoor,Grass,1020,1972,
