Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Score,week,year,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name,stadium_id,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,away_team_name
6,Chad Ryland,3.0,3.0,100.0,49,0.0,0.0,1.0,2.0,0.0,3,3,1,14.0,14.0,3.7%,31.9,15,2023,38,K,ACT,0,195,3,Maryland,ARI,arizona_cardinals,arizona_cardinals,State Farm Stadium,Glendale,AZ,33.5275,-112.2625,Indoor,Turf,1070,2006,chicago_bears
4,Ka'Imi Fairbairn,3.0,3.0,100.0,59,0.0,0.0,0.0,1.0,2.0,2,2,1,16.0,16.0,65.1%,33.3,5,2023,15,K,ACT,0,183,10,UCLA,HOU,houston_texans,houston_texans,NRG Stadium,Houston,TX,29.6847,-95.4107,Indoor,Turf,50,2002,atlanta_falcons
22,Greg Zuerlein,1.0,1.0,100.0,32,0.0,0.0,1.0,0.0,0.0,2,2,1,5.0,5.0,1.3%,24.2,5,2023,,,,,,,,,,,,,,,,,,,,
19,Chad Ryland,1.0,2.0,50.0,28,0.0,1.0,0.0,0.0,0.0,1,1,1,4.0,4.0,3.7%,13.8,14,2023,38,K,ACT,0,195,3,Maryland,ARI,arizona_cardinals,arizona_cardinals,State Farm Stadium,Glendale,AZ,33.5275,-112.2625,Indoor,Turf,1070,2006,san_francisco_49ers
2,Younghoe Koo,4.0,4.0,100.0,58,0.0,0.0,0.0,2.0,2.0,2,2,1,20.0,20.0,21.9%,36.8,4,2023,6,K,ACT,0,195,8,Georgia Southern,ATL,atlanta_falcons,atlanta_falcons,Mercedes-Benz Stadium,Atlanta,GA,33.755,-84.4008,Indoor,Turf,1050,2017,jacksonville_jaguars
8,Justin Tucker,3.0,4.0,75.0,48,0.0,0.0,1.0,2.0,0.0,2,2,1,13.0,13.0,12.5%,26.4,2,2023,,,,,,,,,,,,,,,,,,,,
9,Joey Slye,2.0,2.0,100.0,63,0.0,0.0,0.0,0.0,2.0,1,1,1,11.0,11.0,2.2%,29.1,4,2023,6,K,ACT,0,213,7,Virginia Tech,TEN,tennessee_titans,tennessee_titans,Nissan Stadium,Nashville,TN,36.1665,-86.7713,Outdoor,Grass,476,1999,
29,Daniel Carlson,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,15.3%,0.0,10,2023,8,K,ACT,0,215,8,Auburn,LV,las_vegas_raiders,las_vegas_raiders,Allegiant Stadium,Las Vegas,NV,36.0908,-115.183,Indoor,Turf,2001,2020,miami_dolphins
24,Greg Joseph,1.0,1.0,100.0,38,0.0,0.0,1.0,0.0,0.0,0,0,1,3.0,3.0,0.7%,22.8,7,2023,40,K,ACT,0,206,5,Florida Atlantic,SF,san_francisco_49ers,san_francisco_49ers,Levi's Stadium,Santa Clara,CA,37.403,-121.9692,Outdoor,Grass,13,2014,minnesota_vikings
24,Jake Elliott,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,1,2.0,2.0,60.8%,1.6,14,2023,4,K,ACT,0,167,9,Memphis,PHI,philadelphia_eagles,philadelphia_eagles,Lincoln Financial Field,Philadelphia,PA,39.9008,-75.1675,Outdoor,Grass,30,2003,seattle_seahawks
28,Greg Joseph,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.7%,0.0,14,2023,40,K,ACT,0,206,5,Florida Atlantic,SF,san_francisco_49ers,san_francisco_49ers,Levi's Stadium,Santa Clara,CA,37.403,-121.9692,Outdoor,Grass,13,2014,
5,Matthew Wright,3.0,3.0,100.0,41,0.0,1.0,1.0,1.0,0.0,3,3,1,13.0,13.0,2.1%,31.3,6,2023,37,K,ACT,0,174,4,UCF,CAR,carolina_panthers,carolina_panthers,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748,1996,miami_dolphins
1,Cameron Dicker,4.0,4.0,100.0,41,0.0,1.0,2.0,1.0,0.0,4,4,1,17.0,17.0,91.8%,34.8,17,2023,11,K,ACT,0,216,4,Texas,LAC,los_angeles_chargers,los_angeles_chargers,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100,2020,kansas_city_chiefs
20,Joey Slye,1.0,1.0,100.0,44,0.0,0.0,0.0,1.0,0.0,0,0,1,4.0,4.0,2.2%,23.5,3,2023,6,K,ACT,0,213,7,Virginia Tech,TEN,tennessee_titans,tennessee_titans,Nissan Stadium,Nashville,TN,36.1665,-86.7713,Outdoor,Grass,476,1999,cleveland_browns
28,Joshua Karty,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,1.0,1.0,12.6%,0.7,5,2023,16,K,ACT,0,208,2,Stanford,LAR,los_angeles_rams,los_angeles_rams,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100,2020,philadelphia_eagles
1,Cameron Dicker,5.0,5.0,100.0,59,0.0,1.0,0.0,2.0,2.0,0,0,1,21.0,21.0,91.8%,38.3,7,2023,11,K,ACT,0,216,4,Texas,LAC,los_angeles_chargers,los_angeles_chargers,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100,2020,kansas_city_chiefs
14,Younghoe Koo,2.0,2.0,100.0,29,0.0,2.0,0.0,0.0,0.0,1,1,1,7.0,7.0,21.9%,26.5,14,2023,6,K,ACT,0,195,8,Georgia Southern,ATL,atlanta_falcons,atlanta_falcons,Mercedes-Benz Stadium,Atlanta,GA,33.755,-84.4008,Indoor,Turf,1050,2017,carolina_panthers
8,Matt Gay,3.0,3.0,100.0,52,0.0,1.0,1.0,0.0,1.0,1,1,1,12.0,12.0,16.3%,30.6,7,2023,16,K,ACT,0,232,7,Utah,WAS,washington_commanders,washington_commanders,FedExField,Landover,MD,38.9078,-76.8645,Outdoor,Grass,300,1997,new_york_giants
