Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Score
47,Younghoe Koo,37.0,39.0,94.9,54,0.0,10.0,11.0,8.0,8.0,33,36,15,168.0,11.2,21.5%,101.16
46,Jason Sanders,36.0,39.0,92.3,56,1.0,8.0,7.0,12.0,8.0,36,36,16,172.0,10.8,47.1%,100.98000000000002
45,Daniel Carlson,33.0,35.0,94.3,54,0.0,18.0,8.0,3.0,4.0,45,47,16,155.0,9.7,12.7%,94.53999999999999
44,Greg Zuerlein,34.0,41.0,82.9,59,1.0,5.0,13.0,12.0,3.0,33,36,16,153.0,9.6,1.5%,92.02000000000001
43,Rodrigo Blankenship,32.0,37.0,86.5,53,0.0,10.0,12.0,9.0,1.0,43,45,16,150.0,9.4,0.2%,90.46000000000001
42,Tyler Bass,28.0,34.0,82.4,58,1.0,9.0,6.0,8.0,4.0,57,59,16,157.0,9.8,59.4%,89.2
41,Ryan Succop,28.0,31.0,90.3,50,1.0,10.0,9.0,7.0,1.0,52,57,16,145.0,9.1,1.5%,86.4
40,Cairo Santos,30.0,32.0,93.8,55,0.0,9.0,10.0,9.0,2.0,36,37,16,139.0,8.7,17.7%,86.23999999999998
39,Graham Gano,31.0,32.0,96.9,55,0.0,4.0,13.0,9.0,5.0,21,23,16,133.0,8.3,2.2%,84.9
38,Justin Tucker,26.0,29.0,89.7,55,0.0,8.0,6.0,9.0,3.0,52,53,16,145.0,9.1,15.4%,84.68
37,Brandon McManus,28.0,34.0,82.4,58,0.0,6.0,4.0,8.0,10.0,24,27,15,136.0,9.1,7.1%,82.32
36,Jason Myers,24.0,24.0,100.0,61,0.0,2.0,7.0,13.0,2.0,49,53,16,138.0,8.6,8.5%,81.84
35,Joey Slye,29.0,36.0,80.6,56,0.0,11.0,10.0,7.0,1.0,33,36,16,129.0,8.1,1.8%,80.86000000000001
34,Ka'imi Fairbairn,27.0,31.0,87.1,54,0.0,8.0,9.0,6.0,4.0,37,40,16,132.0,8.3,62.7%,80.84
33,Harrison Butker,25.0,27.0,92.6,58,2.0,7.0,9.0,3.0,4.0,48,54,16,134.0,8.4,69.8%,80.67999999999999
32,Dustin Hopkins,27.0,34.0,79.4,51,0.0,5.0,7.0,13.0,2.0,30,32,16,128.0,8.0,2.1%,78.28
31,Wil Lutz,23.0,28.0,82.1,53,0.0,5.0,10.0,7.0,1.0,57,58,16,135.0,8.4,32.7%,77.88
30,Nick Folk,26.0,28.0,92.9,51,0.0,6.0,7.0,11.0,2.0,30,33,16,123.0,7.7,0.9%,77.76
29,Michael Badgley,24.0,33.0,72.7,53,0.0,8.0,6.0,8.0,2.0,36,39,16,120.0,7.5,7.0%,72.94
28,Mason Crosby,16.0,16.0,100.0,57,1.0,1.0,5.0,5.0,4.0,59,63,16,120.0,7.5,0.1%,70.3
27,Matt Prater,21.0,28.0,75.0,59,0.0,4.0,7.0,4.0,6.0,38,41,16,117.0,7.3,0.8%,69.52000000000001
26,Cody Parkey,19.0,22.0,86.4,46,0.0,5.0,4.0,10.0,0.0,43,47,15,110.0,7.3,1.4%,67.6
25,Stephen Gostkowski,18.0,26.0,69.2,55,0.0,2.0,4.0,5.0,7.0,46,48,15,119.0,7.9,0.8%,67.1
24,Chris Boswell,19.0,20.0,95.0,59,0.0,5.0,6.0,7.0,1.0,34,38,13,100.0,7.7,72.3%,66.08000000000001
23,Robbie Gould,19.0,23.0,82.6,52,0.0,3.0,5.0,9.0,2.0,36,38,15,106.0,7.1,1.1%,65.56
22,Randy Bullock,21.0,26.0,80.8,55,0.0,3.0,8.0,7.0,3.0,24,25,12,100.0,8.3,1.1%,65.48
21,Zane Gonzalez,16.0,22.0,72.7,56,0.0,4.0,2.0,8.0,2.0,38,39,12,98.0,8.2,8.1%,60.02
20,Dan Bailey,15.0,22.0,68.2,53,0.0,6.0,3.0,4.0,2.0,37,43,16,90.0,5.6,1.6%,55.379999999999995
19,Matt Gay,14.0,16.0,87.5,51,0.0,2.0,5.0,6.0,1.0,16,16,7,66.0,9.4,14.1%,51.46000000000001
18,Jake Elliott,14.0,19.0,73.7,54,0.0,1.0,6.0,5.0,2.0,24,26,16,75.0,4.7,60.7%,50.019999999999996
17,Sam Ficken,13.0,15.0,86.7,54,0.0,5.0,6.0,1.0,1.0,12,15,9,54.0,6.0,0.0%,45.94
16,Sam Sloman,10.0,13.0,76.9,47,0.0,2.0,6.0,2.0,0.0,23,26,8,55.0,6.9,1.2%,42.440000000000005
