Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
240,Brock Bowers,112.0,153,1194.0,10.7,57.0,15.0,5.0,5,13,0,0,17,262.7,15.5,98.8%,434.015
239,Trey McBride,111.0,147,1146.0,10.3,37.0,10.0,2.0,1,2,1,0,16,249.8,15.6,98.3%,413.77500000000003
238,George Kittle,78.0,94,1106.0,14.2,43.0,21.0,8.0,0,0,0,0,15,236.6,15.8,97.9%,393.63
237,Jonnu Smith,88.0,111,884.0,10.0,57.0,4.0,8.0,2,-1,0,1,17,222.3,13.1,90.4%,335.33
236,Travis Kelce,97.0,133,823.0,8.5,38.0,9.0,3.0,1,1,0,1,16,195.4,12.2,94.3%,310.675
235,Sam LaPorta,60.0,83,726.0,12.1,52.0,11.0,7.0,0,0,0,0,16,174.6,10.9,97.7%,270.855
234,Mark Andrews,55.0,69,673.0,12.2,67.0,6.0,11.0,4,5,0,0,17,188.8,11.1,92.7%,263.21
233,Tucker Kraft,50.0,70,707.0,14.1,67.0,11.0,7.0,3,6,0,1,17,163.3,9.6,85.0%,260.495
232,Zach Ertz,66.0,91,654.0,9.9,37.0,7.0,7.0,0,0,0,0,17,177.4,10.4,47.7%,253.36499999999998
231,Pat Freiermuth,65.0,78,653.0,10.0,30.0,7.0,7.0,0,0,0,2,17,168.3,9.9,59.2%,249.15
230,Hunter Henry,66.0,97,674.0,10.2,35.0,4.0,2.0,0,0,0,0,16,145.4,9.1,48.8%,245.29
229,Mike Gesicki,65.0,83,665.0,10.2,47.0,5.0,2.0,0,0,0,1,17,141.5,8.3,34.3%,242.49999999999997
228,Cade Otton,59.0,87,600.0,10.2,44.0,7.0,4.0,1,-4,0,1,14,140.6,10.0,37.5%,225.46
227,Kyle Pitts,47.0,74,602.0,12.8,52.0,7.0,4.0,0,0,0,0,17,131.2,7.7,53.5%,219.20999999999995
226,David Njoku,64.0,97,505.0,7.9,29.0,4.0,5.0,0,0,0,0,11,148.5,13.5,90.2%,205.58500000000004
225,Juwan Johnson,50.0,66,548.0,11.0,30.0,8.0,3.0,0,0,0,0,17,122.8,7.2,18.1%,201.17000000000002
224,Dalton Schultz,53.0,85,532.0,10.0,32.0,5.0,2.0,0,0,0,0,17,118.2,7.0,23.2%,196.01000000000002
223,Chig Okonkwo,52.0,70,479.0,9.2,70.0,4.0,2.0,1,17,0,1,17,113.6,6.7,24.5%,184.49
222,Isaiah Likely,42.0,58,477.0,11.4,49.0,4.0,6.0,0,0,0,1,16,123.7,7.7,51.6%,184.15000000000003
221,Dallas Goedert,42.0,52,496.0,11.8,61.0,7.0,2.0,0,0,0,0,10,103.6,10.4,80.9%,183.51
220,Jake Ferguson,59.0,86,494.0,8.4,27.0,6.0,0.0,0,0,0,2,14,104.4,7.5,71.7%,183.02999999999997
219,Noah Fant,48.0,64,500.0,10.4,32.0,3.0,1.0,0,0,0,0,14,104.0,7.4,17.7%,181.52
218,Cole Kmet,47.0,55,474.0,10.1,31.0,7.0,4.0,0,0,0,0,17,120.4,7.1,26.5%,181.22499999999997
217,Will Dissly,50.0,64,481.0,9.6,29.0,5.0,2.0,0,0,0,0,15,110.1,7.3,8.0%,179.54
216,Austin Hooper,45.0,59,476.0,10.6,38.0,5.0,3.0,0,0,0,1,17,108.6,6.4,3.5%,177.28000000000003
215,Tyler Conklin,51.0,72,449.0,8.8,27.0,7.0,4.0,1,0,0,0,16,121.9,7.6,13.7%,176.42999999999995
214,Noah Gray,40.0,49,437.0,10.9,35.0,6.0,5.0,1,-4,0,0,17,113.3,6.7,16.9%,168.15499999999997
213,Dalton Kincaid,44.0,75,448.0,10.2,29.0,5.0,2.0,0,0,0,0,13,100.8,7.8,81.3%,166.69000000000003
212,T.J. Hockenson,41.0,62,455.0,11.1,34.0,5.0,0.0,0,0,0,0,10,86.5,8.7,94.1%,163.09499999999997
