Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,R_ATT,R_YDS,R_TD,FL,G,FPTS,FPTS/G,ROST,Score
141,Joe Burrow,460.0,652,70.6,4918.0,7.5,43.0,9.0,48,42.0,201.0,2.0,5,17,381.9,22.5,97.9%,2183.67
140,Jared Goff,390.0,539,72.4,4629.0,8.6,37.0,12.0,31,35.0,56.0,0.0,0,17,336.5,19.8,85.9%,2027.7900000000002
139,Baker Mayfield,407.0,570,71.4,4500.0,7.9,41.0,16.0,40,60.0,378.0,3.0,2,17,381.8,22.5,94.1%,2027.2199999999998
138,Lamar Jackson,316.0,474,66.7,4172.0,8.8,41.0,4.0,23,139.0,915.0,4.0,5,17,434.4,25.6,98.8%,1959.2199999999998
137,Sam Darnold,361.0,545,66.2,4319.0,7.9,35.0,12.0,48,67.0,212.0,1.0,4,17,319.8,18.8,37.0%,1909.94
136,Geno Smith,407.0,578,70.4,4320.0,7.5,21.0,15.0,50,53.0,272.0,2.0,0,17,281.1,16.5,36.4%,1899.83
135,Patrick Mahomes II,392.0,581,67.5,3928.0,6.8,26.0,11.0,36,58.0,307.0,2.0,0,16,293.9,18.4,95.9%,1752.89
134,Kyler Murray,372.0,541,68.8,3851.0,7.1,21.0,11.0,30,78.0,572.0,5.0,4,17,308.4,18.1,89.4%,1748.4800000000002
133,Josh Allen,307.0,483,63.6,3731.0,7.7,28.0,6.0,14,102.0,531.0,12.0,2,17,385.1,22.7,99.1%,1720.95
132,Justin Herbert,332.0,504,65.9,3870.0,7.7,23.0,3.0,41,69.0,306.0,2.0,2,17,288.6,17.0,87.1%,1720.62
131,Bo Nix,376.0,567,66.3,3775.0,6.7,29.0,12.0,24,92.0,430.0,4.0,0,17,329.1,19.4,91.2%,1715.4299999999998
130,Brock Purdy,300.0,455,65.9,3864.0,8.5,20.0,12.0,31,66.0,323.0,5.0,3,15,279.0,18.6,89.1%,1712.5400000000002
129,Aaron Rodgers,368.0,584,63.0,3897.0,6.7,28.0,11.0,40,22.0,107.0,0.0,2,17,267.6,15.7,26.2%,1709.9
128,Jayden Daniels,331.0,480,69.0,3568.0,7.4,25.0,9.0,47,148.0,891.0,6.0,0,17,364.7,21.5,98.6%,1684.1899999999998
127,C.J. Stroud,336.0,532,63.2,3727.0,7.0,20.0,12.0,52,52.0,233.0,0.0,4,17,232.4,13.7,71.1%,1635.1000000000001
126,Matthew Stafford,340.0,517,65.8,3762.0,7.3,20.0,8.0,28,30.0,41.0,0.0,2,16,222.6,13.9,48.4%,1627.9
125,Caleb Williams,351.0,562,62.5,3541.0,6.3,20.0,6.0,68,81.0,489.0,0.0,5,17,260.5,15.3,81.1%,1597.3300000000002
124,Kirk Cousins,303.0,453,66.9,3508.0,7.7,18.0,16.0,28,23.0,0.0,0.0,2,14,192.3,13.7,16.5%,1507.41
123,Jordan Love,268.0,425,63.1,3389.0,8.0,25.0,11.0,14,25.0,83.0,1.0,0,15,244.9,16.3,74.9%,1486.39
122,Jalen Hurts,248.0,361,68.7,2903.0,8.0,18.0,5.0,38,150.0,630.0,14.0,5,15,320.0,21.3,98.3%,1368.2199999999998
121,Tua Tagovailoa,291.0,399,72.9,2867.0,7.2,19.0,7.0,21,17.0,49.0,0.0,2,11,188.5,17.1,49.7%,1256.33
120,Russell Wilson,214.0,336,63.7,2482.0,7.4,16.0,5.0,33,43.0,155.0,2.0,4,11,177.8,16.2,22.2%,1100.5000000000002
119,Bryce Young,234.0,384,60.9,2403.0,6.3,15.0,9.0,29,43.0,249.0,6.0,2,14,203.8,14.6,43.8%,1087.0400000000002
118,Drake Maye,225.0,338,66.6,2276.0,6.7,15.0,10.0,34,54.0,421.0,2.0,6,14,187.1,13.4,74.3%,1046.2300000000002
117,Derek Carr,189.0,279,67.7,2145.0,7.7,15.0,5.0,8,17.0,71.0,1.0,0,10,156.0,15.6,15.1%,947.28
116,Jameis Winston,181.0,296,61.1,2121.0,7.2,13.0,12.0,24,25.0,83.0,1.0,2,12,143.2,11.9,10.3%,930.7600000000001
115,Daniel Jones,216.0,341,63.3,2070.0,6.1,8.0,7.0,29,67.0,265.0,2.0,2,10,142.3,14.2,20.0%,930.1899999999999
114,Will Levis,190.0,301,63.1,2091.0,6.9,13.0,12.0,41,45.0,183.0,0.0,6,12,132.0,11.0,8.0%,925.68
113,Trevor Lawrence,172.0,284,60.6,2045.0,7.2,11.0,7.0,18,26.0,119.0,3.0,1,10,152.2,15.2,50.3%,906.7800000000001
112,Gardner Minshew II,203.0,306,66.3,2013.0,6.6,9.0,10.0,29,19.0,58.0,0.0,4,10,106.5,10.7,3.1%,873.25
111,Dak Prescott,185.0,286,64.7,1978.0,6.9,11.0,8.0,21,13.0,54.0,1.0,1,8,124.5,15.6,76.7%,866.0700000000002
110,Anthony Richardson Sr.,126.0,264,47.7,1814.0,6.9,8.0,12.0,14,86.0,499.0,6.0,3,11,175.5,16.0,39.2%,853.3299999999999
