Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Score
72,Chris Boswell,41.0,44.0,93.2,57,0.0,9.0,12.0,7.0,13.0,35,35,17,191.0,11.2,72.3%,110.62
71,Brandon Aubrey,40.0,47.0,85.1,65,0.0,4.0,8.0,14.0,14.0,30,30,17,192.0,11.3,95.9%,108.94
70,Cameron Dicker,39.0,42.0,92.9,59,1.0,9.0,9.0,11.0,9.0,33,36,17,179.0,10.5,91.3%,105.28
69,Ka'imi Fairbairn,36.0,42.0,85.7,59,0.0,8.0,11.0,4.0,13.0,34,36,17,172.0,10.1,62.7%,99.97999999999999
68,Jason Sanders,37.0,41.0,90.2,57,0.0,7.0,13.0,5.0,12.0,26,28,17,166.0,9.8,47.1%,99.16
67,Chase McLaughlin,30.0,32.0,93.8,56,0.0,11.0,7.0,4.0,8.0,54,56,17,164.0,9.6,69.7%,94.29999999999998
66,Wil Lutz,31.0,34.0,91.2,55,0.0,2.0,13.0,11.0,5.0,46,46,17,160.0,9.4,32.7%,92.5
65,Daniel Carlson,34.0,40.0,85.0,54,0.0,10.0,11.0,6.0,7.0,23,25,17,145.0,8.5,12.7%,89.9
64,Jake Bates,26.0,29.0,89.7,58,0.0,3.0,10.0,7.0,6.0,64,67,17,161.0,9.5,88.7%,89.14
63,Matt Gay,31.0,37.0,83.8,56,0.0,9.0,12.0,7.0,3.0,33,33,16,139.0,8.7,14.1%,85.74
62,Jake Elliott,28.0,36.0,77.8,50,0.0,9.0,10.0,8.0,1.0,47,48,17,141.0,8.3,60.7%,83.28
61,Joshua Karty,29.0,34.0,85.3,58,0.0,10.0,9.0,4.0,6.0,32,36,17,135.0,7.9,10.5%,83.02
60,Tyler Bass,24.0,29.0,82.8,61,0.0,6.0,7.0,7.0,4.0,59,64,17,146.0,8.6,59.4%,82.2
59,Jason Myers,26.0,30.0,86.7,59,0.0,4.0,6.0,7.0,9.0,37,40,17,140.0,8.2,8.5%,82.02
58,Blake Grupe,27.0,31.0,87.1,57,0.0,4.0,10.0,7.0,6.0,31,33,17,131.0,7.7,2.7%,79.9
57,Chad Ryland,28.0,32.0,87.5,58,0.0,6.0,11.0,7.0,4.0,26,27,13,125.0,9.6,3.3%,79.84
56,Cam Little,27.0,29.0,93.1,59,0.0,8.0,6.0,8.0,5.0,27,27,17,126.0,7.4,4.1%,79.47999999999999
55,Justin Tucker,22.0,30.0,73.3,56,0.0,4.0,7.0,5.0,6.0,60,62,17,143.0,8.4,15.4%,78.32
54,Austin Seibert,27.0,30.0,90.0,55,0.0,10.0,7.0,8.0,2.0,22,24,9,115.0,12.8,0.7%,78.12
53,Will Reichard,24.0,30.0,80.0,58,0.0,5.0,6.0,5.0,8.0,38,38,13,131.0,10.1,12.1%,77.84
52,Joey Slye,26.0,33.0,78.8,63,0.0,5.0,10.0,5.0,6.0,25,26,17,120.0,7.1,1.8%,74.7
51,Younghoe Koo,25.0,34.0,73.5,58,0.0,7.0,5.0,7.0,6.0,26,26,14,120.0,8.6,21.5%,74.14
50,Jake Moody,24.0,34.0,70.6,53,0.0,9.0,5.0,6.0,4.0,32,33,14,118.0,8.4,12.9%,72.58
49,Nick Folk,21.0,22.0,95.5,56,0.0,5.0,2.0,8.0,6.0,25,25,14,108.0,7.7,0.9%,69.98
48,Eddy Pineiro,22.0,26.0,84.6,53,0.0,7.0,8.0,6.0,1.0,33,35,17,107.0,6.3,0.8%,68.44
47,Cairo Santos,21.0,25.0,84.0,54,0.0,4.0,4.0,5.0,8.0,25,26,17,109.0,6.4,17.7%,67.96000000000001
46,Brandon McManus,20.0,21.0,95.2,55,0.0,5.0,9.0,3.0,3.0,30,30,11,99.0,9.0,7.1%,67.03999999999999
45,Harrison Butker,21.0,25.0,84.0,53,1.0,7.0,7.0,4.0,2.0,29,31,13,100.0,7.7,69.8%,66.08000000000001
44,Evan McPherson,16.0,22.0,72.7,56,0.0,6.0,4.0,3.0,3.0,37,38,12,94.0,7.8,42.4%,58.86
43,Dustin Hopkins,18.0,27.0,66.7,56,0.0,3.0,6.0,5.0,4.0,17,20,16,84.0,5.3,2.1%,55.36000000000001
42,Greg Joseph,16.0,20.0,80.0,52,0.0,5.0,5.0,5.0,1.0,11,11,8,66.0,8.3,0.8%,51.620000000000005
41,Matthew Wright,15.0,16.0,93.8,50,0.0,3.0,8.0,3.0,1.0,6,6,5,56.0,11.2,1.7%,51.040000000000006
