Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,FPTS,FPTS/G,ROST,Score
181,Josh Jacobs,340.0,1653.0,4.9,86,7,12.0,53.0,64,400.0,7.5,0.0,1.0,17,328.3,19.3,98.1%,900.0349999999999
180,Derrick Henry,349.0,1538.0,4.4,56,10,13.0,33.0,41,398.0,12.1,0.0,3.0,16,302.8,18.9,98.7%,841.89
179,Nick Chubb,302.0,1525.0,5.0,41,13,12.0,27.0,37,239.0,8.9,1.0,1.0,17,281.4,16.6,36.5%,809.86
178,Saquon Barkley,295.0,1312.0,4.4,68,9,10.0,57.0,76,338.0,5.9,0.0,0.0,16,284.0,17.8,99.0%,726.1999999999999
177,Christian McCaffrey,244.0,1139.0,4.7,49,9,8.0,85.0,108,741.0,8.7,5.0,0.0,17,356.4,21.0,98.5%,701.5350000000001
176,Miles Sanders,259.0,1269.0,4.9,40,9,11.0,20.0,26,78.0,3.9,0.0,2.0,17,216.7,12.7,10.0%,658.8349999999999
175,Dalvin Cook,264.0,1173.0,4.4,81,5,8.0,39.0,56,295.0,7.6,2.0,4.0,17,237.8,14.0,0.7%,643.07
174,Aaron Jones Sr.,213.0,1121.0,5.3,36,6,2.0,59.0,72,395.0,6.7,5.0,3.0,17,248.6,14.6,89.7%,627.045
173,Travis Etienne Jr.,220.0,1125.0,5.1,62,8,5.0,35.0,45,316.0,9.0,0.0,3.0,17,205.1,12.1,81.6%,610.465
172,Austin Ekeler,204.0,915.0,4.5,72,4,13.0,107.0,127,722.0,6.7,5.0,3.0,17,372.7,21.9,68.7%,602.2350000000001
171,Rhamondre Stevenson,210.0,1040.0,5.0,49,7,5.0,69.0,88,421.0,6.1,1.0,1.0,17,249.1,14.7,81.8%,594.98
170,Tony Pollard,193.0,1007.0,5.2,57,9,9.0,39.0,55,371.0,9.5,3.0,0.0,16,248.8,15.6,87.8%,572.5699999999999
169,Najee Harris,272.0,1034.0,3.8,36,1,7.0,41.0,53,229.0,5.6,3.0,2.0,17,223.5,13.1,82.2%,571.6
168,Jamaal Williams,262.0,1066.0,4.1,58,4,17.0,12.0,16,73.0,6.1,0.0,2.0,17,225.9,13.3,1.0%,570.7850000000001
167,Kenneth Walker III,228.0,1050.0,4.6,74,10,9.0,27.0,35,165.0,6.1,0.0,0.0,15,202.5,13.5,94.1%,563.34
166,Tyler Allgeier,210.0,1035.0,4.9,44,6,3.0,16.0,17,139.0,8.7,1.0,0.0,16,159.4,10.0,47.0%,539.1650000000001
165,Alvin Kamara,223.0,897.0,4.0,27,3,2.0,57.0,77,490.0,8.6,2.0,4.0,15,211.7,14.1,94.6%,528.4200000000002
164,Dameon Pierce,220.0,939.0,4.3,75,7,4.0,30.0,39,165.0,5.5,1.0,2.0,13,166.4,12.8,10.1%,503.315
163,Joe Mixon,212.0,826.0,3.9,40,4,7.0,60.0,75,441.0,7.4,2.0,0.0,15,240.7,16.0,96.6%,499.525
162,Raheem Mostert,181.0,891.0,4.9,67,6,3.0,31.0,42,202.0,6.5,2.0,1.0,16,168.3,10.5,16.0%,481.195
161,Ezekiel Elliott,231.0,876.0,3.8,27,5,12.0,17.0,23,92.0,5.4,0.0,0.0,15,185.8,12.4,3.7%,474.45000000000005
160,D'Onta Foreman,203.0,914.0,4.5,60,8,5.0,5.0,9,26.0,5.2,0.0,0.0,16,131.0,8.2,1.4%,466.035
159,Jeff Wilson Jr.,176.0,860.0,4.9,41,7,5.0,22.0,37,185.0,8.4,1.0,2.0,16,158.5,9.9,1.0%,462.6050000000001
158,Devin Singletary,178.0,822.0,4.6,33,5,5.0,38.0,52,280.0,7.4,1.0,3.0,17,178.2,10.5,10.3%,460.78000000000003
157,Jonathan Taylor,192.0,861.0,4.5,66,5,4.0,28.0,40,143.0,5.1,0.0,3.0,12,146.4,12.2,98.3%,458.6650000000001
156,David Montgomery,201.0,801.0,4.0,28,2,5.0,34.0,40,316.0,9.3,1.0,2.0,16,177.7,11.1,93.5%,456.9200000000001
155,James Conner,183.0,782.0,4.3,23,3,7.0,46.0,58,300.0,6.5,1.0,1.0,13,200.2,15.4,92.4%,452.9050000000001
154,Isiah Pacheco,170.0,830.0,4.9,31,3,5.0,13.0,14,130.0,10.0,0.0,2.0,17,135.0,7.9,90.1%,436.70500000000004
153,Leonard Fournette,189.0,668.0,3.5,23,1,3.0,73.0,83,523.0,7.2,3.0,0.0,16,227.1,14.2,0.1%,430.805
152,A.J. Dillon,186.0,770.0,4.1,27,3,7.0,28.0,43,206.0,7.4,0.0,0.0,17,167.6,9.9,5.7%,428.4050000000001
151,Cam Akers,188.0,786.0,4.2,42,3,7.0,13.0,18,117.0,9.0,0.0,2.0,15,141.3,9.4,2.9%,419.81
150,Brian Robinson Jr.,205.0,797.0,3.9,24,2,2.0,9.0,12,60.0,6.7,1.0,0.0,12,112.7,9.4,86.1%,412.89500000000004
