Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
141,Travis Kelce,110.0,152,1338.0,12.2,52.0,19.0,12.0,2,5,0,1,17,316.3,18.6,94.3%,490.25999999999993
140,T.J. Hockenson,86.0,129,914.0,10.6,81.0,5.0,6.0,0,0,0,1,17,215.4,12.7,94.1%,341.49
139,Mark Andrews,73.0,113,847.0,11.6,36.0,7.0,5.0,3,8,0,0,15,190.5,12.7,92.7%,308.07
138,George Kittle,60.0,86,765.0,12.8,54.0,12.0,11.0,0,0,0,1,15,200.5,13.4,97.9%,291.78
137,Evan Engram,73.0,98,766.0,10.5,36.0,10.0,4.0,2,13,0,0,17,176.9,10.4,87.0%,282.455
136,Pat Freiermuth,63.0,98,732.0,11.6,57.0,9.0,2.0,0,0,0,0,15,148.2,9.9,59.2%,262.81
135,Dallas Goedert,55.0,69,702.0,12.8,31.0,11.0,3.0,0,0,0,1,12,141.2,11.8,80.9%,249.44999999999996
134,Tyler Higbee,72.0,108,620.0,8.6,26.0,4.0,3.0,0,0,0,0,16,152.0,9.5,16.9%,235.39
133,David Njoku,58.0,80,628.0,10.8,38.0,8.0,4.0,2,-8,0,1,14,142.0,10.1,90.2%,232.16000000000003
132,Dalton Schultz,57.0,89,577.0,10.1,30.0,5.0,5.0,0,0,0,1,15,142.7,9.5,23.2%,218.325
131,Cole Kmet,50.0,69,544.0,10.9,50.0,6.0,7.0,2,9,0,0,17,147.3,8.7,26.5%,211.90499999999997
130,Gerald Everett,58.0,87,555.0,9.6,26.0,4.0,4.0,1,0,0,0,15,139.5,9.3,0.8%,211.06
129,Tyler Conklin,58.0,87,552.0,9.5,30.0,6.0,3.0,2,3,0,0,17,131.5,7.7,13.7%,207.35500000000002
128,Dawson Knox,48.0,65,517.0,10.8,45.0,8.0,6.0,0,0,0,0,15,135.7,9.0,5.7%,200.28000000000003
127,Juwan Johnson,42.0,65,508.0,12.1,41.0,8.0,7.0,0,0,0,0,16,134.8,8.4,18.1%,195.715
126,Noah Fant,50.0,63,486.0,9.7,51.0,4.0,4.0,0,0,0,0,17,122.6,7.2,17.7%,187.615
125,Jordan Akins,37.0,54,495.0,13.4,46.0,8.0,5.0,0,0,0,1,15,116.5,7.8,1.0%,184.67999999999998
124,Hunter Henry,41.0,59,509.0,12.4,39.0,10.0,2.0,0,0,0,0,16,103.9,6.5,48.8%,183.13
123,Robert Tonyan,53.0,67,470.0,8.9,24.0,5.0,2.0,0,0,0,0,17,112.0,6.6,0.0%,177.525
122,Hayden Hurst,54.0,70,439.0,8.1,29.0,5.0,2.0,0,0,0,0,14,109.9,7.9,0.6%,170.395
121,Chig Okonkwo,32.0,46,450.0,14.1,48.0,7.0,3.0,3,2,0,0,16,97.2,6.1,24.5%,164.415
