Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,FPTS,FPTS/G,ROST,Score
185,Derrick Henry,378.0,2027.0,5.4,94,16,17.0,19.0,31,114.0,6.0,0.0,2.0,16,333.1,20.8,98.7%,1043.52
184,Dalvin Cook,312.0,1557.0,5.0,70,6,16.0,44.0,54,361.0,8.2,1.0,3.0,14,337.8,24.1,0.7%,854.09
183,Jonathan Taylor,232.0,1169.0,5.0,62,7,11.0,36.0,40,299.0,8.3,1.0,1.0,15,252.8,16.9,98.3%,643.5300000000002
182,Aaron Jones Sr.,201.0,1104.0,5.5,77,6,9.0,47.0,63,355.0,7.6,2.0,0.0,14,258.9,18.5,89.7%,619.0550000000002
181,David Montgomery,247.0,1070.0,4.3,80,5,8.0,54.0,68,438.0,8.1,2.0,1.0,15,264.8,17.7,93.5%,617.615
180,Alvin Kamara,187.0,932.0,5.0,49,7,16.0,83.0,107,756.0,9.1,5.0,0.0,15,377.8,25.2,94.6%,612.77
179,James Robinson,240.0,1070.0,4.5,47,5,7.0,49.0,60,344.0,7.0,3.0,1.0,14,250.4,17.9,0.0%,603.925
178,Josh Jacobs,273.0,1065.0,3.9,28,3,12.0,33.0,45,238.0,7.2,0.0,2.0,15,231.3,15.4,98.1%,589.7149999999998
177,Nick Chubb,190.0,1067.0,5.6,59,12,12.0,16.0,18,150.0,9.4,0.0,1.0,12,207.7,17.3,36.5%,568.02
176,Ezekiel Elliott,244.0,979.0,4.0,31,3,6.0,52.0,71,338.0,6.5,2.0,5.0,15,223.7,14.9,3.7%,555.8600000000001
175,Melvin Gordon III,215.0,986.0,4.6,65,5,9.0,32.0,44,158.0,4.9,1.0,4.0,15,198.4,13.2,0.0%,531.83
174,Ronald Jones II,192.0,978.0,5.1,98,6,7.0,28.0,42,165.0,5.9,1.0,2.0,14,186.3,13.3,0.0%,523.315
173,Kenyan Drake,239.0,955.0,4.0,69,6,10.0,25.0,31,137.0,5.5,0.0,1.0,15,192.2,12.8,1.1%,516.63
172,Kareem Hunt,198.0,841.0,4.2,33,3,6.0,38.0,51,304.0,8.0,5.0,0.0,16,218.5,13.7,31.9%,483.78999999999996
171,Miles Sanders,164.0,867.0,5.3,82,4,6.0,28.0,52,197.0,7.0,0.0,2.0,12,170.4,14.2,10.0%,470.385
170,Clyde Edwards-Helaire,181.0,803.0,4.4,31,3,4.0,36.0,54,297.0,8.3,1.0,0.0,13,176.0,13.5,3.2%,454.3600000000001
169,Antonio Gibson,170.0,795.0,4.7,40,5,11.0,36.0,44,247.0,6.9,0.0,2.0,14,202.2,14.4,13.6%,452.715
168,J.K. Dobbins,134.0,805.0,6.0,72,8,9.0,18.0,24,120.0,6.7,0.0,0.0,15,168.5,11.2,52.0%,431.01
167,James Conner,169.0,721.0,4.3,59,5,6.0,35.0,43,215.0,6.1,0.0,0.0,13,164.6,12.7,92.4%,406.12499999999994
166,David Johnson,147.0,691.0,4.7,48,4,6.0,33.0,46,314.0,9.5,2.0,1.0,12,179.5,15.0,0.0%,403.95499999999987
165,Chris Carson,141.0,681.0,4.8,29,3,5.0,37.0,46,287.0,7.8,4.0,0.0,12,187.8,15.7,0.3%,398.34
164,Mike Davis,165.0,642.0,3.9,25,2,6.0,59.0,70,373.0,6.3,2.0,1.0,15,206.5,13.8,1.0%,397.12499999999994
163,Devin Singletary,156.0,687.0,4.4,51,3,2.0,38.0,50,269.0,7.1,0.0,1.0,16,143.6,9.0,10.3%,388.2300000000001
162,Gus Edwards,144.0,723.0,5.0,36,8,6.0,9.0,13,129.0,14.3,0.0,1.0,16,128.2,8.0,2.9%,384.6399999999999
161,Todd Gurley II,195.0,678.0,3.5,35,2,9.0,25.0,35,164.0,6.6,0.0,0.0,15,163.2,10.9,0.6%,383.53499999999997
160,Wayne Gallman Jr.,147.0,682.0,4.6,60,3,6.0,21.0,27,114.0,5.4,0.0,0.0,15,136.6,9.1,0.0%,368.24
159,Latavius Murray,146.0,656.0,4.5,36,3,4.0,23.0,26,176.0,7.7,1.0,0.0,15,136.2,9.1,0.0%,362.04500000000013
158,Myles Gaskin,142.0,584.0,4.1,26,3,3.0,41.0,47,388.0,9.5,2.0,2.0,10,164.2,16.4,0.0%,359.475
157,Damien Harris,137.0,691.0,5.0,41,4,2.0,5.0,7,52.0,10.4,0.0,0.0,10,91.3,9.1,4.6%,352.89
156,Frank Gore,187.0,653.0,3.5,17,0,2.0,16.0,19,89.0,5.6,0.0,1.0,15,100.2,6.7,8.4%,346.325
155,Darrell Henderson Jr.,138.0,624.0,4.5,40,3,5.0,16.0,24,159.0,9.9,1.0,0.0,15,130.3,8.7,0.0%,343.5450000000001
154,Austin Ekeler,116.0,530.0,4.6,27,2,1.0,54.0,65,403.0,7.5,2.0,0.0,10,165.3,16.5,68.7%,335.1
