Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
158,Travis Kelce,105.0,145,1416.0,13.5,45.0,23.0,11.0,0,0,0,1,15,312.8,20.9,94.3%,507.275
157,Darren Waller,107.0,145,1196.0,11.2,38.0,16.0,9.0,0,0,0,2,16,278.6,17.4,1.1%,438.57
156,T.J. Hockenson,67.0,101,723.0,10.8,51.0,6.0,6.0,1,0,0,1,16,175.3,11.0,94.1%,271.51
155,Mark Andrews,58.0,88,701.0,12.1,39.0,10.0,7.0,0,0,0,0,14,170.1,12.2,92.7%,261.675
154,Mike Gesicki,53.0,85,703.0,13.3,70.0,10.0,6.0,0,0,0,0,15,159.3,10.6,34.3%,259.32500000000005
153,Logan Thomas,72.0,110,670.0,9.3,30.0,5.0,6.0,3,5,0,0,16,176.6,11.0,0.0%,257.975
152,Noah Fant,62.0,93,673.0,10.9,37.0,8.0,3.0,0,0,0,0,15,149.3,10.0,17.7%,246.37499999999997
151,Evan Engram,63.0,109,654.0,10.4,53.0,6.0,1.0,6,26,1,1,16,141.0,8.8,87.0%,239.33000000000004
150,Robert Tonyan,52.0,59,586.0,11.3,45.0,9.0,11.0,0,0,0,0,16,176.6,11.0,0.0%,234.67499999999998
149,Rob Gronkowski,45.0,77,623.0,13.8,48.0,10.0,7.0,0,0,0,0,16,149.3,9.3,1.3%,231.38
148,Dalton Schultz,63.0,89,615.0,9.8,28.0,3.0,4.0,0,0,0,1,16,146.5,9.2,23.2%,230.00000000000003
147,Hunter Henry,60.0,93,613.0,10.2,33.0,5.0,4.0,0,0,0,0,14,145.3,10.4,48.8%,229.33
146,George Kittle,48.0,63,634.0,13.2,44.0,8.0,2.0,2,17,0,0,8,125.1,15.6,97.9%,227.25000000000003
145,Hayden Hurst,56.0,88,571.0,10.2,42.0,5.0,6.0,0,0,0,0,16,149.1,9.3,0.6%,220.02999999999997
144,Eric Ebron,56.0,91,558.0,10.0,27.0,6.0,5.0,0,0,0,1,15,141.8,9.5,0.0%,212.73999999999998
143,Tyler Higbee,44.0,60,521.0,11.8,44.0,9.0,5.0,1,1,0,0,15,128.2,8.5,16.9%,197.08000000000004
142,Dallas Goedert,46.0,65,524.0,11.4,41.0,7.0,3.0,0,0,0,0,11,116.4,10.6,80.9%,194.26999999999998
141,Jared Cook,37.0,60,504.0,13.6,46.0,6.0,7.0,0,0,0,1,15,127.4,8.5,0.0%,191.30999999999997
140,Jimmy Graham,50.0,76,456.0,9.1,30.0,4.0,8.0,0,0,0,0,16,143.6,9.0,0.0%,186.945
139,Jonnu Smith,41.0,65,448.0,10.9,63.0,4.0,8.0,2,4,1,0,15,140.2,9.3,90.4%,184.465
138,Austin Hooper,46.0,70,435.0,9.5,36.0,3.0,4.0,0,0,0,0,13,113.5,8.7,3.5%,169.70499999999998
