Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
145,Mark Andrews,107.0,153,1361.0,12.7,43.0,20.0,9.0,1,0,0,0,17,301.1,17.7,92.7%,487.81499999999994
144,Travis Kelce,92.0,134,1125.0,12.2,69.0,13.0,9.0,2,3,1,1,16,262.8,16.4,94.3%,413.38
143,Kyle Pitts,68.0,110,1026.0,15.1,61.0,16.0,1.0,0,0,0,0,17,176.6,10.4,53.5%,347.9050000000001
142,George Kittle,71.0,94,910.0,12.8,48.0,13.0,6.0,3,20,0,1,14,198.0,14.1,97.9%,328.40999999999997
141,Dalton Schultz,78.0,104,808.0,10.4,32.0,6.0,8.0,0,0,0,0,17,208.8,12.3,23.2%,306.21999999999997
140,Dallas Goedert,56.0,76,830.0,14.8,45.0,14.0,4.0,0,0,0,0,15,165.0,11.0,80.9%,291.12
139,Rob Gronkowski,55.0,88,802.0,14.6,42.0,16.0,6.0,0,0,0,0,12,171.2,14.3,1.3%,287.82
138,Zach Ertz,74.0,112,763.0,10.3,47.0,7.0,5.0,1,4,0,0,17,180.7,10.6,47.7%,284.54499999999996
137,Mike Gesicki,73.0,112,780.0,10.7,40.0,12.0,2.0,0,0,0,0,17,165.0,9.7,34.3%,281.735
136,Noah Fant,68.0,90,670.0,9.9,35.0,7.0,4.0,0,0,0,0,16,159.0,9.9,17.7%,250.645
135,Darren Waller,55.0,93,665.0,12.1,33.0,13.0,2.0,0,0,0,0,11,133.5,12.1,1.1%,237.805
134,Hunter Henry,50.0,75,603.0,12.1,35.0,8.0,9.0,0,0,0,0,16,164.3,10.3,48.8%,232.275
133,Dawson Knox,49.0,71,587.0,12.0,53.0,8.0,9.0,0,4,0,0,15,164.1,10.9,5.7%,229.89000000000004
132,T.J. Hockenson,61.0,84,583.0,9.6,33.0,8.0,4.0,0,0,0,0,12,145.3,12.1,94.1%,223.07000000000002
131,Tyler Conklin,61.0,87,593.0,9.7,40.0,4.0,3.0,0,0,0,0,17,138.3,8.1,13.7%,221.68500000000003
130,Cole Kmet,60.0,93,612.0,10.2,25.0,7.0,0.0,1,0,0,0,17,121.2,7.1,26.5%,217.93
129,Tyler Higbee,61.0,85,560.0,9.2,37.0,3.0,5.0,0,0,0,0,15,147.0,9.8,16.9%,217.24999999999997
128,Jared Cook,48.0,83,564.0,11.8,42.0,7.0,4.0,0,0,0,0,16,132.4,8.3,0.0%,209.51
127,Pat Freiermuth,60.0,79,497.0,8.3,24.0,2.0,7.0,0,0,0,1,16,151.7,9.5,59.2%,201.905
126,C.J. Uzomah,49.0,63,493.0,10.1,55.0,7.0,5.0,0,0,0,0,16,128.3,8.0,0.0%,192.30499999999998
