Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
450,Ja'Marr Chase,127.0,175,1708.0,13.4,70.0,19.0,17.0,3,32,0,0,17,403.0,23.7,99.0%,490.85999999999996
449,Justin Jefferson,103.0,154,1533.0,14.9,97.0,28.0,10.0,1,3,0,0,17,317.5,18.7,99.0%,439.035
448,Amon-Ra St. Brown,115.0,141,1263.0,11.0,66.0,14.0,12.0,2,6,0,1,17,316.2,18.6,99.1%,371.65
447,Brian Thomas Jr.,87.0,133,1282.0,14.7,85.0,18.0,10.0,6,48,0,0,17,284.0,16.7,98.0%,368.455
446,Drake London,100.0,158,1271.0,12.7,39.0,12.0,9.0,1,-3,0,0,17,280.8,16.5,97.6%,364.25499999999994
445,Jerry Jeudy,90.0,145,1229.0,13.7,89.0,13.0,4.0,0,0,0,0,17,240.9,14.2,88.8%,353.005
444,Malik Nabers,109.0,170,1204.0,11.0,59.0,16.0,7.0,5,2,0,0,15,273.6,18.2,98.3%,351.79999999999995
443,CeeDee Lamb,101.0,152,1194.0,11.8,65.0,16.0,6.0,14,70,0,1,15,263.4,17.6,98.7%,346.72
442,Ladd McConkey,82.0,112,1149.0,14.0,60.0,15.0,7.0,0,0,0,0,16,240.9,15.1,97.5%,329.05
441,Jaxon Smith-Njigba,100.0,137,1130.0,11.3,46.0,14.0,6.0,5,26,0,0,17,253.0,14.9,97.1%,328.195
440,Garrett Wilson,101.0,154,1104.0,10.9,42.0,16.0,7.0,2,5,0,2,17,251.9,14.8,95.6%,322.285
439,Terry McLaurin,82.0,117,1096.0,13.4,86.0,12.0,13.0,2,2,0,1,17,267.8,15.8,97.5%,321.01
438,Courtland Sutton,81.0,135,1081.0,13.3,47.0,17.0,8.0,0,0,0,1,17,240.3,14.1,91.2%,310.995
437,Davante Adams,85.0,141,1063.0,12.5,71.0,16.0,8.0,0,0,0,0,14,241.3,17.2,96.1%,310.07500000000005
436,A.J. Brown,67.0,97,1079.0,16.1,67.0,17.0,7.0,0,0,0,0,13,216.9,16.7,99.0%,307.515
435,Zay Flowers,74.0,116,1059.0,14.3,53.0,19.0,4.0,9,56,0,0,17,209.5,12.3,93.3%,301.99499999999995
434,Jakobi Meyers,87.0,129,1027.0,11.8,43.0,16.0,4.0,2,23,0,0,15,218.0,14.5,84.5%,296.87
433,Mike Evans,74.0,110,1004.0,13.6,57.0,15.0,11.0,0,0,0,0,14,240.4,17.2,97.3%,291.64
432,Calvin Ridley,64.0,120,1017.0,15.9,63.0,19.0,4.0,8,55,1,1,17,199.2,11.7,86.1%,289.23499999999996
431,Nico Collins,68.0,99,1006.0,14.8,67.0,14.0,7.0,0,0,0,0,12,210.6,17.6,98.7%,289.12
430,Jameson Williams,58.0,91,1001.0,17.3,82.0,17.0,7.0,11,61,1,0,15,212.2,14.1,90.5%,286.545
429,DJ Moore,98.0,140,966.0,9.9,44.0,11.0,6.0,14,75,0,1,17,238.1,14.0,94.2%,285.785
428,DK Metcalf,66.0,108,992.0,15.0,71.0,20.0,5.0,0,0,0,2,15,191.2,12.7,95.0%,284.95000000000005
427,Puka Nacua,79.0,106,990.0,12.5,51.0,11.0,3.0,11,46,1,0,11,206.6,18.8,98.9%,284.725
