Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,FPTS,FPTS/G,ROST,Score
196,Jonathan Taylor,332.0,1811.0,5.5,83,14,18.0,40.0,51,360.0,9.0,2.0,2.0,17,373.1,21.9,98.3%,977.3650000000002
195,Najee Harris,307.0,1200.0,3.9,37,6,7.0,74.0,94,467.0,6.3,3.0,0.0,17,300.7,17.7,82.2%,693.935
194,Joe Mixon,292.0,1205.0,4.1,32,6,13.0,42.0,48,314.0,7.5,3.0,1.0,16,287.9,18.0,96.6%,676.0450000000001
193,Nick Chubb,228.0,1259.0,5.5,70,12,8.0,20.0,25,174.0,8.7,1.0,1.0,14,215.3,15.4,36.5%,660.455
192,Dalvin Cook,249.0,1159.0,4.7,66,9,6.0,34.0,49,224.0,6.6,0.0,2.0,13,206.3,15.9,0.7%,621.185
191,Austin Ekeler,206.0,911.0,4.4,28,3,12.0,70.0,94,647.0,9.2,8.0,3.0,16,343.8,21.5,68.7%,583.4200000000001
190,Antonio Gibson,258.0,1037.0,4.0,27,4,7.0,42.0,52,294.0,7.0,3.0,4.0,16,229.1,14.3,13.6%,579.46
189,Ezekiel Elliott,237.0,1002.0,4.2,47,3,10.0,47.0,65,287.0,6.1,2.0,1.0,17,252.1,14.8,3.7%,567.5900000000001
188,Alvin Kamara,240.0,898.0,3.7,30,3,4.0,47.0,67,439.0,9.3,5.0,0.0,13,234.7,18.1,94.6%,531.725
187,Derrick Henry,219.0,937.0,4.3,76,3,10.0,18.0,20,154.0,8.6,0.0,0.0,8,193.3,24.2,98.7%,511.315
186,Javonte Williams,203.0,903.0,4.4,49,6,4.0,43.0,53,316.0,7.3,3.0,1.0,17,204.9,12.1,76.9%,509.6200000000001
185,Elijah Mitchell,207.0,963.0,4.7,39,6,5.0,19.0,20,137.0,7.2,1.0,0.0,12,165.0,13.8,6.8%,509.59499999999997
184,Josh Jacobs,217.0,872.0,4.0,28,2,9.0,54.0,64,348.0,6.4,0.0,2.0,15,226.0,15.1,98.1%,508.03000000000003
183,Damien Harris,202.0,929.0,4.6,64,8,15.0,18.0,20,132.0,7.3,0.0,2.0,15,210.1,14.0,4.6%,505.96
182,Melvin Gordon III,203.0,918.0,4.5,70,3,8.0,28.0,38,213.0,7.6,2.0,3.0,16,195.2,12.2,0.0%,503.9750000000001
181,Leonard Fournette,180.0,812.0,4.5,47,5,8.0,69.0,84,454.0,6.6,2.0,0.0,14,255.6,18.3,0.1%,496.38500000000005
180,David Montgomery,225.0,849.0,3.8,41,5,7.0,42.0,51,301.0,7.2,0.0,1.0,14,196.0,14.0,93.5%,485.52
179,Devin Singletary,188.0,870.0,4.6,46,6,7.0,40.0,50,228.0,5.7,1.0,0.0,17,197.8,11.6,10.3%,483.7300000000001
178,Aaron Jones Sr.,171.0,799.0,4.7,57,5,4.0,52.0,65,391.0,7.5,6.0,1.0,15,229.0,15.3,89.7%,474.14500000000004
177,James Conner,202.0,752.0,3.7,35,3,15.0,37.0,39,375.0,10.1,3.0,0.0,15,257.7,17.2,92.4%,463.3550000000001
176,A.J. Dillon,187.0,803.0,4.3,36,2,5.0,34.0,37,313.0,9.2,2.0,1.0,17,185.6,10.9,5.7%,457.88499999999993
175,Sony Michel,208.0,845.0,4.1,39,2,4.0,21.0,33,128.0,6.1,1.0,1.0,17,146.3,8.6,0.0%,450.00500000000005
174,James Robinson,164.0,767.0,4.7,58,4,8.0,31.0,46,222.0,7.2,0.0,2.0,14,173.9,12.4,0.0%,429.05500000000006
173,Tony Pollard,130.0,719.0,5.5,58,4,2.0,39.0,46,337.0,8.6,0.0,0.0,15,162.6,10.8,87.8%,411.53499999999997
172,Cordarrelle Patterson,153.0,618.0,4.0,39,2,6.0,52.0,69,548.0,10.5,5.0,0.0,16,234.6,14.7,0.9%,408.2300000000001
171,Miles Sanders,137.0,754.0,5.5,38,7,0.0,26.0,34,158.0,6.1,0.0,1.0,12,117.2,9.8,10.0%,398.505
170,D'Andre Swift,151.0,617.0,4.1,57,3,5.0,62.0,78,452.0,7.3,2.0,1.0,13,208.9,16.1,88.9%,393.47499999999997
169,Rashaad Penny,119.0,749.0,6.3,62,11,6.0,6.0,8,48.0,8.0,0.0,0.0,10,121.7,12.2,0.0%,385.695
168,Darrell Henderson Jr.,149.0,688.0,4.6,29,1,5.0,29.0,40,176.0,6.1,3.0,0.0,12,163.4,13.6,0.0%,384.75
167,Michael Carter,147.0,639.0,4.3,55,3,4.0,36.0,55,325.0,9.0,0.0,1.0,14,154.4,11.0,0.9%,374.675
166,Darrel Williams,144.0,558.0,3.9,21,1,6.0,47.0,57,452.0,9.6,2.0,0.0,17,196.0,11.5,0.0%,361.23499999999996
165,Myles Gaskin,173.0,612.0,3.5,30,2,3.0,49.0,63,234.0,4.8,4.0,1.0,17,173.6,10.2,0.0%,360.8049999999999
