Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,REC_YDS,Y/R,REC_TD,FL,G,FPTS,FPTS/G,ROST,Score
173,Christian McCaffrey,272.0,1459.0,5.4,72,9,14.0,67.0,83,564.0,8.4,7.0,2.0,16,391.3,24.5,98.5%,839.3700000000001
172,Derrick Henry,280.0,1167.0,4.2,69,5,12.0,28.0,36,214.0,7.6,0.0,0.0,17,246.7,14.5,98.7%,636.4699999999999
171,James Cook,237.0,1122.0,4.7,42,6,2.0,44.0,54,445.0,10.1,4.0,2.0,17,232.7,13.7,97.6%,629.855
170,Kyren Williams,228.0,1144.0,5.0,56,7,12.0,32.0,48,206.0,6.4,3.0,2.0,12,255.0,21.3,97.6%,624.4399999999999
169,Breece Hall,223.0,994.0,4.5,83,7,5.0,76.0,95,591.0,7.8,4.0,0.0,17,290.5,17.1,96.6%,602.605
168,Travis Etienne Jr.,267.0,1008.0,3.8,62,6,11.0,58.0,73,476.0,8.2,1.0,0.0,17,282.4,16.6,81.6%,600.23
167,Joe Mixon,257.0,1034.0,4.0,44,3,9.0,52.0,64,376.0,7.2,3.0,0.0,17,267.0,15.7,96.6%,596.4100000000001
166,Rachaad White,272.0,990.0,3.6,38,3,6.0,64.0,70,549.0,8.6,3.0,2.0,17,267.9,15.8,72.7%,595.3599999999999
165,Bijan Robinson,214.0,976.0,4.6,38,7,4.0,58.0,86,487.0,8.4,4.0,3.0,17,246.3,14.5,98.7%,571.1
164,D'Andre Swift,229.0,1049.0,4.6,43,6,5.0,39.0,49,214.0,5.5,1.0,1.0,16,199.3,12.5,88.9%,566.55
163,Tony Pollard,252.0,1005.0,4.0,31,6,6.0,55.0,67,311.0,5.7,0.0,1.0,17,222.6,13.1,87.8%,565.4
162,Raheem Mostert,209.0,1012.0,4.8,49,7,18.0,25.0,32,175.0,7.0,3.0,1.0,15,267.7,17.8,16.0%,563.3
161,Najee Harris,255.0,1035.0,4.1,25,8,8.0,29.0,38,170.0,5.9,0.0,1.0,17,195.5,11.5,82.2%,557.415
160,James Conner,208.0,1040.0,5.0,44,11,7.0,27.0,33,165.0,6.1,2.0,0.0,13,201.5,15.5,92.4%,556.7
159,David Montgomery,219.0,1015.0,4.6,75,4,13.0,16.0,24,117.0,7.3,0.0,1.0,14,207.2,14.8,93.5%,543.62
158,Saquon Barkley,247.0,962.0,3.9,36,7,6.0,41.0,60,280.0,6.8,4.0,2.0,14,223.2,15.9,99.0%,542.295
157,Jahmyr Gibbs,182.0,945.0,5.2,36,10,10.0,52.0,71,316.0,6.1,1.0,1.0,15,242.1,16.1,99.0%,538.28
156,Isiah Pacheco,205.0,935.0,4.6,48,6,7.0,44.0,49,244.0,5.5,2.0,1.0,14,213.9,15.3,90.1%,521.01
155,Kenneth Walker III,219.0,905.0,4.1,45,7,8.0,29.0,37,259.0,8.9,1.0,0.0,15,199.4,13.3,94.1%,505.73499999999996
154,Chuba Hubbard,238.0,902.0,3.8,22,4,5.0,39.0,44,233.0,6.0,0.0,0.0,17,182.5,10.7,93.2%,499.18
153,Devin Singletary,216.0,898.0,4.2,24,3,4.0,30.0,38,193.0,6.4,0.0,0.0,17,167.3,9.8,10.3%,486.63000000000005
152,Jerome Ford,204.0,813.0,4.0,69,5,4.0,44.0,63,319.0,7.3,5.0,1.0,17,211.2,12.4,38.9%,471.11
151,Josh Jacobs,233.0,805.0,3.5,63,3,6.0,37.0,54,296.0,8.0,0.0,1.0,13,181.1,13.9,98.1%,462.06499999999994
150,Jaylen Warren,149.0,784.0,5.3,74,6,4.0,61.0,74,370.0,6.1,0.0,2.0,17,196.4,11.6,84.4%,455.75500000000005
149,Gus Edwards,198.0,810.0,4.1,42,6,13.0,12.0,13,180.0,15.0,0.0,2.0,17,187.0,11.0,2.9%,449.815
148,De'Von Achane,103.0,800.0,7.8,76,8,8.0,27.0,37,197.0,7.3,3.0,1.0,11,190.7,17.3,97.9%,440.59999999999997
147,Alvin Kamara,180.0,694.0,3.9,17,0,5.0,75.0,86,466.0,6.2,1.0,0.0,13,233.0,17.9,94.6%,439.05500000000006
146,Javonte Williams,217.0,774.0,3.6,21,2,3.0,47.0,58,228.0,4.9,2.0,1.0,16,179.2,11.2,76.9%,438.53999999999996
145,Zack Moss,183.0,794.0,4.3,56,6,5.0,27.0,37,192.0,7.1,2.0,0.0,14,169.6,12.1,16.9%,437.895
144,Brian Robinson Jr.,178.0,733.0,4.1,29,4,5.0,36.0,43,368.0,10.2,4.0,2.0,15,198.1,13.2,86.1%,434.44500000000005
143,Jonathan Taylor,169.0,741.0,4.4,49,4,7.0,19.0,23,153.0,8.1,1.0,0.0,10,156.4,15.6,98.3%,407.07
142,Austin Ekeler,179.0,628.0,3.5,55,3,5.0,51.0,74,436.0,8.5,1.0,4.0,14,185.4,13.2,68.7%,392.46500000000003
