Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Score
39,Brandon Aubrey,36.0,38.0,94.7,60,0.0,9.0,13.0,4.0,10.0,49,52,17,181.0,10.6,95.9%,103.97999999999999
38,Cairo Santos,35.0,38.0,92.1,55,0.0,9.0,11.0,8.0,7.0,31,33,17,158.0,9.3,17.7%,95.53999999999999
37,Jason Myers,35.0,42.0,83.3,55,0.0,8.0,11.0,12.0,4.0,33,33,17,158.0,9.3,8.5%,94.48
36,Justin Tucker,32.0,37.0,86.5,50,0.0,10.0,10.0,11.0,1.0,51,52,17,160.0,9.4,15.4%,93.46000000000001
35,Harrison Butker,33.0,35.0,94.3,60,0.0,8.0,13.0,7.0,5.0,38,38,17,154.0,9.1,69.8%,93.0
34,Matt Gay,33.0,41.0,80.5,57,0.0,9.0,9.0,7.0,8.0,35,36,17,157.0,9.2,14.1%,92.47999999999999
33,Jake Elliott,30.0,32.0,93.8,61,0.0,9.0,7.0,7.0,7.0,45,46,17,156.0,9.2,60.7%,91.53999999999999
32,Dustin Hopkins,33.0,36.0,91.7,58,0.0,8.0,7.0,10.0,8.0,24,26,15,149.0,9.9,2.1%,91.5
31,Greg Zuerlein,35.0,38.0,92.1,55,0.0,8.0,9.0,13.0,5.0,15,16,16,143.0,8.9,1.5%,90.78
30,Cameron Dicker,31.0,33.0,93.9,55,0.0,7.0,8.0,9.0,7.0,35,35,17,151.0,8.9,91.3%,90.44
29,Blake Grupe,30.0,37.0,81.1,55,0.0,10.0,6.0,8.0,6.0,40,40,17,150.0,8.8,2.7%,88.14
28,Younghoe Koo,32.0,37.0,86.5,54,0.0,10.0,10.0,9.0,3.0,27,28,17,138.0,8.1,21.5%,86.34
27,Brandon McManus,30.0,37.0,81.1,56,0.0,4.0,10.0,11.0,5.0,35,35,17,146.0,8.6,7.1%,86.25999999999999
26,Chase McLaughlin,29.0,31.0,93.5,57,0.0,8.0,12.0,2.0,7.0,33,33,17,136.0,8.0,69.7%,84.20000000000002
25,Chris Boswell,29.0,31.0,93.5,57,0.0,9.0,7.0,7.0,6.0,27,28,17,133.0,7.8,72.3%,83.32
24,Nick Folk,29.0,30.0,96.7,53,0.0,9.0,9.0,6.0,5.0,28,30,17,131.0,7.7,0.9%,83.12
23,Jason Sanders,24.0,28.0,85.7,57,0.0,6.0,7.0,6.0,5.0,58,59,17,146.0,8.6,47.1%,82.58000000000001
22,Wil Lutz,30.0,34.0,88.2,52,0.0,11.0,12.0,4.0,3.0,29,31,17,129.0,7.6,32.7%,82.28
21,Evan McPherson,26.0,31.0,83.9,56,0.0,5.0,6.0,8.0,7.0,40,40,17,140.0,8.2,42.4%,81.76
20,Matt Prater,28.0,33.0,84.8,62,0.0,6.0,7.0,6.0,9.0,22,23,17,130.0,7.6,0.8%,80.20000000000002
19,Tyler Bass,24.0,29.0,82.8,54,0.0,4.0,12.0,4.0,4.0,49,50,17,133.0,7.8,59.4%,77.78
18,Anders Carlson,27.0,33.0,81.8,53,0.0,6.0,14.0,4.0,3.0,34,39,17,125.0,7.4,1.4%,77.52000000000001
17,Ka'imi Fairbairn,27.0,28.0,96.4,54,0.0,10.0,10.0,2.0,5.0,21,22,12,114.0,9.5,62.7%,77.38
16,Daniel Carlson,26.0,30.0,86.7,54,0.0,10.0,6.0,9.0,1.0,32,32,17,121.0,7.1,12.7%,76.47999999999999
15,Jake Moody,21.0,25.0,84.0,57,0.0,7.0,8.0,4.0,2.0,60,61,17,131.0,7.7,12.9%,75.38
14,Greg Joseph,24.0,30.0,80.0,54,1.0,7.0,9.0,3.0,4.0,36,38,17,119.0,7.0,0.8%,73.19999999999999
13,Eddy Pineiro,25.0,29.0,86.2,56,0.0,6.0,7.0,7.0,5.0,17,20,15,109.0,7.3,0.8%,71.76000000000002
12,Joey Slye,19.0,24.0,79.2,61,0.0,2.0,7.0,7.0,3.0,32,35,17,102.0,6.0,1.8%,63.34
11,Riley Patterson,16.0,18.0,88.9,52,0.0,2.0,11.0,2.0,1.0,41,44,15,93.0,6.2,1.1%,59.96
10,Brett Maher,17.0,23.0,73.9,54,0.0,3.0,4.0,7.0,3.0,13,15,8,77.0,9.6,1.4%,55.120000000000005
9,Chad Ryland,16.0,25.0,64.0,56,0.0,4.0,5.0,5.0,2.0,24,25,17,81.0,4.8,3.3%,52.42
8,Lucas Havrisik,15.0,20.0,75.0,52,0.0,8.0,3.0,2.0,2.0,19,22,9,70.0,7.8,0.6%,51.42
