Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Score
50,Daniel Carlson,40.0,43.0,93.0,56,0.0,10.0,12.0,12.0,6.0,30,33,17,174.0,10.2,12.7%,104.48
49,Nick Folk,36.0,39.0,92.3,53,0.0,9.0,11.0,11.0,5.0,42,47,17,171.0,10.1,0.9%,100.5
48,Chris Boswell,36.0,40.0,90.0,56,0.0,9.0,8.0,11.0,8.0,27,29,17,162.0,9.5,72.3%,97.29999999999998
47,Justin Tucker,35.0,37.0,94.6,66,0.0,7.0,9.0,13.0,6.0,32,32,17,162.0,9.5,15.4%,96.91999999999999
46,Matt Gay,32.0,34.0,94.1,55,0.0,6.0,15.0,7.0,4.0,48,49,17,159.0,9.4,14.1%,93.68
45,Greg Joseph,33.0,38.0,86.8,55,0.0,8.0,11.0,7.0,7.0,36,40,17,156.0,9.2,0.8%,92.74000000000001
44,Matt Prater,30.0,37.0,81.1,62,0.0,11.0,9.0,3.0,7.0,47,49,17,154.0,9.1,0.8%,89.56
43,Jake Elliott,30.0,33.0,90.9,58,0.0,7.0,10.0,10.0,3.0,44,44,17,150.0,8.8,60.7%,89.0
42,Evan McPherson,28.0,33.0,84.8,58,0.0,5.0,8.0,6.0,9.0,46,48,16,154.0,9.6,42.4%,88.1
41,Dustin Hopkins,30.0,34.0,88.2,50,1.0,8.0,6.0,13.0,2.0,40,44,17,147.0,8.6,2.1%,87.78
40,Tyler Bass,28.0,32.0,87.5,57,0.0,15.0,7.0,4.0,2.0,51,51,17,143.0,8.4,59.4%,85.66
39,Greg Zuerlein,29.0,35.0,82.9,56,0.0,5.0,15.0,7.0,2.0,42,48,16,140.0,8.8,1.5%,84.10000000000002
38,Harrison Butker,25.0,28.0,89.3,56,0.0,3.0,11.0,4.0,7.0,47,49,16,140.0,8.8,69.8%,81.78
37,Ryan Succop,25.0,30.0,83.3,48,0.0,11.0,7.0,7.0,0.0,56,59,17,138.0,8.1,1.5%,80.9
36,Younghoe Koo,27.0,29.0,93.1,54,0.0,8.0,9.0,6.0,4.0,30,30,17,125.0,7.4,21.5%,79.18
35,Graham Gano,29.0,33.0,87.9,55,0.0,5.0,12.0,5.0,7.0,17,17,17,123.0,7.2,2.2%,78.96000000000001
34,Randy Bullock,26.0,31.0,83.9,51,0.0,5.0,12.0,8.0,1.0,42,45,16,130.0,8.1,1.1%,78.72
33,Brandon McManus,26.0,31.0,83.9,61,0.0,7.0,6.0,8.0,5.0,33,34,17,129.0,7.6,7.1%,78.41999999999999
32,Mason Crosby,25.0,34.0,73.5,54,0.0,9.0,9.0,4.0,3.0,49,51,17,134.0,7.9,0.1%,78.25999999999999
31,Cairo Santos,26.0,30.0,86.7,47,0.0,10.0,5.0,11.0,0.0,27,28,17,116.0,6.8,17.7%,74.85999999999999
30,Jason Sanders,23.0,31.0,74.2,51,0.0,6.0,7.0,8.0,2.0,34,35,17,115.0,6.8,47.1%,70.36
29,Robbie Gould,20.0,23.0,87.0,52,0.0,6.0,4.0,7.0,3.0,39,40,13,112.0,8.6,1.1%,69.64
28,Joey Slye,23.0,25.0,92.0,56,0.0,9.0,5.0,5.0,4.0,18,22,12,100.0,8.3,1.8%,69.12
27,Zane Gonzalez,20.0,22.0,90.9,57,0.0,6.0,1.0,10.0,3.0,22,23,12,98.0,8.2,8.1%,65.86000000000001
26,Michael Badgley,18.0,22.0,81.8,46,0.0,4.0,6.0,8.0,0.0,40,41,13,102.0,7.8,7.0%,63.879999999999995
25,Matthew Wright,21.0,24.0,87.5,56,0.0,7.0,7.0,3.0,4.0,13,15,14,87.0,6.2,1.7%,62.08
24,Jason Myers,17.0,23.0,73.9,53,0.0,2.0,9.0,3.0,3.0,44,47,17,104.0,6.1,8.5%,61.72
23,Chase McLaughlin,15.0,21.0,71.4,57,0.0,3.0,4.0,4.0,4.0,36,37,16,93.0,5.8,69.7%,56.5
22,Brett Maher,16.0,18.0,88.9,42,0.0,4.0,8.0,4.0,0.0,10,12,8,62.0,7.8,1.4%,51.5
21,Ka'imi Fairbairn,15.0,19.0,78.9,61,0.0,4.0,5.0,2.0,4.0,13,16,13,68.0,5.2,62.7%,49.96
20,Riley Patterson,13.0,14.0,92.9,49,0.0,3.0,6.0,4.0,0.0,16,16,7,59.0,8.4,1.1%,49.24
19,Matt Ammendola,13.0,19.0,68.4,49,0.0,5.0,6.0,2.0,0.0,14,15,11,55.0,5.0,0.0%,42.980000000000004
