Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
256,Stefon Diggs,127.0,166,1535.0,12.1,55.0,20.0,8.0,1,1,0,0,16,328.6,20.5,82.2%,441.515
255,DeAndre Hopkins,115.0,160,1407.0,12.2,60.0,17.0,6.0,1,1,0,2,16,287.8,18.0,28.0%,404.53
254,Davante Adams,115.0,149,1374.0,11.9,56.0,18.0,18.0,0,0,0,1,14,358.4,25.6,96.1%,401.93500000000006
253,Justin Jefferson,88.0,125,1400.0,15.9,71.0,23.0,7.0,1,2,0,0,16,274.2,17.1,99.0%,396.08500000000004
252,Calvin Ridley,90.0,143,1374.0,15.3,63.0,23.0,9.0,5,1,0,1,15,281.5,18.8,86.1%,390.39500000000004
251,DK Metcalf,83.0,129,1303.0,15.7,62.0,17.0,10.0,0,0,0,1,16,271.3,17.0,95.0%,370.055
250,Tyreek Hill,87.0,135,1276.0,14.7,75.0,20.0,15.0,13,123,2,0,15,328.9,21.9,97.1%,368.655
249,Allen Robinson II,102.0,151,1250.0,12.3,42.0,22.0,6.0,1,-1,0,0,16,262.9,16.4,1.4%,359.445
248,DJ Moore,66.0,118,1193.0,18.1,74.0,19.0,4.0,2,22,0,0,15,211.5,14.1,94.2%,335.36499999999995
247,Brandin Cooks,81.0,119,1150.0,14.2,57.0,20.0,6.0,0,0,0,0,15,232.0,15.5,11.6%,328.68
246,Amari Cooper,92.0,130,1114.0,12.1,69.0,13.0,5.0,6,14,0,0,16,236.8,14.8,25.6%,323.215
245,Terry McLaurin,87.0,134,1118.0,12.9,68.0,17.0,4.0,2,30,0,1,15,223.8,14.9,97.5%,322.385
244,Robbie Chosen,95.0,136,1096.0,11.5,75.0,16.0,3.0,4,15,0,1,16,224.1,14.0,0.0%,319.57500000000005
243,Tyler Lockett,100.0,132,1054.0,10.5,47.0,10.0,10.0,0,0,0,0,16,265.4,16.6,17.8%,310.775
242,A.J. Brown,70.0,106,1075.0,15.4,73.0,13.0,11.0,0,0,0,1,14,247.5,17.7,99.0%,309.66
241,Keenan Allen,100.0,147,992.0,9.9,28.0,10.0,8.0,1,-1,0,2,14,245.1,17.5,31.8%,292.285
240,Mike Evans,70.0,109,1006.0,14.4,50.0,20.0,13.0,0,0,0,0,16,248.6,15.5,97.3%,291.66
239,Cooper Kupp,92.0,124,974.0,10.6,55.0,12.0,3.0,4,33,0,1,15,208.7,13.9,87.4%,285.48999999999995
238,Marvin Jones Jr.,76.0,115,978.0,12.9,43.0,19.0,9.0,0,0,0,0,16,227.8,14.2,0.0%,283.735
237,Corey Davis,65.0,92,984.0,15.1,75.0,14.0,5.0,0,0,0,1,14,191.4,13.7,0.0%,282.41499999999996
236,Cole Beasley,82.0,107,967.0,11.8,35.0,15.0,4.0,0,0,0,0,15,207.5,13.8,0.0%,279.21999999999997
