Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
249,Tyreek Hill,119.0,171,1799.0,15.1,78.0,29.0,13.0,6,15,0,1,16,376.4,23.5,97.1%,510.86499999999995
248,CeeDee Lamb,135.0,181,1749.0,13.0,92.0,29.0,12.0,14,113,2,2,17,403.2,23.7,98.7%,504.54999999999995
247,Amon-Ra St. Brown,119.0,164,1515.0,12.7,70.0,24.0,10.0,4,24,0,1,16,330.9,20.7,99.1%,436.7049999999999
246,Puka Nacua,105.0,160,1486.0,14.2,80.0,25.0,6.0,12,89,0,0,17,298.5,17.6,98.9%,423.88
245,A.J. Brown,106.0,158,1456.0,13.7,59.0,21.0,7.0,0,0,0,2,17,289.6,17.0,99.0%,414.65500000000003
244,DJ Moore,96.0,136,1364.0,14.2,58.0,25.0,8.0,4,21,1,1,17,286.5,16.9,94.2%,389.03000000000003
243,Brandon Aiyuk,75.0,105,1342.0,17.9,76.0,28.0,7.0,0,0,0,1,16,249.2,15.6,72.1%,378.33500000000004
242,Nico Collins,80.0,109,1297.0,16.2,75.0,25.0,8.0,1,7,0,0,15,260.4,17.4,98.7%,368.68
241,Keenan Allen,108.0,150,1243.0,11.5,42.0,19.0,7.0,2,6,0,1,13,278.9,21.5,31.8%,359.875
240,Mike Evans,79.0,136,1255.0,15.9,75.0,20.0,13.0,0,0,0,0,17,282.5,16.6,97.3%,359.78499999999997
239,Ja'Marr Chase,100.0,145,1216.0,12.2,76.0,14.0,7.0,3,-6,0,0,16,262.7,16.4,99.0%,353.33
238,Amari Cooper,72.0,128,1250.0,17.4,75.0,21.0,5.0,0,0,0,1,15,227.0,15.1,25.6%,352.41
237,Stefon Diggs,107.0,160,1183.0,11.1,55.0,10.0,8.0,1,5,0,1,17,273.8,16.1,82.2%,345.365
236,Michael Pittman Jr.,109.0,156,1152.0,10.6,75.0,10.0,4.0,0,0,0,1,16,250.2,15.6,72.6%,338.23999999999995
235,Davante Adams,103.0,175,1144.0,11.1,46.0,13.0,8.0,0,0,0,0,17,265.4,15.6,96.1%,333.61500000000007
234,George Pickens,63.0,106,1140.0,18.1,86.0,22.0,5.0,3,18,0,0,17,208.8,12.3,91.0%,323.065
