Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,R_ATT,R_YDS,R_TD,FL,G,FPTS,FPTS/G,ROST,Score
87,Dak Prescott,410.0,590,69.5,4516.0,7.7,36.0,9.0,39,55.0,242.0,2.0,2,17,352.0,20.7,76.7%,2008.12
86,Tua Tagovailoa,388.0,560,69.3,4624.0,8.3,29.0,14.0,29,35.0,74.0,0.0,5,17,284.4,16.7,49.7%,2005.4600000000003
85,Jared Goff,407.0,605,67.3,4575.0,7.6,30.0,12.0,30,32.0,21.0,2.0,3,17,302.9,17.8,85.9%,1989.5099999999998
84,Josh Allen,385.0,579,66.5,4306.0,7.4,29.0,18.0,24,111.0,524.0,15.0,4,17,410.9,24.2,99.1%,1966.3300000000004
83,Brock Purdy,308.0,444,69.4,4280.0,9.6,31.0,11.0,28,39.0,144.0,2.0,2,16,306.6,19.2,89.1%,1876.6800000000003
82,Patrick Mahomes II,401.0,597,67.2,4183.0,7.0,27.0,14.0,27,75.0,389.0,0.0,3,16,294.1,18.4,95.9%,1863.99
81,Jordan Love,372.0,579,64.2,4159.0,7.2,32.0,11.0,30,50.0,247.0,4.0,3,17,330.1,19.4,74.9%,1852.6300000000003
80,C.J. Stroud,319.0,499,63.9,4108.0,8.2,23.0,5.0,38,39.0,167.0,3.0,4,15,281.1,18.7,71.1%,1799.15
79,Trevor Lawrence,370.0,564,65.6,4016.0,7.1,21.0,14.0,35,70.0,339.0,4.0,7,16,276.6,17.3,50.3%,1780.6200000000001
78,Baker Mayfield,364.0,566,64.3,4044.0,7.1,28.0,10.0,40,62.0,163.0,1.0,3,17,284.0,16.7,94.1%,1779.6000000000004
77,Jalen Hurts,352.0,538,65.4,3858.0,7.2,23.0,15.0,36,157.0,605.0,15.0,5,17,371.9,21.9,98.3%,1775.97
76,Sam Howell,388.0,612,63.4,3946.0,6.4,21.0,21.0,65,48.0,263.0,5.0,2,17,278.6,16.4,6.8%,1746.4199999999998
75,Matthew Stafford,326.0,521,62.6,3965.0,7.6,24.0,11.0,30,21.0,65.0,0.0,0,15,254.3,17.0,48.4%,1723.01
74,Lamar Jackson,307.0,457,67.2,3678.0,8.0,24.0,7.0,37,148.0,821.0,5.0,6,16,338.2,21.1,98.8%,1710.2
73,Derek Carr,375.0,548,68.4,3878.0,7.1,25.0,8.0,31,32.0,40.0,0.0,3,17,249.1,14.7,15.1%,1688.9300000000003
72,Geno Smith,323.0,499,64.7,3624.0,7.3,20.0,9.0,31,37.0,155.0,1.0,3,15,236.4,15.8,36.4%,1587.4
71,Gardner Minshew II,305.0,490,62.2,3305.0,6.7,15.0,9.0,34,34.0,100.0,3.0,5,16,205.2,12.8,3.1%,1439.2199999999996
70,Justin Herbert,297.0,456,65.1,3134.0,6.9,20.0,7.0,29,52.0,228.0,3.0,1,13,241.2,18.6,87.1%,1399.18
69,Russell Wilson,297.0,447,66.4,3070.0,6.9,26.0,8.0,45,80.0,341.0,3.0,5,15,264.9,17.7,22.2%,1395.1299999999999
68,Bryce Young,315.0,527,59.8,2877.0,5.5,11.0,10.0,62,39.0,253.0,0.0,6,16,166.5,10.4,43.8%,1268.4099999999999
67,Desmond Ridder,249.0,388,64.2,2836.0,7.3,12.0,12.0,31,53.0,193.0,5.0,7,15,189.1,12.6,0.8%,1248.8300000000002
66,Justin Fields,227.0,370,61.4,2562.0,6.9,16.0,9.0,44,124.0,657.0,4.0,4,13,239.1,18.4,79.1%,1203.1699999999998
65,Joshua Dobbs,262.0,417,62.8,2464.0,5.9,13.0,10.0,30,77.0,421.0,6.0,7,13,210.5,16.2,2.5%,1132.7100000000003
64,Kirk Cousins,216.0,311,69.5,2331.0,7.5,18.0,5.0,17,14.0,25.0,0.0,4,8,154.9,19.4,16.5%,1022.5300000000001
63,Joe Burrow,244.0,365,66.8,2309.0,6.3,15.0,6.0,24,31.0,88.0,0.0,1,10,153.2,15.3,97.9%,1018.54
62,Zach Wilson,221.0,368,60.1,2271.0,6.2,8.0,7.0,46,36.0,211.0,0.0,7,12,126.8,10.6,3.2%,999.22
61,Aidan O'Connell,213.0,343,62.1,2218.0,6.5,12.0,7.0,24,17.0,11.0,1.0,2,11,132.8,12.1,4.5%,962.2800000000001
60,Mac Jones,224.0,345,64.9,2120.0,6.1,10.0,12.0,22,26.0,96.0,0.0,2,11,118.3,10.8,3.7%,925.83
59,Kenny Pickett,201.0,324,62.0,2070.0,6.4,6.0,4.0,23,42.0,54.0,1.0,0,12,114.2,9.5,7.7%,896.24
58,Jake Browning,171.0,243,70.4,1936.0,8.0,12.0,7.0,24,27.0,127.0,3.0,0,9,151.5,16.8,3.0%,865.0700000000003
57,Kyler Murray,176.0,268,65.7,1799.0,6.7,10.0,5.0,18,44.0,244.0,3.0,0,8,151.4,18.9,89.4%,822.02
56,Will Levis,149.0,255,58.4,1808.0,7.1,8.0,4.0,28,25.0,57.0,1.0,4,9,106.1,11.8,8.0%,786.3700000000001
