Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
266,Cooper Kupp,145.0,191,1947.0,13.4,59.0,30.0,16.0,4,18,0,0,17,439.5,25.9,87.4%,556.41
265,Justin Jefferson,108.0,167,1616.0,15.0,56.0,27.0,10.0,6,14,0,1,17,330.4,19.4,99.0%,457.35
264,Davante Adams,123.0,169,1553.0,12.6,59.0,19.0,11.0,0,0,0,0,16,344.3,21.5,96.1%,446.48999999999995
263,Ja'Marr Chase,81.0,128,1455.0,18.0,82.0,22.0,13.0,7,21,0,1,17,304.6,17.9,99.0%,411.7
262,Deebo Samuel Sr.,77.0,121,1405.0,18.2,83.0,24.0,6.0,59,365,8,2,16,339.0,21.2,86.5%,394.63
261,Tyreek Hill,111.0,159,1239.0,11.2,75.0,13.0,9.0,9,96,0,1,17,296.5,17.4,97.1%,363.58000000000004
260,Stefon Diggs,103.0,164,1225.0,11.9,61.0,12.0,10.0,0,0,0,0,17,285.5,16.8,82.2%,356.38500000000005
259,Diontae Johnson,107.0,169,1161.0,10.9,50.0,14.0,8.0,5,53,0,2,16,274.4,17.2,17.8%,339.73499999999996
258,Tyler Lockett,73.0,107,1175.0,16.1,69.0,22.0,8.0,2,9,0,0,16,241.4,15.1,17.8%,334.815
257,DJ Moore,93.0,163,1157.0,12.4,64.0,16.0,4.0,8,48,0,1,17,237.5,14.0,94.2%,333.66
256,Keenan Allen,106.0,157,1138.0,10.7,42.0,12.0,6.0,0,0,0,0,16,257.8,16.1,31.8%,331.605
255,Mike Williams,76.0,129,1146.0,15.1,72.0,17.0,9.0,0,0,0,0,16,246.6,15.4,14.4%,328.765
254,Chris Godwin,98.0,127,1103.0,11.3,44.0,15.0,5.0,4,21,1,2,14,242.4,17.3,89.3%,320.145
253,CeeDee Lamb,79.0,120,1102.0,13.9,49.0,20.0,6.0,9,76,0,0,16,232.8,14.6,98.7%,315.13499999999993
252,Michael Pittman Jr.,88.0,129,1082.0,12.3,57.0,12.0,6.0,5,44,0,0,17,238.6,14.0,72.6%,313.045
251,Tee Higgins,74.0,110,1091.0,14.7,54.0,17.0,6.0,0,0,0,1,14,219.1,15.7,97.5%,310.9549999999999
250,Hunter Renfrow,103.0,128,1038.0,10.1,54.0,10.0,9.0,3,3,0,1,17,259.1,15.2,2.1%,307.965
249,Darnell Mooney,81.0,140,1055.0,13.0,64.0,14.0,4.0,6,32,1,0,17,219.7,12.9,65.1%,303.84999999999997
248,Brandin Cooks,90.0,134,1037.0,11.5,52.0,12.0,6.0,2,21,0,0,16,231.8,14.5,11.6%,301.875
247,Jaylen Waddle,104.0,140,1015.0,9.8,57.0,8.0,6.0,2,3,1,1,16,245.8,15.4,88.0%,301.12
246,Terry McLaurin,77.0,130,1053.0,13.7,46.0,15.0,5.0,1,12,0,0,17,213.5,12.6,97.5%,300.855
245,Mike Evans,74.0,114,1035.0,14.0,46.0,20.0,14.0,1,10,0,0,16,262.5,16.4,97.3%,300.35
244,Marquise Brown,91.0,146,1008.0,11.1,49.0,15.0,6.0,1,5,0,1,16,226.3,14.1,60.4%,294.915
243,DK Metcalf,75.0,129,967.0,12.9,84.0,11.0,12.0,1,6,0,0,17,244.3,14.4,95.0%,285.435
242,Christian Kirk,77.0,103,982.0,12.8,50.0,16.0,5.0,1,11,0,0,17,207.6,12.2,47.6%,283.47
241,Amon-Ra St. Brown,90.0,119,912.0,10.1,37.0,11.0,5.0,7,61,1,0,16,227.3,14.2,99.1%,268.315
240,DeVonta Smith,64.0,104,916.0,14.3,46.0,16.0,5.0,0,0,0,1,17,185.6,10.9,91.9%,262.24500000000006
239,Jakobi Meyers,83.0,126,866.0,10.4,39.0,12.0,2.0,1,9,0,1,16,186.3,11.6,84.5%,253.21
238,Amari Cooper,68.0,104,865.0,12.7,41.0,15.0,8.0,0,0,0,0,15,202.5,13.5,25.6%,251.555
237,A.J. Brown,63.0,105,869.0,13.8,57.0,10.0,5.0,2,10,0,0,13,180.9,13.9,99.0%,250.57
236,Chase Claypool,59.0,105,860.0,14.6,59.0,13.0,2.0,14,96,0,0,15,166.6,11.1,1.1%,246.04000000000002
235,Tyler Boyd,67.0,94,828.0,12.4,68.0,10.0,5.0,2,22,0,0,16,183.8,11.5,2.0%,242.61
234,Marvin Jones Jr.,73.0,120,832.0,11.4,33.0,13.0,4.0,0,0,0,0,17,180.2,10.6,0.0%,241.86000000000004
233,A.J. Green,54.0,92,848.0,15.7,42.0,16.0,3.0,0,0,0,0,16,156.8,9.8,0.7%,240.55499999999998
232,Brandon Aiyuk,56.0,84,826.0,14.8,43.0,16.0,5.0,5,17,0,1,17,170.3,10.0,72.1%,236.72
231,Van Jefferson,50.0,89,802.0,16.0,79.0,12.0,6.0,2,20,0,0,17,168.2,9.9,1.5%,232.5
230,Kendrick Bourne,55.0,70,800.0,14.5,75.0,10.0,5.0,12,125,0,1,17,180.5,10.6,2.7%,232.425
229,Russell Gage Jr.,66.0,94,770.0,11.7,49.0,8.0,4.0,0,0,0,2,13,163.0,12.5,0.0%,225.055
228,Courtland Sutton,58.0,98,776.0,13.4,55.0,9.0,2.0,0,0,0,0,17,150.2,8.8,91.2%,223.71
227,Adam Thielen,67.0,95,726.0,10.8,35.0,14.0,10.0,1,2,0,0,13,199.8,15.4,50.1%,216.47
226,Tim Patrick,53.0,85,734.0,13.8,44.0,10.0,5.0,0,0,0,0,16,156.4,9.8,3.1%,212.02
225,Cole Beasley,82.0,112,693.0,8.5,29.0,5.0,1.0,0,0,0,0,16,159.3,10.0,0.0%,207.125
224,Mecole Hardman Jr.,59.0,83,693.0,11.7,53.0,8.0,2.0,8,46,0,2,17,140.9,8.3,1.0%,202.75500000000002
223,Marquez Callaway,46.0,84,698.0,15.2,58.0,9.0,6.0,0,0,0,0,17,151.8,8.9,0.0%,202.58
222,K.J. Osborn,50.0,82,655.0,13.1,64.0,10.0,7.0,1,10,0,0,17,158.5,9.3,1.4%,194.115
