WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,@Bengals,W 44 - 38,3.0,74.0,24.7,36.0,1.0,,,,,,,
14,Browns,W 27 - 14,,,,,,,,,,,,
15,@Eagles,L 13 - 27,,,,,,,,,,,,
16,@Ravens,L 17 - 34,,,,,,,,,,,,
17,Chiefs,L 10 - 29,3.0,50.0,16.7,41.0,0.0,,,,,,,
1,@Falcons,W 18 - 10,6.0,85.0,14.2,40.0,0.0,1.0,-10.0,-10.0,-10.0,0.0,,
2,@Broncos,W 13 - 6,2.0,29.0,14.5,16.0,0.0,,,,,,,
3,Chargers,W 20 - 10,5.0,57.0,11.4,27.0,0.0,,,,,,,
4,@Colts,L 24 - 27,7.0,113.0,16.1,38.0,0.0,,,,,,1.0,1.0
5,Cowboys,L 17 - 20,3.0,26.0,8.7,21.0,0.0,,,,,,,
6,@Raiders,W 32 - 13,3.0,53.0,17.7,31.0,0.0,,,,,,,
7,Jets,W 37 - 15,5.0,111.0,22.2,44.0,1.0,,,,,,,
8,Giants,W 26 - 18,4.0,74.0,18.5,43.0,0.0,,,,,,,
10,@Commanders,W 28 - 27,5.0,91.0,18.2,34.0,1.0,1.0,4.0,4.0,4.0,0.0,,
11,Ravens,W 18 - 16,8.0,89.0,11.1,37.0,0.0,,,,,,,
12,@Browns,L 19 - 24,4.0,48.0,12.0,31.0,0.0,,,,,,,
