WK,OPP,RESULT,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,49ers,W 35 - 10,4.0,30.0,7.5,18.0,0.0,,,,,,,
14,@Rams,L 42 - 44,5.0,106.0,21.2,51.0,1.0,,,,,,,
15,@Lions,W 48 - 42,6.0,39.0,6.5,10.0,1.0,,,,,,,
16,Patriots,W 24 - 21,2.0,22.0,11.0,12.0,0.0,,,,,,1.0,0.0
1,Cardinals,W 34 - 28,3.0,42.0,14.0,19.0,1.0,,,,,,,
2,@Dolphins,W 31 - 10,5.0,54.0,10.8,21.0,0.0,1.0,2.0,2.0,2.0,0.0,,
3,Jaguars,W 47 - 10,6.0,72.0,12.0,27.0,1.0,,,,,,,
4,@Ravens,L 10 - 35,4.0,62.0,15.5,52.0,0.0,,,,,,,
5,@Texans,L 20 - 23,,,,,,,,,,,,
6,@Jets,W 23 - 20,2.0,19.0,9.5,10.0,0.0,,,,,,,
7,Titans,W 34 - 10,7.0,65.0,9.3,20.0,0.0,,,,,,,
8,@Seahawks,W 31 - 10,9.0,107.0,11.9,35.0,0.0,1.0,2.0,2.0,2.0,0.0,,
9,Dolphins,W 30 - 27,6.0,50.0,8.3,14.0,0.0,,,,,,,
10,@Colts,W 30 - 20,6.0,58.0,9.7,30.0,0.0,,,,,,,
11,Chiefs,W 30 - 21,8.0,70.0,8.8,22.0,0.0,,,,,,,
