Rank,Player,REC,TGT,Rec Yds,Y/R,LG,20+,Rec TD,ATT,Rec Yds,Rec TD,FL,G,FPTS,FPTS/G,ROST,team_abbr,team_name,year,week,Score,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,Team Name
146,Malik Taylor,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,DET,detroit_lions,2020,1,0.0,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Detroit Lions
144,Ashton Dulin,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,IND,indianapolis_colts,2020,1,0.0,TIAA Bank Field,Outdoor,Grass,16.0,1995.0,Jacksonville,FL,30.3239,-81.6373,Indianapolis Colts
26,Tyler Lockett,8,8,92,11.5,20,1,0,0,0,0,0,1,9.2,9.2,18.5%,TEN,tennessee_titans,2020,1,29.63,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Tennessee Titans
27,Stefon Diggs,8,9,86,10.8,22,1,0,0,0,0,0,1,8.6,8.6,84.7%,NE,new_england_patriots,2020,1,28.22,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,New England Patriots
143,Jakobi Meyers,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,85.1%,LV,las_vegas_raiders,2020,1,0.0,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Las Vegas Raiders
142,Jamal Agnew,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,ATL,atlanta_falcons,2020,1,0.0,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,Atlanta Falcons
138,Ray-Ray Mccloud Iii,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,5.6%,ATL,atlanta_falcons,2020,1,0.0,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,Atlanta Falcons
131,Braxton Berrios,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,HOU,houston_texans,2020,1,0.0,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Houston Texans
32,Parris Campbell,6,9,71,11.8,21,1,0,1,9,0,0,1,8.0,8.0,0.1%,DAL,dallas_cowboys,2020,1,23.82,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Dallas Cowboys
130,Cedrick Wilson Jr.,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,NO,new_orleans_saints,2020,1,0.0,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,New Orleans Saints
34,Chris Godwin,6,7,79,13.2,29,2,0,0,0,0,0,1,7.9,7.9,89.6%,TB,tampa_bay_buccaneers,2020,1,26.93,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,Tampa Bay Buccaneers
35,Scotty Miller,5,6,73,14.6,37,1,0,1,6,0,0,1,7.9,7.9,0.1%,PIT,pittsburgh_steelers,2020,1,25.99,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
129,Christian Kirk,1,5,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,46.2%,HOU,houston_texans,2020,1,0.35,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Houston Texans
128,Dante Pettis,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,NO,new_orleans_saints,2020,1,0.0,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,New Orleans Saints
38,Mike Williams,4,9,69,17.3,37,1,0,0,0,0,0,1,6.9,6.9,14.1%,LAC,los_angeles_chargers,2020,1,25.04,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Los Angeles Chargers
118,Dan Chisena,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,CAR,carolina_panthers,2020,1,0.0,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Carolina Panthers
40,Mike Evans,1,4,2,2.0,2,0,1,0,0,0,0,1,6.2,6.2,97.3%,TB,tampa_bay_buccaneers,2020,1,1.85,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,Tampa Bay Buccaneers
117,K.J. Osborn,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.4%,WAS,washington_commanders,2020,1,0.0,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,Washington Commanders
42,Terry Mclaurin,5,7,61,12.2,21,1,0,0,0,0,0,1,6.1,6.1,97.6%,WAS,washington_commanders,2020,1,21.03,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,Washington Commanders
116,James Proche Ii,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,TEN,tennessee_titans,2020,1,0.0,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Tennessee Titans
44,Ceedee Lamb,5,6,59,11.8,33,1,0,0,0,0,0,1,5.9,5.9,98.7%,DAL,dallas_cowboys,2020,1,21.67,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Dallas Cowboys
115,Tee Higgins,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,97.6%,CIN,cincinnati_bengals,2020,1,0.0,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Cincinnati Bengals
46,Jerry Jeudy,4,8,56,14.0,25,2,0,0,0,0,0,1,5.6,5.6,89.1%,CLE,cleveland_browns,2020,1,20.2,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Cleveland Browns
110,Mecole Hardman Jr.,1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,1.0%,GB,green_bay_packers,2020,1,3.35,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Green Bay Packers
109,Justin Watson,1,2,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,1.0%,HOU,houston_texans,2020,1,3.35,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Houston Texans
49,Jalen Reagor,1,4,55,55.0,55,1,0,0,0,0,0,1,5.5,5.5,0.0%,LAC,los_angeles_chargers,2020,1,27.95,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Los Angeles Chargers
50,Dj Moore,4,9,54,13.5,18,0,0,0,0,0,0,1,5.4,5.4,95.3%,CHI,chicago_bears,2020,1,18.73,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
108,Trent Taylor,2,5,7,3.5,5,0,0,0,0,0,0,1,0.7,0.7,0.0%,SF,san_francisco_49ers,2020,1,3.48,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,San Francisco 49ers
106,Deandre Carter,1,2,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.1%,CLE,cleveland_browns,2020,1,4.35,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Cleveland Browns
53,Michael Gallup,3,5,50,16.7,24,1,0,0,0,0,0,1,5.0,5.0,0.8%,WAS,washington_commanders,2020,1,18.56,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,Washington Commanders
54,Steven Sims Jr.,3,3,50,16.7,19,0,0,0,0,0,0,1,5.0,5.0,0.0%,SEA,seattle_seahawks,2020,1,17.95,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,Seattle Seahawks
103,Michael Pittman Jr.,2,2,10,5.0,5,0,0,0,0,0,0,1,1.0,1.0,73.0%,IND,indianapolis_colts,2020,1,4.45,TIAA Bank Field,Outdoor,Grass,16.0,1995.0,Jacksonville,FL,30.3239,-81.6373,Indianapolis Colts
102,Devin Duvernay,1,1,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,0.1%,CHI,chicago_bears,2020,1,6.35,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
57,Sterling Shepard,6,6,47,7.8,14,0,0,0,0,0,0,1,4.7,4.7,1.0%,TB,tampa_bay_buccaneers,2020,1,16.42,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,Tampa Bay Buccaneers
101,Khadarel Hodge,1,3,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,0.8%,ATL,atlanta_falcons,2020,1,6.35,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,Atlanta Falcons
