Rank,Player,Team Name,Score,FPTS,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,G,ROST,week,year
62,Evan Mcpherson,Cincinnati Bengals,30.5,13.0,2,2,100.0,52,0,0,1,0,1,5,5,Paycor Stadium,Outdoor,Turf,482.0,2000.0,Cincinnati,OH,39.0954,-84.516,1,44.3%,7,2021
28,Graham Gano,New York Giants,32.6,15.0,3,3,100.0,53,0,0,0,2,1,2,2,MetLife Stadium,Outdoor,Turf,3.0,2010.0,East Rutherford,NJ,40.8136,-74.0744,1,2.6%,7,2021
310,Jason Myers,Seattle Seahawks,11.96,6.0,1,3,33.3,50,0,0,0,0,1,1,1,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,1,8.6%,7,2021
354,Ka'Imi Fairbairn,Houston Texans,24.2,5.0,1,1,100.0,53,0,0,0,0,1,0,0,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,1,65.3%,7,2021
459,Brandon Mcmanus,Green Bay Packers,1.4,2.0,0,0,0.0,0,0,0,0,0,0,2,2,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,7.7%,7,2021
458,Jake Elliott,Philadelphia Eagles,1.4,2.0,0,0,0.0,0,0,0,0,0,0,2,2,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,1,60.9%,7,2021
188,Daniel Carlson,Las Vegas Raiders,27.8,9.0,2,2,100.0,39,0,1,1,0,0,3,4,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,1,14.9%,7,2021
189,Matt Gay,Washington Commanders,27.7,9.0,2,2,100.0,47,0,0,1,1,0,2,2,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,15.7%,7,2021
388,Harrison Butker,Kansas City Chiefs,13.7,4.0,1,2,50.0,42,0,0,0,1,0,0,0,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,1,69.3%,7,2021
228,Joey Slye,Tennessee Titans,27.0,8.0,2,2,100.0,56,0,0,1,0,1,0,1,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,1,2.1%,7,2021
86,Younghoe Koo,Atlanta Falcons,30.5,12.0,3,3,100.0,36,0,0,3,0,0,3,3,Mercedes-Benz Stadium,Indoor,Turf,1050.0,2017.0,Atlanta,GA,33.755,-84.4008,1,21.9%,7,2021
425,Cairo Santos,Chicago Bears,22.9,3.0,1,1,100.0,28,0,1,0,0,0,0,0,Raymond James Stadium,Outdoor,Grass,26.0,1998.0,Tampa,FL,27.9759,-82.5033,1,15.2%,7,2021
152,Younghoe Koo,Atlanta Falcons,21.94,10.0,2,3,66.7,53,0,0,0,1,1,1,1,Bank of America Stadium,Outdoor,Grass,748.0,1996.0,Charlotte,NC,35.2258,-80.8528,1,21.9%,8,2021
230,Matt Gay,Washington Commanders,26.4,8.0,1,1,100.0,27,0,1,0,0,0,5,5,Empower Field at Mile High,Outdoor,Turf,5280.0,2001.0,Denver,CO,39.7439,-105.0201,1,15.7%,8,2021
87,Greg Joseph,San Francisco 49ers,30.6,12.0,3,3,100.0,45,0,1,0,2,0,1,1,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,1,0.7%,8,2021
151,Tyler Bass,Buffalo Bills,28.4,10.0,2,2,100.0,57,0,0,1,0,1,2,2,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,1,61.0%,8,2021
477,Matthew Wright,Carolina Panthers,0.7,1.0,0,0,0.0,0,0,0,0,0,0,1,1,Bank of America Stadium,Outdoor,Grass,748.0,1996.0,Charlotte,NC,35.2258,-80.8528,1,2.2%,8,2021
390,Chase Mclaughlin,Tampa Bay Buccaneers,23.5,4.0,1,1,100.0,30,0,0,1,0,0,1,1,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,1,70.7%,8,2021
262,Jason Myers,Seattle Seahawks,25.6,7.0,1,1,100.0,31,0,0,1,0,0,4,4,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,1,8.6%,8,2021
229,Harrison Butker,Kansas City Chiefs,27.0,8.0,2,2,100.0,36,0,0,2,0,0,2,2,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,69.3%,8,2021
355,Jason Sanders,Miami Dolphins,14.4,5.0,1,2,50.0,51,0,0,0,0,1,0,0,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,1,44.9%,8,2021
356,Graham Gano,New York Giants,24.3,5.0,1,1,100.0,23,0,1,0,0,0,2,2,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,2.6%,8,2021
426,Chris Boswell,Pittsburgh Steelers,22.8,3.0,1,1,100.0,31,0,0,1,0,0,0,0,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,72.7%,8,2021
261,Evan Mcpherson,Cincinnati Bengals,25.7,7.0,1,1,100.0,21,0,1,0,0,0,4,4,MetLife Stadium,Outdoor,Turf,3.0,2010.0,East Rutherford,NJ,40.8136,-74.0744,1,44.3%,8,2021
19,Jake Elliott,Philadelphia Eagles,33.4,16.0,3,3,100.0,43,0,1,0,2,0,5,5,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,1,60.9%,8,2021
20,Joey Slye,Tennessee Titans,30.3,16.0,4,5,80.0,52,0,1,1,1,1,1,2,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,1,2.1%,8,2021
460,Ka'Imi Fairbairn,Houston Texans,1.6,2.0,0,1,0.0,0,0,0,0,0,0,2,2,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,1,65.3%,8,2021
118,Cairo Santos,Chicago Bears,29.9,11.0,3,3,100.0,40,0,1,1,1,0,1,2,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,1,15.2%,8,2021
260,Dustin Hopkins,Cleveland Browns,25.6,7.0,1,1,100.0,48,0,0,0,1,0,3,3,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,2.2%,8,2021
311,Brandon Mcmanus,Green Bay Packers,15.1,6.0,1,2,50.0,45,0,0,0,1,0,2,2,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,7.7%,8,2021
265,Dustin Hopkins,Cleveland Browns,26.4,7.0,2,2,100.0,30,0,1,1,0,0,1,2,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,1,2.2%,9,2021
264,Greg Joseph,San Francisco 49ers,25.6,7.0,1,1,100.0,36,0,0,1,0,0,4,4,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,1,0.7%,9,2021
119,Matthew Wright,Carolina Panthers,25.1,11.0,3,4,75.0,55,0,1,1,0,1,0,0,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,1,2.2%,9,2021
391,Evan Mcpherson,Cincinnati Bengals,23.6,4.0,1,1,100.0,27,0,1,0,0,0,1,1,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,1,44.3%,9,2021
21,Chris Boswell,Pittsburgh Steelers,33.3,16.0,3,3,100.0,54,0,0,0,1,2,2,3,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,72.7%,9,2021
192,Cairo Santos,Chicago Bears,21.34,9.0,2,3,66.7,30,0,1,1,0,0,3,3,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,15.2%,9,2021
121,Graham Gano,New York Giants,29.8,11.0,3,3,100.0,38,0,0,3,0,0,2,2,MetLife Stadium,Outdoor,Turf,3.0,2010.0,East Rutherford,NJ,40.8136,-74.0744,1,2.6%,9,2021
191,Harrison Butker,Kansas City Chiefs,27.8,9.0,2,2,100.0,55,0,1,0,0,1,1,1,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,69.3%,9,2021
263,Tyler Bass,Buffalo Bills,26.4,7.0,2,2,100.0,41,0,1,0,1,0,0,0,TIAA Bank Field,Outdoor,Grass,16.0,1995.0,Jacksonville,FL,30.3239,-81.6373,1,61.0%,9,2021
190,Younghoe Koo,Atlanta Falcons,27.8,9.0,2,2,100.0,32,0,1,1,0,0,3,3,Mercedes-Benz Stadium,Indoor,Turf,1050.0,2017.0,Atlanta,GA,33.755,-84.4008,1,21.9%,9,2021
153,Daniel Carlson,Las Vegas Raiders,24.5,10.0,3,4,75.0,32,0,2,1,0,0,1,1,MetLife Stadium,Outdoor,Turf,3.0,2010.0,East Rutherford,NJ,40.8136,-74.0744,1,14.9%,9,2021
154,Ka'Imi Fairbairn,Houston Texans,29.2,10.0,3,3,100.0,40,0,1,1,1,0,0,0,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,1,65.3%,9,2021
63,Brandon Mcmanus,Green Bay Packers,26.5,13.0,3,4,75.0,53,0,1,0,1,1,1,2,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,7.7%,9,2021
312,Jason Sanders,Miami Dolphins,24.9,6.0,1,1,100.0,42,0,0,0,1,0,2,2,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,1,44.9%,9,2021
313,Jake Elliott,Philadelphia Eagles,25.0,6.0,1,1,100.0,24,0,1,0,0,0,3,3,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,1,60.9%,9,2021
120,Chase Mclaughlin,Tampa Bay Buccaneers,22.84,11.0,2,3,66.7,28,0,2,0,0,0,5,5,,,,,,,,,,1,70.7%,9,2021
88,Matt Gay,Washington Commanders,30.6,12.0,3,3,100.0,54,0,1,1,0,1,1,1,,,,,,,,,,1,15.7%,9,2021
478,Chase Mclaughlin,Tampa Bay Buccaneers,0.7,1.0,0,0,0.0,0,0,0,0,0,0,1,1,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,1,70.7%,10,2021
91,Joey Slye,Tennessee Titans,30.7,12.0,3,3,100.0,46,0,2,0,1,0,2,2,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,1,2.1%,10,2021
90,Chris Boswell,Pittsburgh Steelers,30.7,12.0,3,3,100.0,51,0,2,0,0,1,1,1,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,72.7%,10,2021
89,Harrison Butker,Kansas City Chiefs,23.34,12.0,2,3,66.7,40,0,0,1,1,0,5,5,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,69.3%,10,2021
461,Daniel Carlson,Las Vegas Raiders,1.4,2.0,0,0,0.0,0,0,0,0,0,0,2,2,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,14.9%,10,2021
498,Jason Myers,Seattle Seahawks,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,8.6%,10,2021
156,Greg Joseph,San Francisco 49ers,28.4,10.0,2,2,100.0,46,0,0,1,1,0,3,3,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,1,0.7%,10,2021
155,Jason Sanders,Miami Dolphins,29.3,10.0,3,3,100.0,31,0,2,1,0,0,1,1,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,1,44.9%,10,2021
44,Jake Elliott,Philadelphia Eagles,32.0,14.0,3,3,100.0,52,0,1,1,0,1,3,3,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,1,60.9%,10,2021
357,Matthew Wright,Carolina Panthers,14.4,5.0,1,2,50.0,56,0,0,0,0,1,0,1,Bank of America Stadium,Outdoor,Grass,748.0,1996.0,Charlotte,NC,35.2258,-80.8528,1,2.2%,10,2021
427,Younghoe Koo,Atlanta Falcons,22.8,3.0,1,1,100.0,35,0,0,1,0,0,0,0,AT&T Stadium,Indoor,Turf,639.0,2009.0,Arlington,TX,32.7473,-97.0945,1,21.9%,10,2021
266,Brandon Mcmanus,Green Bay Packers,20.04,7.0,2,3,66.7,28,0,2,0,0,0,1,1,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,7.7%,10,2021
193,Tyler Bass,Buffalo Bills,27.1,9.0,1,1,100.0,29,0,1,0,0,0,6,6,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,1,61.0%,10,2021
194,Dustin Hopkins,Cleveland Browns,27.8,9.0,2,2,100.0,46,0,1,0,1,0,2,2,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,1,2.2%,10,2021
392,Matt Gay,Washington Commanders,23.5,4.0,1,1,100.0,37,0,0,1,0,0,1,1,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,1,15.7%,10,2021
394,Graham Gano,New York Giants,23.5,4.0,1,1,100.0,37,0,0,1,0,0,1,1,Raymond James Stadium,Outdoor,Grass,26.0,1998.0,Tampa,FL,27.9759,-82.5033,1,2.6%,11,2021
195,Harrison Butker,Kansas City Chiefs,21.24,9.0,2,3,66.7,53,0,0,1,0,1,1,2,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,69.3%,11,2021
479,Cairo Santos,Chicago Bears,0.9,1.0,0,1,0.0,0,0,0,0,0,0,1,1,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,1,15.2%,11,2021
267,Jason Myers,Seattle Seahawks,26.5,7.0,2,2,100.0,27,0,2,0,0,0,1,1,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,1,8.6%,11,2021
122,Ka'Imi Fairbairn,Houston Texans,29.9,11.0,3,3,100.0,43,0,1,1,1,0,1,2,NRG Stadium,Indoor,Turf,50.0,2002.0,Houston,TX,29.6847,-95.4107,1,65.3%,11,2021
480,Chase Mclaughlin,Tampa Bay Buccaneers,0.9,1.0,0,1,0.0,0,0,0,0,0,0,1,2,Raymond James Stadium,Outdoor,Grass,26.0,1998.0,Tampa,FL,27.9759,-82.5033,1,70.7%,11,2021
481,Tyler Bass,Buffalo Bills,1.1,1.0,0,2,0.0,0,0,0,0,0,0,1,1,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,1,61.0%,11,2021
2,Evan Mcpherson,Cincinnati Bengals,37.5,21.0,4,4,100.0,54,0,0,0,1,3,2,3,Paycor Stadium,Outdoor,Turf,482.0,2000.0,Cincinnati,OH,39.0954,-84.516,1,44.3%,11,2021
157,Greg Joseph,San Francisco 49ers,28.5,10.0,2,2,100.0,51,0,1,0,0,1,2,3,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,1,0.7%,11,2021
499,Younghoe Koo,Atlanta Falcons,0.2,0.0,0,1,0.0,0,0,0,0,0,0,0,0,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,1,21.9%,11,2021
231,Daniel Carlson,Las Vegas Raiders,27.1,8.0,2,2,100.0,47,0,1,0,1,0,1,1,Paycor Stadium,Outdoor,Turf,482.0,2000.0,Cincinnati,OH,39.0954,-84.516,1,14.9%,11,2021
45,Chris Boswell,Pittsburgh Steelers,31.9,14.0,3,3,100.0,45,0,0,2,1,0,4,4,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,1,72.7%,11,2021
92,Dustin Hopkins,Cleveland Browns,29.8,12.0,2,2,100.0,41,0,0,1,1,0,5,5,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,1,2.2%,11,2021
314,Jason Sanders,Miami Dolphins,15.2,6.0,1,2,50.0,24,0,1,0,0,0,3,3,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,1,44.9%,11,2021
6,Jake Elliott,Philadelphia Eagles,36.1,19.0,4,4,100.0,50,0,0,2,1,1,4,4,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,1,60.9%,11,2021
196,Joey Slye,Tennessee Titans,27.8,9.0,2,2,100.0,36,0,1,1,0,0,3,3,NRG Stadium,Indoor,Turf,50.0,2002.0,Houston,TX,29.6847,-95.4107,1,2.1%,11,2021
393,Matthew Wright,Carolina Panthers,23.5,4.0,1,1,100.0,30,0,0,1,0,0,1,1,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,1,2.2%,11,2021
462,Ka'Imi Fairbairn,Houston Texans,1.6,2.0,0,1,0.0,0,0,0,0,0,0,2,2,MetLife Stadium,Outdoor,Turf,3.0,2010.0,East Rutherford,NJ,40.8136,-74.0744,1,65.3%,12,2021
359,Chris Boswell,Pittsburgh Steelers,24.2,5.0,1,1,100.0,40,0,0,0,1,0,1,1,Paycor Stadium,Outdoor,Turf,482.0,2000.0,Cincinnati,OH,39.0954,-84.516,1,72.7%,12,2021
268,Tyler Bass,Buffalo Bills,25.6,7.0,1,1,100.0,34,0,0,1,0,0,4,4,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,1,61.0%,12,2021
463,Greg Joseph,San Francisco 49ers,1.4,2.0,0,0,0.0,0,0,0,0,0,0,2,3,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,1,0.7%,12,2021
269,Graham Gano,New York Giants,19.84,7.0,2,3,66.7,39,0,0,2,0,0,1,1,MetLife Stadium,Outdoor,Turf,3.0,2010.0,East Rutherford,NJ,40.8136,-74.0744,1,2.6%,12,2021
123,Cairo Santos,Chicago Bears,25.2,11.0,3,4,75.0,43,0,2,0,1,0,1,1,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,1,15.2%,12,2021
482,Jason Myers,Seattle Seahawks,0.7,1.0,0,0,0.0,0,0,0,0,0,0,1,1,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,1,8.6%,12,2021
484,Jake Elliott,Philadelphia Eagles,0.7,1.0,0,0,0.0,0,0,0,0,0,0,1,1,MetLife Stadium,Outdoor,Turf,3.0,2010.0,East Rutherford,NJ,40.8136,-74.0744,1,60.9%,12,2021
315,Matthew Wright,Carolina Panthers,25.7,6.0,2,2,100.0,34,0,1,1,0,0,0,0,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,1,2.2%,12,2021
395,Brandon Mcmanus,Green Bay Packers,2.8,4.0,0,0,0.0,0,0,0,0,0,0,4,4,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,7.7%,12,2021
232,Matt Gay,Washington Commanders,27.0,8.0,2,2,100.0,39,0,0,2,0,0,2,2,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,1,15.7%,12,2021
483,Dustin Hopkins,Cleveland Browns,0.9,1.0,0,1,0.0,0,0,0,0,0,0,1,1,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,1,2.2%,12,2021
358,Chase Mclaughlin,Tampa Bay Buccaneers,14.4,5.0,1,2,50.0,46,0,0,0,1,0,1,1,Raymond James Stadium,Outdoor,Grass,26.0,1998.0,Tampa,FL,27.9759,-82.5033,1,70.7%,12,2021
3,Daniel Carlson,Las Vegas Raiders,38.4,21.0,5,5,100.0,56,0,2,1,1,1,3,3,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,1,14.9%,12,2021
429,Younghoe Koo,Atlanta Falcons,2.1,3.0,0,0,0.0,0,0,0,0,0,0,3,3,Mercedes-Benz Stadium,Indoor,Turf,1050.0,2017.0,Atlanta,GA,33.755,-84.4008,1,21.9%,12,2021
158,Jason Sanders,Miami Dolphins,28.4,10.0,2,2,100.0,46,0,0,1,1,0,3,4,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,1,44.9%,12,2021
428,Joey Slye,Tennessee Titans,22.9,3.0,1,1,100.0,23,0,1,0,0,0,0,1,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,1,2.1%,12,2021
64,Evan Mcpherson,Cincinnati Bengals,30.5,13.0,2,2,100.0,51,0,0,1,0,1,5,5,Paycor Stadium,Outdoor,Turf,482.0,2000.0,Cincinnati,OH,39.0954,-84.516,1,44.3%,12,2021
360,Evan Mcpherson,Cincinnati Bengals,24.2,5.0,1,1,100.0,48,0,0,0,1,0,1,2,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,1,44.3%,13,2021
29,Matt Gay,Washington Commanders,32.6,15.0,3,3,100.0,44,0,0,1,2,0,4,4,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,1,15.7%,13,2021
65,Harrison Butker,Kansas City Chiefs,31.3,13.0,3,3,100.0,56,0,1,0,1,1,1,2,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,69.3%,13,2021
361,Younghoe Koo,Atlanta Falcons,24.3,5.0,1,1,100.0,21,0,1,0,0,0,2,2,Raymond James Stadium,Outdoor,Grass,26.0,1998.0,Tampa,FL,27.9759,-82.5033,1,21.9%,13,2021
159,Jason Sanders,Miami Dolphins,21.94,10.0,2,3,66.7,48,0,0,0,2,0,2,2,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,1,44.9%,13,2021
160,Greg Joseph,San Francisco 49ers,29.1,10.0,3,3,100.0,41,0,0,2,1,0,0,0,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,1,0.7%,13,2021
500,Ka'Imi Fairbairn,Houston Texans,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,1,65.3%,13,2021
197,Chris Boswell,Pittsburgh Steelers,27.7,9.0,2,2,100.0,53,0,0,0,1,1,0,1,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,72.7%,13,2021
464,Cairo Santos,Chicago Bears,1.4,2.0,0,0,0.0,0,0,0,0,0,0,2,2,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,1,15.2%,13,2021
398,Jason Myers,Seattle Seahawks,3.0,4.0,0,1,0.0,0,0,0,0,0,0,4,4,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,1,8.6%,13,2021
124,Daniel Carlson,Las Vegas Raiders,29.8,11.0,3,3,100.0,52,0,0,2,0,1,0,0,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,1,14.9%,13,2021
125,Dustin Hopkins,Cleveland Browns,29.1,11.0,2,2,100.0,43,0,0,0,2,0,3,4,,,,,,,,,,1,2.2%,13,2021
397,Tyler Bass,Buffalo Bills,13.7,4.0,1,2,50.0,35,0,0,1,0,0,1,1,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,1,61.0%,13,2021
485,Matthew Wright,Carolina Panthers,0.7,1.0,0,0,0.0,0,0,0,0,0,0,1,1,,,,,,,,,,1,2.2%,13,2021
396,Brandon Mcmanus,Green Bay Packers,23.5,4.0,1,1,100.0,42,0,0,0,1,0,0,0,,,,,,,,,,1,7.7%,13,2021
10,Jake Elliott,Philadelphia Eagles,34.7,17.0,4,4,100.0,46,0,0,2,2,0,3,3,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,1,60.9%,13,2021
126,Graham Gano,New York Giants,25.0,11.0,3,4,75.0,51,0,0,2,0,1,0,0,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,1,2.6%,13,2021
47,Matt Gay,Washington Commanders,31.9,14.0,3,3,100.0,55,0,0,2,0,1,3,3,AT&T Stadium,Indoor,Turf,639.0,2009.0,Arlington,TX,32.7473,-97.0945,1,15.7%,14,2021
271,Jason Myers,Seattle Seahawks,26.3,7.0,2,2,100.0,38,0,0,2,0,0,1,3,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,1,8.6%,14,2021
67,Greg Joseph,San Francisco 49ers,26.5,13.0,3,4,75.0,42,0,1,1,1,0,3,4,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,1,0.7%,14,2021
66,Dustin Hopkins,Cleveland Browns,31.4,13.0,3,3,100.0,39,0,2,1,0,0,4,4,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,1,2.2%,14,2021
430,Daniel Carlson,Las Vegas Raiders,22.9,3.0,1,1,100.0,26,0,1,0,0,0,0,1,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,14.9%,14,2021
199,Tyler Bass,Buffalo Bills,27.9,9.0,2,2,100.0,25,0,2,0,0,0,3,3,Raymond James Stadium,Outdoor,Grass,26.0,1998.0,Tampa,FL,27.9759,-82.5033,1,61.0%,14,2021
270,Chase Mclaughlin,Tampa Bay Buccaneers,15.8,7.0,1,2,50.0,43,0,0,0,1,0,3,3,Raymond James Stadium,Outdoor,Grass,26.0,1998.0,Tampa,FL,27.9759,-82.5033,1,70.7%,14,2021
93,Evan Mcpherson,Cincinnati Bengals,25.8,12.0,3,4,75.0,41,0,1,1,1,0,2,2,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,1,44.3%,14,2021
94,Younghoe Koo,Atlanta Falcons,30.5,12.0,3,3,100.0,48,0,0,2,1,0,2,2,Mercedes-Benz Stadium,Indoor,Turf,1050.0,2017.0,Atlanta,GA,33.755,-84.4008,1,21.9%,14,2021
161,Brandon Mcmanus,Green Bay Packers,27.7,10.0,1,1,100.0,52,0,0,0,0,1,5,5,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,7.7%,14,2021
