Rank,Player,Team Name,Score,FPTS,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,G,ROST,week,year
225,Brandon Mcmanus,Green Bay Packers,20.64,8.0,2,3,66.7,49,0,1,0,1,0,1,1,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,7.7%,2,2020
312,Wil Lutz,Denver Broncos,24.9,6.0,1,1,100.0,31,0,0,1,0,0,3,3,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,34.5%,2,2020
351,Cairo Santos,Chicago Bears,14.4,5.0,1,2,50.0,34,0,0,1,0,0,2,2,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,1,15.2%,2,2020
63,Wil Lutz,Denver Broncos,31.2,13.0,3,3,100.0,45,0,0,2,1,0,3,3,Raymond James Stadium,Outdoor,Grass,26.0,1998.0,Tampa,FL,27.9759,-82.5033,1,34.5%,3,2020
228,Daniel Carlson,Las Vegas Raiders,20.74,8.0,2,3,66.7,29,0,2,0,0,0,2,2,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,1,14.9%,3,2020
438,Ka'Imi Fairbairn,Houston Texans,2.1,3.0,0,0,0.0,0,0,0,0,0,0,3,3,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,65.3%,3,2020
315,Cairo Santos,Chicago Bears,15.1,6.0,1,2,50.0,35,0,0,1,0,0,3,3,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,1,15.2%,3,2020
314,Brandon Mcmanus,Green Bay Packers,24.9,6.0,1,1,100.0,56,0,0,0,0,1,1,1,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,7.7%,3,2020
275,Jason Sanders,Miami Dolphins,25.6,7.0,1,1,100.0,30,0,0,1,0,0,4,4,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,1,44.9%,3,2020
64,Graham Gano,New York Giants,31.2,13.0,3,3,100.0,52,0,0,0,2,1,0,0,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,1,2.6%,3,2020
26,Joey Slye,Tennessee Titans,34.3,15.0,5,5,100.0,31,0,3,2,0,0,0,1,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,1,2.1%,3,2020
401,Jason Myers,Seattle Seahawks,2.8,4.0,0,0,0.0,0,0,0,0,0,0,4,4,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,1,8.6%,3,2020
402,Harrison Butker,Kansas City Chiefs,3.0,4.0,0,1,0.0,0,0,0,0,0,0,4,5,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,69.3%,3,2020
467,Dustin Hopkins,Cleveland Browns,1.4,2.0,0,0,0.0,0,0,0,0,0,0,2,3,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,1,2.2%,3,2020
227,Younghoe Koo,Atlanta Falcons,20.64,8.0,2,3,66.7,36,0,1,1,0,0,2,3,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,1,21.9%,3,2020
226,Chris Boswell,Pittsburgh Steelers,27.1,8.0,2,2,100.0,33,0,1,1,0,0,2,2,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,72.7%,3,2020
354,Tyler Bass,Buffalo Bills,3.5,5.0,0,0,0.0,0,0,0,0,0,0,5,5,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,1,61.0%,3,2020
40,Jake Elliott,Philadelphia Eagles,32.0,14.0,3,3,100.0,54,0,1,0,1,1,2,2,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,1,60.9%,3,2020
276,Joey Slye,Tennessee Titans,15.9,7.0,1,2,50.0,27,0,1,0,0,0,4,4,,,,,,,,,,1,2.1%,4,2020
439,Cairo Santos,Chicago Bears,22.9,3.0,1,1,100.0,27,0,1,0,0,0,0,0,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,1,15.2%,4,2020
317,Tyler Bass,Buffalo Bills,24.9,6.0,1,1,100.0,34,0,0,1,0,0,3,4,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,1,61.0%,4,2020
229,Harrison Butker,Kansas City Chiefs,27.1,8.0,2,2,100.0,39,0,1,1,0,0,2,3,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,69.3%,4,2020
9,Brandon Mcmanus,Green Bay Packers,34.7,18.0,3,3,100.0,54,0,0,0,1,2,4,4,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,7.7%,4,2020
187,Graham Gano,New York Giants,28.5,9.0,3,3,100.0,37,0,1,2,0,0,0,0,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,1,2.6%,4,2020
186,Jason Myers,Seattle Seahawks,27.0,9.0,1,1,100.0,55,0,0,0,0,1,4,4,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,1,8.6%,4,2020
316,Dustin Hopkins,Cleveland Browns,15.1,6.0,1,2,50.0,43,0,0,0,1,0,2,2,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,1,2.2%,4,2020
355,Wil Lutz,Denver Broncos,3.5,5.0,0,0,0.0,0,0,0,0,0,0,5,5,Empower Field at Mile High,Outdoor,Turf,5280.0,2001.0,Denver,CO,39.7439,-105.0201,1,34.5%,4,2020
356,Jake Elliott,Philadelphia Eagles,24.2,5.0,1,1,100.0,35,0,0,1,0,0,2,2,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,1,60.9%,4,2020
8,Jason Sanders,Miami Dolphins,36.3,18.0,5,5,100.0,45,0,2,0,3,0,0,0,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,1,44.9%,4,2020
66,Ka'Imi Fairbairn,Houston Texans,31.4,13.0,3,3,100.0,50,0,2,0,0,1,2,2,U.S. Bank Stadium,Indoor,Turf,840.0,2016.0,Minneapolis,MN,44.974,-93.2581,1,65.3%,4,2020
65,Daniel Carlson,Las Vegas Raiders,31.3,13.0,3,3,100.0,54,0,1,1,0,1,2,2,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,1,14.9%,4,2020
113,Daniel Carlson,Las Vegas Raiders,29.1,11.0,2,2,100.0,43,0,0,1,1,0,4,5,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,1,14.9%,5,2020
112,Joey Slye,Tennessee Titans,29.9,11.0,3,3,100.0,39,0,1,2,0,0,2,2,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,1,2.1%,5,2020
