Rank,Player,ATT,Rush Yds,Y/A,LG,20+,Rush TD,REC,TGT,Rec Yds,Y/R,Rec TD,FL,G,FPTS,FPTS/G,ROST,team_abbr,team_name,year,week,Score,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,Team Name
2602,Travis Homer,1,14,14.0,14,0,0,0,0,0,0.0,0,0,1,1.4,1.4,0.6%,CHI,chicago_bears,2021,7,9.2,Raymond James Stadium,Outdoor,Grass,26.0,1998.0,Tampa,FL,27.9759,-82.5033,Chicago Bears
2606,Jeremy Mcnichols,0,0,0.0,0,0,0,1,1,10,10.0,0,0,1,1.0,1.0,0.8%,WAS,washington_commanders,2021,7,0.6,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Washington Commanders
2625,Deejay Dallas,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,ARI,arizona_cardinals,2021,7,0.0,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,Arizona Cardinals
2678,Jaret Patterson,11,46,4.2,13,0,0,0,1,0,0.0,0,0,1,4.6,4.6,0.0%,LAC,los_angeles_chargers,2021,8,24.73,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,Los Angeles Chargers
2636,Joe Mixon,14,33,2.4,8,0,1,4,5,58,14.5,1,0,1,21.1,21.1,96.9%,HOU,houston_texans,2021,8,27.96,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Houston Texans
2639,Jonathan Taylor,16,70,4.4,12,0,1,3,4,52,17.3,0,0,1,18.2,18.2,98.3%,IND,indianapolis_colts,2021,8,43.56,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Indianapolis Colts
2637,Elijah Mitchell,18,137,7.6,39,3,1,0,0,0,0.0,0,0,1,19.7,19.7,7.7%,KC,kansas_city_chiefs,2021,8,74.84,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
2641,Najee Harris,26,91,3.5,11,0,1,3,3,29,9.7,0,0,1,18.0,18.0,83.7%,LAC,los_angeles_chargers,2021,8,53.78,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,Los Angeles Chargers
2638,Austin Ekeler,11,64,5.8,28,1,1,6,10,60,10.0,0,0,1,18.4,18.4,69.3%,WAS,washington_commanders,2021,8,40.97,Empower Field at Mile High,Outdoor,Turf,5280.0,2001.0,Denver,CO,39.7439,-105.0201,Washington Commanders
2643,Aaron Jones Sr.,15,59,3.9,16,0,1,7,11,51,7.3,0,0,1,17.0,17.0,90.3%,MIN,minnesota_vikings,2021,8,38.24,AT&T Stadium,Indoor,Turf,639.0,2009.0,Arlington,TX,32.7473,-97.0945,Minnesota Vikings
2645,Ty Johnson,4,15,3.8,8,0,0,5,6,71,14.2,1,0,1,14.6,14.6,5.2%,BUF,buffalo_bills,2021,8,15.52,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Buffalo Bills
2646,James Conner,5,22,4.4,9,0,2,0,0,0,0.0,0,0,1,14.2,14.2,92.9%,ARI,arizona_cardinals,2021,8,18.96,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Arizona Cardinals
2648,Alvin Kamara,19,61,3.2,15,0,1,3,4,15,5.0,0,0,1,13.6,13.6,95.0%,NO,new_orleans_saints,2021,8,37.33,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,New Orleans Saints
2649,Cordarrelle Patterson,9,35,3.9,14,0,0,5,5,37,7.4,1,0,1,13.2,13.2,1.0%,PIT,pittsburgh_steelers,2021,8,24.34,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
2650,Chuba Hubbard,24,82,3.4,9,0,1,1,2,9,9.0,0,1,1,13.1,13.1,94.9%,CAR,carolina_panthers,2021,8,46.76,Bank of America Stadium,Outdoor,Grass,748.0,1996.0,Charlotte,NC,35.2258,-80.8528,Carolina Panthers
2661,A.J. Dillon,16,78,4.9,12,0,0,0,0,0,0.0,0,0,1,7.8,7.8,5.6%,PHI,philadelphia_eagles,2021,8,41.34,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,Philadelphia Eagles
2665,Travis Homer,4,9,2.3,7,0,0,1,1,3,3.0,0,0,1,7.2,7.2,0.6%,CHI,chicago_bears,2021,8,8.49,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,Chicago Bears
2666,Nick Chubb,16,61,3.8,21,1,0,1,1,8,8.0,0,0,1,6.9,6.9,39.7%,HOU,houston_texans,2021,8,33.17,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Houston Texans
2667,Khalil Herbert,23,72,3.1,22,1,0,2,2,-4,-2.0,0,0,1,6.8,6.8,6.2%,IND,indianapolis_colts,2021,8,38.76,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Indianapolis Colts
2668,Derrick Henry,28,68,2.4,9,0,0,0,0,0,0.0,0,0,1,6.8,6.8,98.7%,BAL,baltimore_ravens,2021,8,37.16,,,,,,,,,,Baltimore Ravens
2672,Zack Moss,8,19,2.4,7,0,0,6,7,39,6.5,0,0,1,5.8,5.8,16.8%,CIN,cincinnati_bengals,2021,8,13.21,MetLife Stadium,Outdoor,Turf,3.0,2010.0,East Rutherford,NJ,40.8136,-74.0744,Cincinnati Bengals
2675,Antonio Gibson,8,34,4.3,12,0,0,3,3,20,6.7,0,0,1,5.4,5.4,13.1%,NE,new_england_patriots,2021,8,19.75,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,New England Patriots
2716,Cam Akers,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,2.9%,NO,new_orleans_saints,2021,8,0.0,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,New Orleans Saints
2677,Javonte Williams,9,35,3.9,14,0,0,2,4,13,6.5,0,0,1,4.8,4.8,79.7%,DAL,dallas_cowboys,2021,8,19.84,AT&T Stadium,Indoor,Turf,639.0,2009.0,Arlington,TX,32.7473,-97.0945,Dallas Cowboys
2682,Jeremy Mcnichols,0,0,0.0,0,0,0,3,3,33,11.0,0,0,1,3.3,3.3,0.8%,WAS,washington_commanders,2021,8,1.95,Empower Field at Mile High,Outdoor,Turf,5280.0,2001.0,Denver,CO,39.7439,-105.0201,Washington Commanders
2684,D'Andre Swift,12,27,2.3,7,0,0,5,5,24,4.8,0,1,1,3.1,3.1,89.4%,CHI,chicago_bears,2021,8,15.64,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,Chicago Bears
2685,Rhamondre Stevenson,8,26,3.3,8,0,0,1,2,5,5.0,0,0,1,3.1,3.1,83.3%,NE,new_england_patriots,2021,8,14.64,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,New England Patriots
2686,Devin Singletary,7,28,4.0,13,0,0,1,1,1,1.0,0,0,1,2.9,2.9,8.8%,NYG,new_york_giants,2021,8,15.45,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,New York Giants
2687,Salvon Ahmed,7,22,3.1,12,0,0,1,2,6,6.0,0,0,1,2.8,2.8,0.0%,IND,indianapolis_colts,2021,8,12.56,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Indianapolis Colts
2688,Kenneth Gainwell,13,27,2.1,8,0,0,0,0,0,0.0,0,0,1,2.7,2.7,4.2%,PIT,pittsburgh_steelers,2021,8,15.12,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
2689,Tony Pollard,7,26,3.7,7,0,0,1,1,1,1.0,0,0,1,2.7,2.7,88.8%,TEN,tennessee_titans,2021,8,14.4,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Tennessee Titans
2699,Kyle Juszczyk,0,0,0.0,0,0,0,1,2,11,11.0,0,0,1,1.1,1.1,1.3%,SF,san_francisco_49ers,2021,8,0.65,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,San Francisco 49ers
2695,Dare Ogunbowale,2,9,4.5,5,0,0,1,1,9,9.0,0,0,1,1.8,1.8,1.5%,HOU,houston_texans,2021,8,5.92,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Houston Texans
2696,Demetric Felton Jr.,1,3,3.0,3,0,0,1,1,14,14.0,0,0,1,1.7,1.7,0.0%,WAS,washington_commanders,2021,8,2.85,Empower Field at Mile High,Outdoor,Turf,5280.0,2001.0,Denver,CO,39.7439,-105.0201,Washington Commanders
2697,Samaje Perine,0,0,0.0,0,0,0,2,2,16,8.0,0,0,1,1.6,1.6,3.6%,CIN,cincinnati_bengals,2021,8,1.0,MetLife Stadium,Outdoor,Turf,3.0,2010.0,East Rutherford,NJ,40.8136,-74.0744,Cincinnati Bengals
2634,Michael Carter,15,77,5.1,18,0,1,9,14,95,10.6,0,0,1,23.2,23.2,1.0%,ARI,arizona_cardinals,2021,8,49.82,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Arizona Cardinals
2706,Deejay Dallas,1,6,6.0,6,0,0,0,0,0,0.0,0,0,1,0.6,0.6,0.1%,ARI,arizona_cardinals,2021,8,4.0,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Arizona Cardinals
2710,C.J. Ham,1,0,0.0,0,0,0,3,3,3,1.0,0,0,1,0.3,0.3,0.6%,MIN,minnesota_vikings,2021,8,0.55,AT&T Stadium,Indoor,Turf,639.0,2009.0,Arlington,TX,32.7473,-97.0945,Minnesota Vikings
2727,David Montgomery,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,94.0%,DET,detroit_lions,2021,8,0.0,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,Detroit Lions
2712,Jakob Johnson,0,0,0.0,0,0,0,1,2,2,2.0,0,0,1,0.2,0.2,0.0%,HOU,houston_texans,2021,8,0.2,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Houston Texans
2725,Alexander Mattison,2,5,2.5,4,0,0,2,2,-5,-2.5,0,0,1,0.0,0.0,8.8%,MIA,miami_dolphins,2021,8,3.03,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Miami Dolphins
2717,Avery Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.6%,PHI,philadelphia_eagles,2021,8,0.0,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,Philadelphia Eagles
2740,Najee Harris,22,62,2.8,13,0,1,3,3,16,5.3,0,0,1,13.8,13.8,83.7%,LAC,los_angeles_chargers,2021,9,38.12,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Los Angeles Chargers
2812,Avery Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.6%,PHI,philadelphia_eagles,2021,9,0.0,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Philadelphia Eagles
2745,Javonte Williams,17,111,6.5,30,2,0,0,0,0,0.0,0,0,1,11.1,11.1,79.7%,DAL,dallas_cowboys,2021,9,58.18,Empower Field at Mile High,Outdoor,Turf,5280.0,2001.0,Denver,CO,39.7439,-105.0201,Dallas Cowboys
2803,Alexander Mattison,4,0,0.0,2,0,0,1,1,3,3.0,0,0,1,0.3,0.3,8.8%,MIA,miami_dolphins,2021,9,0.65,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,Miami Dolphins
2801,Dare Ogunbowale,1,1,1.0,1,0,0,1,1,4,4.0,0,0,1,0.5,0.5,1.5%,HOU,houston_texans,2021,9,1.05,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,Houston Texans
2732,James Conner,21,96,4.6,35,1,2,5,5,77,15.4,1,0,1,35.3,35.3,92.9%,ARI,arizona_cardinals,2021,9,64.94,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,Arizona Cardinals
2799,Salvon Ahmed,4,6,1.5,2,0,0,0,0,0,0.0,0,0,1,0.6,0.6,0.0%,IND,indianapolis_colts,2021,9,3.62,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Indianapolis Colts
2794,Khalil Herbert,4,13,3.3,8,0,0,0,0,0,0.0,0,0,1,1.3,1.3,6.2%,IND,indianapolis_colts,2021,9,7.4,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Indianapolis Colts
2792,Kyle Juszczyk,0,0,0.0,0,0,0,2,2,14,7.0,0,0,1,1.4,1.4,1.3%,SF,san_francisco_49ers,2021,9,0.9,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,San Francisco 49ers
2787,Demetric Felton Jr.,0,0,0.0,0,0,0,1,1,22,22.0,0,0,1,2.2,2.2,0.0%,WAS,washington_commanders,2021,9,1.2,,,,,,,,,,Washington Commanders
2733,Jonathan Taylor,19,172,9.1,78,2,2,2,2,28,14.0,0,0,1,32.0,32.0,98.3%,IND,indianapolis_colts,2021,9,97.66,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Indianapolis Colts
2784,C.J. Ham,0,0,0.0,0,0,0,1,1,27,27.0,0,0,1,2.7,2.7,0.6%,MIN,minnesota_vikings,2021,9,1.45,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Minnesota Vikings
2781,Alec Ingold,0,0,0.0,0,0,0,3,3,28,9.3,0,0,1,2.8,2.8,0.7%,MIA,miami_dolphins,2021,9,1.7,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,Miami Dolphins
2734,Nick Chubb,14,137,9.8,70,2,2,2,2,26,13.0,0,0,1,28.3,28.3,39.7%,HOU,houston_texans,2021,9,79.67,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,Houston Texans
2735,Joe Mixon,13,64,4.9,21,1,2,5,5,46,9.2,0,0,1,23.0,23.0,96.9%,HOU,houston_texans,2021,9,43.64,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,Houston Texans
2778,Jeremy Mcnichols,7,24,3.4,14,0,0,3,3,11,3.7,0,0,1,3.5,3.5,0.8%,WAS,washington_commanders,2021,9,14.06,,,,,,,,,,Washington Commanders
2777,Chuba Hubbard,3,3,1.0,3,0,0,1,2,33,33.0,0,0,1,3.6,3.6,94.9%,CAR,carolina_panthers,2021,9,3.7,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,Carolina Panthers
2737,Alvin Kamara,13,50,3.8,14,0,1,4,7,54,13.5,0,0,1,16.4,16.4,95.0%,NO,new_orleans_saints,2021,9,33.37,Mercedes-Benz Stadium,Indoor,Turf,1050.0,2017.0,Atlanta,GA,33.755,-84.4008,New Orleans Saints
2776,Samaje Perine,5,20,4.0,9,0,0,2,3,17,8.5,0,0,1,3.7,3.7,3.6%,CIN,cincinnati_bengals,2021,9,12.15,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,Cincinnati Bengals
2786,Zack Moss,3,6,2.0,7,0,0,2,4,18,9.0,0,0,1,2.4,2.4,16.8%,CIN,cincinnati_bengals,2021,9,4.7,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,Cincinnati Bengals
2773,Tony Pollard,4,11,2.8,8,0,0,1,2,32,32.0,0,0,1,4.3,4.3,88.8%,TEN,tennessee_titans,2021,9,8.02,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Tennessee Titans
2772,Aaron Jones Sr.,12,53,4.4,9,0,0,0,2,0,0.0,0,0,1,5.3,5.3,90.3%,MIN,minnesota_vikings,2021,9,28.36,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Minnesota Vikings
2749,Ty Johnson,4,21,5.3,9,0,0,2,3,40,20.0,1,1,1,10.1,10.1,5.2%,BUF,buffalo_bills,2021,9,15.8,TIAA Bank Field,Outdoor,Grass,16.0,1995.0,Jacksonville,FL,30.3239,-81.6373,Buffalo Bills
2769,Devin Singletary,6,16,2.7,5,0,0,7,8,43,6.1,0,0,1,5.9,5.9,8.8%,NYG,new_york_giants,2021,9,11.86,MetLife Stadium,Outdoor,Turf,3.0,2010.0,East Rutherford,NJ,40.8136,-74.0744,New York Giants
2759,Michael Carter,13,49,3.8,16,0,0,1,2,37,37.0,0,0,1,8.6,8.6,1.0%,ARI,arizona_cardinals,2021,9,28.32,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,Arizona Cardinals
2757,A.J. Dillon,8,46,5.8,15,0,0,4,4,44,11.0,0,0,1,9.0,9.0,5.6%,PHI,philadelphia_eagles,2021,9,27.27,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Philadelphia Eagles
2768,Kenneth Gainwell,2,3,1.5,2,0,1,0,0,0,0.0,0,0,1,6.3,6.3,4.2%,PIT,pittsburgh_steelers,2021,9,5.32,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
2755,Josh Jacobs,13,76,5.8,14,0,0,4,4,19,4.8,0,0,1,9.5,9.5,98.5%,GB,green_bay_packers,2021,9,41.52,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Green Bay Packers
2766,Kene Nwangwu,1,9,9.0,9,0,0,0,0,0,0.0,0,0,1,6.9,6.9,0.0%,NYJ,new_york_jets,2021,9,8.95,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,New York Jets
2754,Patrick Ricard,0,0,0.0,0,0,0,3,5,35,11.7,1,0,1,9.5,9.5,0.8%,BAL,baltimore_ravens,2021,9,5.05,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Baltimore Ravens
2764,Elijah Mitchell,8,36,4.5,14,0,0,5,5,43,8.6,0,0,1,7.9,7.9,7.7%,KC,kansas_city_chiefs,2021,9,22.13,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
2748,Christian Mccaffrey,14,52,3.7,10,0,0,4,5,54,13.5,0,0,1,10.6,10.6,98.5%,SF,san_francisco_49ers,2021,9,31.06,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,San Francisco 49ers
2747,Rhamondre Stevenson,10,62,6.2,13,0,0,2,2,44,22.0,0,0,1,10.6,10.6,83.3%,NE,new_england_patriots,2021,9,35.33,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,New England Patriots
2761,Austin Ekeler,17,59,3.5,16,0,0,3,3,23,7.7,0,0,1,8.2,8.2,69.3%,WAS,washington_commanders,2021,9,33.17,,,,,,,,,,Washington Commanders
2763,David Montgomery,13,63,4.8,21,1,0,2,2,17,8.5,0,0,1,8.0,8.0,94.0%,DET,detroit_lions,2021,9,34.57,,,,,,,,,,Detroit Lions
2741,Cordarrelle Patterson,9,10,1.1,4,0,0,6,6,126,21.0,0,0,1,13.6,13.6,1.0%,PIT,pittsburgh_steelers,2021,9,12.97,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
2887,Jeremy Mcnichols,4,7,1.8,4,0,0,1,3,1,1.0,0,0,1,0.8,0.8,0.8%,WAS,washington_commanders,2021,10,4.32,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,Washington Commanders
2849,Zack Moss,7,27,3.9,11,0,1,0,0,0,0.0,0,0,1,8.7,8.7,16.8%,CIN,cincinnati_bengals,2021,10,18.18,,,,,,,,,,Cincinnati Bengals
2850,Aaron Jones Sr.,7,25,3.6,6,0,0,4,6,61,15.3,0,0,1,8.6,8.6,90.3%,MIN,minnesota_vikings,2021,10,17.19,U.S. Bank Stadium,Indoor,Turf,840.0,2016.0,Minneapolis,MN,44.974,-93.2581,Minnesota Vikings
2824,A.J. Dillon,21,66,3.1,11,0,2,2,2,62,31.0,0,0,1,24.8,24.8,5.6%,PHI,philadelphia_eagles,2021,10,45.67,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,Philadelphia Eagles
2825,Rhamondre Stevenson,20,100,5.0,18,0,2,4,5,14,3.5,0,0,1,23.4,23.4,83.3%,NE,new_england_patriots,2021,10,60.65,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,New England Patriots
2906,Kene Nwangwu,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,NYJ,new_york_jets,2021,10,0.0,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,New York Jets
2905,Avery Williams,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.6%,PHI,philadelphia_eagles,2021,10,0.0,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,Philadelphia Eagles
2827,Antonio Gibson,24,64,2.7,15,0,2,2,2,14,7.0,0,0,1,19.8,19.8,13.1%,NE,new_england_patriots,2021,10,42.5,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,New England Patriots
2903,Deejay Dallas,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.1%,ARI,arizona_cardinals,2021,10,0.0,Bank of America Stadium,Outdoor,Grass,748.0,1996.0,Charlotte,NC,35.2258,-80.8528,Arizona Cardinals
2828,Jonathan Taylor,21,116,5.5,34,2,1,6,8,10,1.7,0,0,1,18.6,18.6,98.3%,IND,indianapolis_colts,2021,10,65.42,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Indianapolis Colts
2832,Christian Mccaffrey,13,95,7.3,15,0,0,10,10,66,6.6,0,0,1,16.1,16.1,98.5%,SF,san_francisco_49ers,2021,10,54.19,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,San Francisco 49ers
2836,Michael Carter,16,39,2.4,8,0,1,4,6,43,10.8,0,0,1,14.2,14.2,1.0%,ARI,arizona_cardinals,2021,10,27.41,Bank of America Stadium,Outdoor,Grass,748.0,1996.0,Charlotte,NC,35.2258,-80.8528,Arizona Cardinals
2902,Trey Sermon,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,1.1%,PIT,pittsburgh_steelers,2021,10,0.0,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
2900,Reggie Gilliam,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0%,BUF,buffalo_bills,2021,10,0.0,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Buffalo Bills
2892,Alec Ingold,0,0,0.0,0,0,0,1,1,5,5.0,0,0,1,0.5,0.5,0.7%,MIA,miami_dolphins,2021,10,0.35,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,Miami Dolphins
2890,Kyle Juszczyk,0,0,0.0,0,0,0,1,1,6,6.0,0,0,1,0.6,0.6,1.3%,SF,san_francisco_49ers,2021,10,0.4,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,San Francisco 49ers
2889,Patrick Taylor Jr.,2,7,3.5,5,0,0,0,0,0,0.0,0,0,1,0.7,0.7,0.8%,SF,san_francisco_49ers,2021,10,4.22,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,San Francisco 49ers
2888,Jaret Patterson,4,7,1.8,5,0,0,0,0,0,0.0,0,0,1,0.7,0.7,0.0%,LAC,los_angeles_chargers,2021,10,4.17,U.S. Bank Stadium,Indoor,Turf,840.0,2016.0,Minneapolis,MN,44.974,-93.2581,Los Angeles Chargers
2837,D'Andre Swift,33,130,3.9,21,1,0,3,6,5,1.7,0,0,1,13.5,13.5,89.4%,CHI,chicago_bears,2021,10,69.43,,,,,,,,,,Chicago Bears
2838,Najee Harris,26,105,4.0,12,0,0,4,4,28,7.0,0,0,1,13.3,13.3,83.7%,LAC,los_angeles_chargers,2021,10,57.5,U.S. Bank Stadium,Indoor,Turf,840.0,2016.0,Minneapolis,MN,44.974,-93.2581,Los Angeles Chargers
2839,James Conner,10,39,3.9,11,0,1,3,4,25,8.3,0,0,1,12.4,12.4,92.9%,ARI,arizona_cardinals,2021,10,26.04,Bank of America Stadium,Outdoor,Grass,748.0,1996.0,Charlotte,NC,35.2258,-80.8528,Arizona Cardinals
2883,J.J. Taylor,6,11,1.8,3,0,0,0,0,0,0.0,0,0,1,1.1,1.1,0.6%,HOU,houston_texans,2021,10,6.37,,,,,,,,,,Houston Texans
2882,C.J. Ham,0,0,0.0,0,0,0,3,3,13,4.3,0,0,1,1.3,1.3,0.6%,MIN,minnesota_vikings,2021,10,0.95,U.S. Bank Stadium,Indoor,Turf,840.0,2016.0,Minneapolis,MN,44.974,-93.2581,Minnesota Vikings
2881,Kenneth Gainwell,2,5,2.5,5,0,0,1,1,9,9.0,0,0,1,1.4,1.4,4.2%,PIT,pittsburgh_steelers,2021,10,3.62,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Pittsburgh Steelers
2880,Salvon Ahmed,2,6,3.0,4,0,0,1,1,9,9.0,0,0,1,1.5,1.5,0.0%,IND,indianapolis_colts,2021,10,4.2,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Indianapolis Colts
2840,Austin Ekeler,11,44,4.0,9,0,0,3,6,15,5.0,1,0,1,11.9,11.9,69.3%,WAS,washington_commanders,2021,10,27.75,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,Washington Commanders
2842,Devin Singletary,7,43,6.1,15,0,1,1,1,6,6.0,0,0,1,10.9,10.9,8.8%,NYG,new_york_giants,2021,10,26.92,,,,,,,,,,New York Giants
