Rank,Player,REC,TGT,Rec Yds,Y/R,LG,20+,Rec TD,ATT,Rec Yds,Rec TD,FL,G,FPTS,FPTS/G,ROST,team_abbr,team_name,year,week,Score,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,Team Name
75,Johnny Mundt,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,JAC,jacksonville_jaguars,2020,1,0.0,TIAA Bank Field,Outdoor,Grass,16.0,1995.0,Jacksonville,FL,30.3239,-81.6373,Jacksonville Jaguars
25,Dawson Knox,2,3,26,13.0,15,0,0,0,0,0,0,1,2.6,2.6,5.6%,BUF,buffalo_bills,2020,1,12.47,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Buffalo Bills
74,Robert Tonyan,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,KC,kansas_city_chiefs,2020,1,0.0,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
69,Taysom Hill,1,1,14,14.0,14,0,0,3,13,0,0,1,0.0,0.0,19.9%,NO,new_orleans_saints,2020,1,7.35,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,New Orleans Saints
28,Mo Alie-Cox,2,2,20,10.0,13,0,0,0,0,0,0,1,2.0,2.0,0.6%,IND,indianapolis_colts,2020,1,9.9,TIAA Bank Field,Outdoor,Grass,16.0,1995.0,Jacksonville,FL,30.3239,-81.6373,Indianapolis Colts
60,Adam Trautman,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.7%,DEN,denver_broncos,2020,1,0.0,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Denver Broncos
58,Cole Kmet,0,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,26.4%,CHI,chicago_bears,2020,1,0.0,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
51,Chris Manhertz,1,1,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,0.0%,NYG,new_york_giants,2020,1,2.63,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,New York Giants
56,Charlie Woerner,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,ATL,atlanta_falcons,2020,1,0.0,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,Atlanta Falcons
33,Ian Thomas,2,2,16,8.0,11,0,0,0,0,0,0,1,1.6,1.6,0.1%,LV,las_vegas_raiders,2020,1,8.12,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Las Vegas Raiders
34,Austin Hooper,2,2,15,7.5,9,0,0,0,0,0,0,1,1.5,1.5,3.5%,NE,new_england_patriots,2020,1,7.53,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,New England Patriots
44,Evan Engram,2,7,9,4.5,5,0,0,0,0,0,0,1,0.9,0.9,88.2%,DEN,denver_broncos,2020,1,4.76,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Denver Broncos
50,Harrison Bryant,1,2,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.1%,PHI,philadelphia_eagles,2020,1,3.2,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,Philadelphia Eagles
46,Will Dissly,2,2,8,4.0,5,0,0,0,0,0,0,1,0.8,0.8,8.3%,LAC,los_angeles_chargers,2020,1,4.36,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Los Angeles Chargers
38,Josiah Deguara,1,2,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,0.0%,ARI,arizona_cardinals,2020,1,7.19,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,Arizona Cardinals
39,Dalton Schultz,1,4,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,23.5%,HOU,houston_texans,2020,1,6.62,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Houston Texans
