Year,Week,Rank,Player,Team,FPTS,Score,Y/A,FPTS/G,FPTS,Rush_TD,FL,ATT,REC,TGT,Y/R,Rush_Yds,LG,20+,Date,Time,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
2018,1,22,Bilal Powell,new_york_jets,6.5,32.3,5.0,6.5,6.5,0,0,12,1,2,5.0,60,14,0,2018-09-10,7:10PM,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600.0,2002.0,17.2,0.0,42.84,81.0,1013.5
2018,1,23,Tj Yeldon,jacksonville_jaguars,12.9,31.64,3.6,12.9,12.9,0,0,14,3,7,6.0,51,15,0,2018-09-09,1:00PM,MetLife Stadium,East Rutherford,NJ,40.8136,-74.0744,Outdoor,Turf,3.0,2010.0,15.1,0.7,59.04,86.0,1023.5
2018,1,24,Austin Ekeler,los_angeles_chargers,18.6,29.02,7.8,18.6,18.6,0,0,5,5,5,17.4,39,10,0,2018-09-09,4:05PM,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100.0,2020.0,22.3,0.0,65.52,77.0,1008.5
2018,1,25,Christian Mccaffrey,carolina_panthers,7.5,28.5,5.0,7.5,7.5,0,1,10,6,9,7.5,50,15,0,2018-09-09,4:25PM,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748.0,1996.0,28.0,0.1,42.48,71.0,1010.9
2018,1,26,Chris Carson,seattle_seahawks,5.9,27.89,7.3,5.9,5.9,0,1,7,3,5,9.3,51,24,1,2018-09-09,4:25PM,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280.0,2001.0,28.4,0.0,29.880000000000003,18.0,1007.1
2018,1,27,Kenneth Dixon,baltimore_ravens,10.4,27.21,3.4,10.4,10.4,1,0,13,0,0,0.0,44,15,0,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,28,Kenyan Drake,miami_dolphins,6.6,27.11,3.4,6.6,6.6,0,0,14,3,4,6.0,48,16,0,2018-09-09,1:00PM,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7.0,1987.0,30.2,0.2,20.16,68.0,1014.2
2018,1,29,Kareem Hunt,kansas_city_chiefs,4.9,26.56,3.1,4.9,4.9,0,0,16,0,1,0.0,49,13,0,2018-09-09,4:05PM,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100.0,2020.0,22.3,0.0,65.52,77.0,1008.5
2018,1,30,Marshawn Lynch,unknown,10.9,26.15,3.7,10.9,10.9,1,0,11,2,2,4.0,41,10,0,,,,,,,,,,,,,,,,
2018,1,31,David Johnson,arizona_cardinals,12.7,25.41,4.1,12.7,12.7,1,0,9,5,9,6.0,37,11,0,2018-09-09,4:25PM,State Farm Stadium,Glendale,AZ,33.5275,-112.2625,Indoor,Turf,1070.0,2006.0,40.2,0.0,57.24,17.0,1004.5
