Year,Week,Rank,Player,Team,FPTS,Score,FPTS/G,FPTS,FL,ATT,REC,TGT,Y/R,20+,Rec_Yds,Rec_TD,Date,Time,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
2018,1,22,Golden Tate,philadelphia_eagles,13.9,24.6,13.9,13.9,0,0,7,15,11.3,2,79,1,2018-09-06,8:20PM,Lincoln Financial Field,Philadelphia,PA,39.9008,-75.1675,Outdoor,Grass,30.0,2003.0,28.6,0.2,18.0,69.0,1019.2
2018,1,23,Deandre Hopkins,houston_texans,7.1,23.77,7.1,7.1,0,1,8,11,9.8,0,78,0,2018-09-09,1:00PM,Gillette Stadium,Foxborough,MA,42.0909,-71.2643,Outdoor,Turf,289.0,2002.0,16.6,0.0,55.080000000000005,58.0,1025.7
2018,1,24,Larry Fitzgerald,arizona_cardinals,7.6,23.28,7.6,7.6,0,0,7,10,10.9,2,76,0,2018-09-09,4:25PM,State Farm Stadium,Glendale,AZ,33.5275,-112.2625,Indoor,Turf,1070.0,2006.0,40.2,0.0,57.24,17.0,1004.5
2018,1,25,Cole Beasley,dallas_cowboys,7.3,22.26,7.3,7.3,0,0,7,8,10.4,0,73,0,2018-09-09,4:25PM,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748.0,1996.0,28.0,0.1,42.48,71.0,1010.9
2018,1,26,Geronimo Allison,green_bay_packers,12.9,21.67,12.9,12.9,0,0,5,8,13.8,1,69,1,2018-09-09,8:20PM,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640.0,1957.0,13.7,0.0,24.840000000000003,79.0,1019.5
2018,1,27,Ted Ginn,new_orleans_saints,15.3,21.39,15.3,15.3,0,1,5,6,13.6,1,68,1,2018-09-09,1:00PM,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3.0,1975.0,28.7,0.1,19.08,75.0,1011.6
2018,1,28,Dante Pettis,san_francisco_49ers,12.1,21.22,12.1,12.1,0,0,2,5,30.5,2,61,1,2018-09-09,1:00PM,U.S. Bank Stadium,Minneapolis,MN,44.974,-93.2581,Indoor,Turf,840.0,2016.0,20.6,0.0,50.04,54.0,1018.6
2018,1,29,Phillip Dorsett,new_england_patriots,12.6,20.86,12.6,12.6,0,0,7,7,9.4,0,66,1,2018-09-09,1:00PM,Gillette Stadium,Foxborough,MA,42.0909,-71.2643,Outdoor,Turf,289.0,2002.0,16.6,0.0,55.080000000000005,58.0,1025.7
2018,1,30,Quincy Enunwa,new_york_jets,12.3,20.03,12.3,12.3,0,0,6,9,10.5,1,63,1,2018-09-10,7:10PM,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600.0,2002.0,17.2,0.0,42.84,81.0,1013.5
2018,1,31,Demaryius Thomas,denver_broncos,12.3,20.03,12.3,12.3,0,0,6,10,10.5,1,63,1,2018-09-09,4:25PM,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280.0,2001.0,28.4,0.0,29.880000000000003,18.0,1007.1
2018,1,32,Demaryius Thomas,houston_texans,12.3,20.03,12.3,12.3,0,0,6,10,10.5,1,63,1,2018-09-09,1:00PM,Gillette Stadium,Foxborough,MA,42.0909,-71.2643,Outdoor,Turf,289.0,2002.0,16.6,0.0,55.080000000000005,58.0,1025.7
2018,1,33,Tyler Lockett,seattle_seahawks,11.9,19.36,11.9,11.9,0,0,3,4,19.7,1,59,1,2018-09-09,4:25PM,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280.0,2001.0,28.4,0.0,29.880000000000003,18.0,1007.1
2018,1,34,Corey Davis,tennessee_titans,6.2,19.15,6.2,6.2,0,0,6,13,10.3,0,62,0,2018-09-09,1:00PM,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7.0,1987.0,30.2,0.2,20.16,68.0,1014.2
