YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Jacksonville Jaguars,15,0-0,7-7,6-6,6-7,3-4,0-0,22,24,91.7
TOTAL,,15,0-0,7-7,6-6,6-7,3-4,0-0,22,24,91.7
