YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Indianapolis Colts,14,0-0,8-8,9-9,5-5,3-7,0-0,25,29,86.2
2023,Indianapolis Colts,17,0-0,9-9,9-10,7-9,8-12,0-1,33,41,80.5
2022,Los Angeles Rams,17,0-0,9-9,8-8,4-4,7-8,0-1,28,30,93.3
2021,Los Angeles Rams,17,0-0,6-6,15-15,7-8,4-5,0-0,32,34,94.1
2020,Los Angeles Rams,7,0-0,2-2,5-6,6-7,1-1,0-0,14,16,87.5
2019,Tampa Bay Buccaneers,16,0-0,6-6,5-7,11-14,5-8,0-0,27,35,77.1
TOTAL,,88,0-0,40-40,51-55,40-47,28-41,0-2,159,185,85.9
