YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Atlanta Falcons,14,0-0,7-7,5-7,7-11,6-9,0-0,25,34,73.5
2023,Atlanta Falcons,17,0-0,10-10,10-10,9-11,3-6,0-0,32,37,86.5
2022,Atlanta Falcons,17,0-0,9-9,7-7,9-10,7-10,0-1,32,37,86.5
2021,Atlanta Falcons,17,0-0,8-8,9-9,6-7,4-5,0-0,27,29,93.1
2020,Atlanta Falcons,15,0-0,10-10,11-12,8-9,8-8,0-0,37,39,94.9
2019,Atlanta Falcons,8,0-0,6-6,9-10,7-9,1-1,0-0,23,26,88.5
2017,Los Angeles Chargers,4,0-0,2-2,0-0,1-4,0-0,0-0,3,6,50.0
TOTAL,,92,0-0,52-52,51-55,47-61,29-39,0-1,179,208,86.1
