YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Las Vegas Raiders,15,0-0,9-9,9-9,4-6,6-10,0-0,28,34,82.4
2023,Las Vegas Raiders,17,0-0,10-10,6-7,9-10,1-3,0-0,26,30,86.7
2022,Las Vegas Raiders,17,0-0,9-9,11-11,3-4,11-13,0-0,34,37,91.9
2021,Las Vegas Raiders,17,0-0,10-11,12-12,12-13,6-7,0-0,40,43,93.0
2020,Las Vegas Raiders,16,0-0,18-18,8-8,3-5,4-4,0-0,33,35,94.3
2019,Las Vegas Raiders,16,0-0,8-8,5-6,6-10,0-2,0-0,19,26,73.1
2018,Las Vegas Raiders,10,0-0,2-2,3-3,8-9,3-3,0-0,16,17,94.1
2018,Minnesota Vikings,2,0-0,0-0,0-1,1-3,0-0,0-0,1,4,25.0
TOTAL,,110,0-0,66-67,54-57,46-60,31-42,0-0,197,226,87.2
