YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Los Angeles Chargers,16,1-1,8-8,7-7,10-11,9-10,0-0,35,37,94.6
2023,Los Angeles Chargers,17,0-0,7-7,8-8,9-9,7-9,0-0,31,33,93.9
2022,Los Angeles Chargers,10,0-0,6-6,7-7,6-6,0-1,0-0,19,20,95.0
2022,Philadelphia Eagles,1,0-0,1-1,0-0,1-1,0-0,0-0,2,2,100.0
TOTAL,,44,1-1,22-22,22-22,26-27,16-20,0-0,87,92,94.6
