YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,New England Patriots,16,0-0,5-6,10-11,3-5,4-6,1-2,23,30,76.7
2023,Washington Commanders,17,0-0,2-3,7-7,7-9,2-4,1-1,19,24,79.2
2022,Washington Commanders,17,1-1,8-8,4-5,8-10,4-6,0-0,25,30,83.3
2021,Washington Commanders,6,0-0,6-6,3-3,2-2,1-1,0-0,12,12,100.0
2021,San Francisco 49ers,3,0-0,1-1,2-2,2-3,2-2,0-0,7,8,87.5
2021,Houston Texans,3,0-0,2-2,0-0,1-2,1-1,0-0,4,5,80.0
2020,Carolina Panthers,16,0-0,11-12,10-10,7-8,1-4,0-2,29,36,80.6
2019,Carolina Panthers,16,0-0,4-5,5-5,8-11,8-10,0-1,25,32,78.1
TOTAL,,94,1-1,39-43,41-43,38-50,23-34,2-6,144,177,81.4
