YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Arizona Cardinals,12,0-0,6-6,11-11,6-10,3-3,0-0,26,30,86.7
2023,New England Patriots,17,0-0,4-4,5-7,5-10,2-4,0-0,16,25,64.0
TOTAL,,29,0-0,10-10,16-18,11-20,5-7,0-0,42,55,76.4
