YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Carolina Panthers,15,0-0,7-7,7-8,6-8,1-1,0-0,21,24,87.5
2023,Carolina Panthers,15,0-0,6-6,7-7,7-9,5-7,0-0,25,29,86.2
2022,Carolina Panthers,17,0-0,2-2,16-17,13-14,2-2,0-0,33,35,94.3
2021,New York Jets,5,0-0,2-2,2-2,3-3,1-1,0-0,8,8,100.0
2019,Chicago Bears,16,1-1,8-8,9-10,3-7,2-2,0-0,23,28,82.1
TOTAL,,68,1-1,25-25,41-44,32-41,11-13,0-0,110,124,88.7
