YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Buffalo Bills,15,0-0,6-7,6-6,6-10,3-3,1-1,22,27,81.5
2023,Buffalo Bills,17,0-0,4-4,12-13,4-6,4-6,0-0,24,29,82.8
2022,Buffalo Bills,16,0-0,4-4,11-13,10-11,2-3,0-0,27,31,87.1
2021,Buffalo Bills,17,0-0,15-15,7-8,4-5,2-4,0-0,28,32,87.5
2020,Buffalo Bills,16,1-1,9-9,6-9,8-9,4-5,0-1,28,34,82.4
TOTAL,,81,1-1,38-39,42-49,32-41,15-21,1-2,129,153,84.3
