YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Washington Commanders,9,0-0,10-10,7-7,8-8,2-5,0-0,27,30,90.0
2023,New York Jets,1,0-0,0-0,1-1,0-0,0-0,0-0,1,1,100.0
2022,Detroit Lions,3,0-0,0-0,1-1,2-3,0-1,0-0,3,5,60.0
2021,Detroit Lions,6,0-0,0-0,4-4,5-6,1-2,0-0,10,12,83.3
2020,Cincinnati Bengals,4,0-0,0-0,5-5,1-2,0-1,0-0,6,8,75.0
2020,Cleveland Browns,1,0-0,0-0,0-0,0-1,0-0,0-0,0,1,0.0
2019,Cleveland Browns,16,0-0,6-6,9-9,9-12,1-2,0-0,25,29,86.2
TOTAL,,40,0-0,16-16,27-27,25-32,4-11,0-0,72,86,83.7
