YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Denver Broncos,16,0-0,2-2,12-13,11-11,5-6,0-1,30,33,90.9
2023,Denver Broncos,17,0-0,11-11,12-13,4-5,3-5,0-0,30,34,88.2
2022,New Orleans Saints,17,0-0,6-6,9-11,4-8,3-4,1-2,23,31,74.2
2020,New Orleans Saints,16,0-0,5-6,10-10,7-9,1-3,0-0,23,28,82.1
2019,New Orleans Saints,16,1-1,9-9,6-6,13-15,3-5,0-0,32,36,88.9
2018,New Orleans Saints,16,1-1,5-5,9-9,11-12,2-3,0-0,28,30,93.3
2017,New Orleans Saints,16,0-0,10-10,4-5,13-16,4-5,0-0,31,36,86.1
2016,New Orleans Saints,16,1-1,7-7,9-11,8-8,3-6,0-1,28,34,82.4
TOTAL,,130,3-3,55-56,71-78,71-84,24-37,1-4,225,262,85.9
