YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Miami Dolphins,15,0-0,5-5,12-12,5-7,11-13,0-0,33,37,89.2
2023,Miami Dolphins,17,0-0,6-6,7-7,6-8,5-7,0-0,24,28,85.7
2022,Miami Dolphins,17,0-0,5-6,7-7,12-13,2-6,0-0,26,32,81.2
2021,Miami Dolphins,17,0-0,6-6,7-9,8-10,2-6,0-0,23,31,74.2
2020,Miami Dolphins,16,1-1,8-8,7-7,12-14,8-9,0-0,36,39,92.3
2019,Miami Dolphins,16,0-0,7-7,8-9,5-9,3-5,0-0,23,30,76.7
2018,Miami Dolphins,16,0-0,7-7,3-3,7-9,1-1,0-0,18,20,90.0
TOTAL,,114,1-1,44-45,51-54,55-70,32-47,0-0,183,217,84.3
