YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Dallas Cowboys,15,0-0,3-3,6-8,13-15,12-13,2-3,36,42,85.7
2023,Dallas Cowboys,17,0-0,9-9,13-15,4-4,9-9,1-1,36,38,94.7
TOTAL,,32,0-0,12-12,19-23,17-19,21-22,3-4,72,80,90.0
