YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,New Orleans Saints,15,0-0,4-4,6-7,6-7,6-7,0-1,22,26,84.6
2023,New Orleans Saints,17,0-0,10-12,6-6,8-10,6-9,0-0,30,37,81.1
TOTAL,,32,0-0,14-16,12-13,14-17,12-16,0-1,52,63,82.5
