YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Philadelphia Eagles,15,0-0,7-7,8-8,8-9,1-6,0-1,24,31,77.4
2023,Philadelphia Eagles,17,0-0,9-9,7-8,7-7,6-7,1-1,30,32,93.8
2022,Philadelphia Eagles,16,0-0,6-6,8-9,1-2,5-6,0-0,20,23,87.0
2021,Philadelphia Eagles,17,0-0,7-7,10-10,10-13,3-3,0-0,30,33,90.9
2020,Philadelphia Eagles,16,0-0,1-3,6-6,5-5,2-5,0-0,14,19,73.7
2019,Philadelphia Eagles,16,0-0,7-7,8-8,5-7,2-4,0-0,22,26,84.6
2018,Philadelphia Eagles,16,0-0,7-7,10-11,7-8,2-5,0-0,26,31,83.9
2017,Philadelphia Eagles,15,0-0,5-5,4-7,12-13,4-5,1-1,26,31,83.9
TOTAL,,128,0-0,49-51,61-67,55-64,25-41,2-3,192,226,85.0
