YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Detroit Lions,15,0-0,3-3,10-10,5-6,5-6,0-1,23,26,88.5
TOTAL,,15,0-0,3-3,10-10,5-6,5-6,0-1,23,26,88.5
