YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,San Francisco 49ers,12,0-0,9-9,5-5,6-10,3-6,0-0,23,30,76.7
2023,San Francisco 49ers,17,0-0,7-7,8-9,4-6,2-3,0-0,21,25,84.0
TOTAL,,29,0-0,16-16,13-14,10-16,5-9,0-0,44,55,80.0
