YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Los Angeles Rams,16,0-0,10-11,7-8,4-6,4-5,0-0,25,30,83.3
TOTAL,,16,0-0,10-11,7-8,4-6,4-5,0-0,25,30,83.3
