YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,New York Jets,15,90,987,11.0,42,6,53,58.9,14,1
2023,New York Jets,17,95,1042,11.0,68,3,47,49.5,11,2
2022,New York Jets,17,83,1103,13.3,60,4,56,67.5,13,3
TOTAL,,49,268,3132,11.7,68,13,156,58.2,38,6
