YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Las Vegas Raiders,13,73,843,11.6,43,2,44,60.3,11,1
2023,Las Vegas Raiders,16,71,807,11.4,33,8,46,64.8,8,0
2022,New England Patriots,14,67,804,12.0,48,6,38,56.7,14,1
2021,New England Patriots,17,83,866,10.4,39,2,42,50.6,12,0
2020,New England Patriots,14,59,729,12.4,35,0,37,62.7,11,0
2019,New England Patriots,15,26,359,13.8,35,0,17,65.4,9,0
TOTAL,,89,379,4408,11.6,48,18,224,59.1,65,2
