YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Detroit Lions,13,47,890,18.9,82,6,36,76.6,16,5
2023,Detroit Lions,12,24,354,14.8,63,2,14,58.3,5,2
2022,Detroit Lions,6,1,41,41.0,41,1,1,100.0,1,1
TOTAL,,31,72,1285,17.8,82,9,51,70.8,22,8
