YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Atlanta Falcons,15,83,978,11.8,31,7,55,66.3,6,0
2023,Atlanta Falcons,16,69,905,13.1,45,2,45,65.2,17,1
2022,Atlanta Falcons,17,72,866,12.0,40,4,48,66.7,10,1
TOTAL,,48,224,2749,12.3,45,13,148,66.1,33,2
