YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Las Vegas Raiders,15,101,1067,10.6,57,4,53,52.5,14,1
TOTAL,,15,101,1067,10.6,57,4,53,52.5,14,1
