YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Denver Broncos,16,76,983,12.9,37,7,53,69.7,15,0
2023,Denver Broncos,16,59,772,13.1,46,10,37,62.7,14,2
2022,Denver Broncos,15,64,829,13.0,51,2,38,59.4,11,1
2021,Denver Broncos,17,58,776,13.4,55,2,35,60.3,9,2
2020,Denver Broncos,1,3,66,22.0,45,0,2,66.7,2,1
2019,Denver Broncos,16,72,1112,15.4,70,6,50,69.4,18,6
2018,Denver Broncos,16,42,704,16.8,42,4,30,71.4,16,3
TOTAL,,97,374,5242,14.0,70,31,245,65.5,85,15
