YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Minnesota Vikings,13,56,806,14.4,69,8,35,62.5,12,6
2023,Minnesota Vikings,17,70,911,13.0,62,10,38,54.3,15,3
TOTAL,,30,126,1717,13.6,69,18,73,57.9,27,9
