YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,San Francisco 49ers,13,68,967,14.2,43,8,44,64.7,18,2
2023,San Francisco 49ers,16,65,1020,15.7,66,6,42,64.6,18,3
2022,San Francisco 49ers,15,60,765,12.8,54,11,36,60.0,12,1
2021,San Francisco 49ers,14,71,910,12.8,48,6,42,59.2,13,1
2020,San Francisco 49ers,8,48,634,13.2,44,2,32,66.7,8,2
2019,San Francisco 49ers,14,85,1053,12.4,61,5,53,62.4,16,2
2018,San Francisco 49ers,16,88,1377,15.6,85,5,60,68.2,20,6
2017,San Francisco 49ers,15,43,515,12.0,44,2,22,51.2,8,1
TOTAL,,111,528,7241,13.7,85,45,331,62.7,113,18
