YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Miami Dolphins,15,76,802,10.6,57,6,49,64.5,4,1
2023,Atlanta Falcons,17,50,582,11.6,60,3,26,52.0,4,2
2022,New England Patriots,14,27,245,9.1,53,0,9,33.3,3,1
2021,New England Patriots,16,28,294,10.5,28,1,15,53.6,5,0
2020,Tennessee Titans,15,41,448,10.9,63,8,25,61.0,4,1
2019,Tennessee Titans,16,35,439,12.5,57,3,16,45.7,8,2
2018,Tennessee Titans,13,20,258,12.9,61,3,10,50.0,3,1
2017,Tennessee Titans,16,18,157,8.7,32,2,5,27.8,2,0
TOTAL,,122,295,3225,10.9,63,26,155,52.5,33,8
