YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Arizona Cardinals,15,104,1081,10.4,37,1,57,54.8,9,0
2023,Arizona Cardinals,17,81,825,10.2,38,3,42,51.8,9,0
2022,Arizona Cardinals,16,29,265,9.1,29,1,12,41.4,3,0
TOTAL,,48,214,2171,10.1,38,5,111,51.9,21,0
