YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,New York Giants,13,97,969,10,39,4,49,50.5,12,0
TOTAL,,13,97,969,10,39,4,49,50.5,12,0
