YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Dallas Cowboys,15,101,1194,11.8,65,6,54,53.5,16,4
2023,Dallas Cowboys,17,135,1749,13.0,92,12,80,59.3,29,3
2022,Dallas Cowboys,17,107,1359,12.7,39,9,67,62.6,24,0
2021,Dallas Cowboys,16,79,1102,14.0,49,6,54,68.4,20,2
2020,Dallas Cowboys,16,74,935,12.6,52,5,46,62.2,18,3
TOTAL,,81,496,6339,12.8,92,38,301,60.7,107,12
