YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Houston Texans,11,63,968,15.4,67,6,45,71.4,14,4
2023,Houston Texans,15,80,1297,16.2,75,8,53,66.2,25,5
2022,Houston Texans,10,37,481,13.0,58,2,21,56.8,8,1
2021,Houston Texans,14,33,446,13.5,32,1,22,66.7,8,0
TOTAL,,50,213,3192,15.0,75,17,141,66.2,55,10
