YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Cleveland Browns,15,72,1072,14.9,89,4,49,68.1,12,3
2023,Denver Broncos,16,54,758,14.0,47,2,28,51.8,10,5
2022,Denver Broncos,15,67,972,14.5,67,6,41,61.2,14,5
2021,Denver Broncos,10,38,467,12.3,40,0,22,57.9,7,1
2020,Denver Broncos,16,52,856,16.5,92,3,39,75.0,14,4
TOTAL,,72,283,4125,14.6,92,15,179,63.3,57,18
