YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Buffalo Bills,14,73,796,10.9,52,4,34,46.6,9,2
2023,Buffalo Bills,17,39,611,15.7,81,2,26,66.7,10,2
2022,Buffalo Bills,14,10,161,16.1,31,1,7,70.0,4,0
TOTAL,,45,122,1568,12.9,81,7,67,54.9,23,4
