YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Atlanta Falcons,15,62,955,15.4,49,5,46,74.2,20,2
2023,Chicago Bears,15,31,414,13.4,41,1,20,64.5,7,1
2022,Chicago Bears,12,40,493,12.3,56,2,20,50.0,7,1
2021,Chicago Bears,17,81,1055,13.0,64,4,49,60.5,14,3
2020,Chicago Bears,16,61,631,10.3,53,4,33,54.1,6,2
TOTAL,,75,275,3548,12.9,64,16,168,61.1,54,9
