YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Washington Commanders,15,73,1029,14.1,86,12,52,71.2,12,5
2023,Washington Commanders,17,79,1002,12.7,48,4,47,59.5,15,2
2022,Washington Commanders,17,77,1191,15.5,52,5,56,72.7,16,6
2021,Washington Commanders,17,77,1053,13.7,46,5,47,61.0,15,3
2020,Washington Commanders,15,87,1118,12.8,68,4,51,58.6,17,3
2019,Washington Commanders,14,58,919,15.8,75,7,43,74.1,15,3
TOTAL,,95,451,6312,14.0,86,37,296,65.6,90,22
